description,title,prerequisites,course,department,unit
"Emphasizes the managerial use of accounting reports, the problem-solving functions of accounting in relation to current planning and control, performance evaluation, long-range planning, budgets and cost-volume-profit relationships.",Management Accounting,"Prerequisite: C or better in Accounting 1-Principles, 10101111.",ACCTG 10101118,Accounting & Finance,4
"Procedures of accounting for partnerships and corporations.  Additional topics include fixed assets, current liabilities and payroll, long-term liabilities, investments, statement of cash flows, analysis of financial statements, and may include an introduction to cost accounting.",Accounting 2 - Principles,"Prerequisite: C or better in Accounting 1-Principles, 10101111 AND",ACCTG 10101113,Accounting & Finance,4
"Emphasizes analysis of financial statements. Generally accepted accounting principles are applied in the preparation, analysis and interpretation of financial statements. Particular emphasis is applied to valuation of current and long-term liabilities and stockholders’ equity, and earnings per share. Special topics included are deferred income taxes, long-term investments, and leases. Further consideration is applied to errors and their correction, and statements of cash flow. Comparison and analysis is also made between GAAP and international standards(IFRS).",Accounting 4-Intermediate,"Prerequisite:  Accounting 3-Intermediate, 101-121",ACCTG 10101122,Accounting & Finance,4
"This course presents typical accounting methods and processes that are used for collecting information for effective decision making for both manufacturing and service environments. Areas emphasized include job order costing, process costing, standard costing, activity based costing, budgeting, cost allocations, cost-volume-profit analysis and capital investment analysis. Students will be required to prepare and analyze various management reports.",Cost Management,"Prerequisite:  Accounting 2-Principles, 10101113 and Beginning Excel, 10103133",ACCTG 10101125,Accounting & Finance,4
"This intermediate-level course builds on the material covered in the Accounting Principles-1 and -2 courses. It expands on earlier coverage of both the income statement and balance sheet. Revenue recognition concepts and methods are covered. Emphasis is also placed on each classification of asset. This emphasis includes in-depth coverage of cash, receivables and inventory. Coverage also includes operational asset acquisition, depreciation, and disposal. Present value concepts are studied and applied. Excel spreadsheet software is used in this course.",Accounting 3-Intermediate,"Prerequisite:  Accounting 2-Principles, 10101113; Math of Finance, 10804144; and Beginning Excel, 10103133",ACCTG 10101121,Accounting & Finance,4
,Payroll Accounting - Tax,"Prerequisite:  Accounting 1-Principles, 10101111",ACCTG 10101135,Accounting & Finance,3
"Provides practical experience developing and applying flexible solutions to accounting problems using Excel.  Spreadsheet tools that may be utilized include analysis formulas, cross-referencing and linking, lookup, statistical, date/time, database and financial functions; tables, pivot tables, dashboards, transferring Excel information into other programs, logical statements (IF); what-if tools, charting and macros.  Students will also benchmark ten-key data entry speed and improve this skill as needed.",Computerized Accounting Applications,"Prerequisite:  Accounting 2-Principles, 10101113 and Beginning Excel, 10103133",ACCTG 10101137,Accounting & Finance,2
"A survey of accounting and payroll systems covering procedures and methods to capture data and report financial information. Specific topics include flowcharting, internal controls, and transaction work in both manual and computerized environments. Special emphasis is also placed on payroll calculations and the processing of payroll information. Lab intensive course involving hands-on experience with Excel spreadsheet software and accounting software.",Accounting And Payroll Systems,"Prerequisite:  Beginning Excel, 10103133  and Accounting 2-Principles, 10101113",ACCTG 10101138,Accounting & Finance,3
"Opportunity for students to apply accounting or business skills in a real life business environment.  Activities may include working with bank and account reconciliations, accounts payable preparation, spreadsheet work and development, preparing and analyzing financial reports, tax return preparation and other business related duties as requested by the employer.",Accounting/Business Internship,"Prerequisite:  Reserved for Accounting, Business Management, and Finance programs.  Completion of at least two semesters of core courses required.  All internship application requirements must be completed and approved prior to registration.",ACCTG 10101140,Accounting & Finance,3
"This course will provide students an opportunity to demonstrate their attainment of program outcomes through the completion of a project.  This project accounts for a small business through the accounting cycle, review of internal controls, and financial analysis.",Accounting Capstone,"Prerequisites:  Accounting 3-Intermediate (10101121), Tax 1 (10101123), Accounting and Payroll Systems (10101138), and QuickBooks-Beginning (10101139)/or 3-credit version of Computerized Accounting (10101137).",ACCTG 10101142,Accounting & Finance,3
"Prepares the student to use Peachtree accounting in a ""real world"" business setting.  The student will learn how to set up a company's accounting system within Peachtree.  Once set up, the student will learn how to use the general journal, purchases journal, cash disbursements journal, sales journal, cash disbursements journal, and payroll journal.  The student will learn how to prepare the financial statements and how to make modifications to Peachtree's predefined statements.  The prerequisite for this course is an introductory financial accounting course or demonstration of an understanding of basic financial accounting.",Introduction to Peachtree Accounting,"Prerequisite:  Accounting 1-Principles, 10-101-111",ACCTG 10101152,Accounting & Finance,2
"The objective of this course is to help students understand and visualize the accounting systems used by companies.  This is accomplished by using a manual practice set which has students performing all accounting functions for a small service company.  A manual accounting system is used, with the expectation that understanding the flows within a manual system will provide a strong foundation for understanding computerized systems.  Students will work with commonly used business documents.  Flowcharting and internal control procedures are also covered.",Systems-Accounting Cycle,"Prerequisite:  Accounting 1-Principles, 10-101-111",ACCTG 10101153,Accounting & Finance,1
