department,course,description,unit,title
Applied Arts,ANIM 10207101,"A survey course for those considering a career in digital 3D for cinema, game development, and other industries. Topics include professional standards and expectations, best practices, and an introduction to technical and artistic principles typical of studios served by the Animation anad Concept Development Program.  Successful completion of 10-207-101 is required for students scheduled to enter the Animation—Concept Development Program.",1,Animation Industry Overview
Applied Arts,ANIM 10207114,"This course is an introduction to the fundamental techniques, theories, workflows and software as it relates to 3D modeling for real-time and pre-rendered production. Students will create digital models with an emphasis on topographical density, texture mapping, multi-step processes and asset design. Lectures and projects consist of the various production techniques that explore polygonal modeling and how to prepare constructed models for texturing.",2,Modeling 1
Applied Arts,ANIM 10207120,"Continuation of the study of motion with emphasis on character movement and animation. A combination of lectures and class demonstration introduces students to forward- and inverse-kinematics, and gradually more complex rigging. The continued study of body mechanics and dynamics by analyzing classic and contemporary professional animation will assist students in translating their own ideas into credible motion in digital form.",2,Animation 2
Applied Arts,ANIM 10207111,"A foundation introduction to digital 3D. Students learn to organize electronic files and projects into a professional workflow, and to electronically navigate Cartesian space. Class activities include the basics of digital modeling and surfacing, and the translation of 2D prep-work into 3D prototypes.",2,Texturing 1
Applied Arts,ANIM 10207110,"General overview of professional animation, including current industry standards and practices. Students begin a basic study of motion dynamics based largely on the industry's “Fundamental Principles of Animation,” presented through a combination of lecture and demonstration and continual analysis of existing professional animation. Contemporary standards, definitions, workflows, etc., are discussed as well as job organization and job-tracking skills, and translation of basic motion principles into digital 3D space.",2,Animation 1
Applied Arts,ANIM 10207103,"An introductory drawing course emphasizing visualization and rendering skills necessary for concept development in animation and digital 3D.  Students will learn the fundamentals of perspective, proportion, linear rendering, basic value structure, and digital approaches currently practiced in related industries. Lecture/demonstration and guided practice leads students toward the creation of concept drawings intended for modeling in 3D, including the development of variations, digital techniques to enhance productivity, and discussion of the strengths and limitations of 3D final execution.",2,Basic Drawing for Concepting
Applied Arts,ANIM 10207121,"A comprehensive study of lighting and camera techniques based on professional practices in the traditional film and video industries.  Includes a detailed study of film, TV and video samples that will guide students through their own exploration of digital light and cameras as they work through a series of assignments requiring certain effects in their own digital sets and scenes.",2,Digital Cinematography
Applied Arts,ANIM 10207130,"Students concentrate on the planning and construction of architectural and environmental spaces in game-engine software. Basic architectural principles as they relate to animation and appropriate effects for specific themes are explored as well as environmental factors relating to the creation of credible worlds. Class activities include the exploration of specialized perspective problems, world-specific texture-sets, lighting and composition.",2,Digital Set Design 1
Applied Arts,ANIM 10207132,"Experiement with final output and effects options for creating actual demo animation reels or disks.  Project organization, electronic and paper is emphasized, along with the basics of non-linear editing, special effects, titles and credit creation, and the final stages of compositing.",2,Digital Post-Production
Applied Arts,ANIM 10207131,"By exploring various off-computer techniques for analyzing character motion, students practice translating their observations into digital form and applying them to their own creations. Extensive study of actual footage and professional work helps students make the conceptual transition from real-world to believable virtual motion.",2,Animation 3
