prerequisites,course,description,unit,title
ZOOLOGY/​BIOLOGY/​BOTANY  152,AGROECOL/​AGRONOMY/​C&E SOC/​ENTOM/​ENVIR ST  103,"
Agroecology has blossomed across the world in recent decades as not only a science, but also a practice, and a movement. Employ the multiple disciplines and perspectives that Agroecology affords to analyze our agricultural and food systems wihin a broader context of dynamic social and ecological relationships. Enroll Info: None",3 ,AGROECOLOGY: AN INTRODUCTION TO THE ECOLOGY OF FOOD AND AGRICULTURE
ZOOLOGY/​BOTANY/​ENVIR ST  260,AGROECOL/​AGRONOMY/​DY SCI  371,"
",1-2 ,MANAGED GRAZING FIELD STUDY
PHYSICS 103,AGROECOL 400,"
For those interested in developing a comprehensive understanding of the principles, practices, and conservation potential of managed grazing systems, and how these farming systems may contribute to the sustainability and diverse tapestry of Wisconsin's working landscape. Visit managed grazing systems of successful grazing-based farmers (graziers) across southern/central counties in Wisconsin, and/or research sites at UW's Arlington and/or Lancaster Research Stations and/or the Discovery Farms Program. An opportunity to discuss at length with farm managers and researchers the practices in place at each farm and research site. Includes introduction to UWEX pasture forage/nutrient management planning and budgeting software. Enroll Info: None",1-6 ,STUDY ABROAD IN AGROECOLOGY
CHEM 103,AGROECOL 699,"
",1-3 ,SPECIAL PROBLEMS
109,AGROECOL 701,"
Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Enroll Info: Current enrollment in a UW-Madison study abroad program",3 ,THE FARM AS SOCIO-ENVIRONMENTAL ENDEAVOR
115,AGROECOL 702,"
",3 ,THE MULTIFUNCTIONALITY OF AGRICULTURE
None,AGROECOL 710,"
Scholarship on special topics, under the supervision of an agroecology faculty member. Enroll Info: None",1 credit.,AGROECOLOGY SEMINAR
None,AGROECOL 720,"
",1-3 ,AGROECOLOGY FIELD STUDY
None,AGROECOL/​AGRONOMY/​ENVIR ST  724,"
Farms may be analyzed as intentional entities shaped by the contexts in which they must operate. This course explores how these biophysical and social contexts both exert constraints and provide opportunities, leading to the diversity of farms observed. Enroll Info: None",3 ,AGROECOSYSTEMS AND GLOBAL CHANGE
None,AGROECOL 875,"
",1-3 ,TOPICS IN AGROECOLOGY
None,AGROECOL 990,"
Agroecology systems provide a variety of social, economic, and ecological functions to society, each with a different network of stakeholders. This course explores methods of evaluating these diverse functions and perspectives, with a special focus on participatory approaches. Enroll Info: Cons inst",1-12 ,RESEARCH
A F AERO 202,A F AERO 101,"
Introduces students to the Air Force Reserve Officer Training Corps. Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, and an introduction to communication skills. Leadership lab activities. Open to all students. Enroll Info: None",1 credit.,THE FOUNDATIONS OF THE UNITED STATES AIR FORCE I
None,A F AERO 102,"
",1 credit.,THE FOUNDATIONS OF THE UNITED STATES AIR FORCE II
None,A F AERO 201,"
Continuation of 101. Leadership lab activities. Open to all students. Enroll Info: None",1 credit.,THE EVOLUTION OF US AIR AND SPACE POWER I
None,A F AERO 202,"
",1 credit.,THE EVOLUTION OF US AIR AND SPACE POWER II
None,A F AERO 301,"
Examines air and space power through a historical perspective. Covers a time period from the first balloons to the space-age global positioning system. Further develops communication skills. Leadership lab activities. Open to all students. Enroll Info: None",3 ,LEADERSHIP STUDIES I
None,A F AERO 302,"
",3 ,LEADERSHIP STUDIES II
None,A F AERO 401,"
Continuation of 201. Leadership lab activities. Open to all students. Enroll Info: None",3 ,NATIONAL SECURITY AFFAIRS
None,A F AERO 402,"
",3 ,PREPARATION FOR ACTIVE DUTY
