None,AGROECOL/​AGRONOMY/​C&E SOC/​ENTOM/​ENVIR ST  103,"
Agroecology has blossomed across the world in recent decades as not only a science, but also a practice, and a movement. Employ the multiple disciplines and perspectives that Agroecology affords to analyze our agricultural and food systems wihin a broader context of dynamic social and ecological relationships. Enroll Info: None
",3,AGROECOLOGY: AN INTRODUCTION TO THE ECOLOGY OF FOOD AND AGRICULTURE
Consent of instructor,AGROECOL/​AGRONOMY/​DY SCI  371,"
For those interested in developing a comprehensive understanding of the principles, practices, and conservation potential of managed grazing systems, and how these farming systems may contribute to the sustainability and diverse tapestry of Wisconsin's working landscape. Visit managed grazing systems of successful grazing-based farmers (graziers) across southern/central counties in Wisconsin, and/or research sites at UW's Arlington and/or Lancaster Research Stations and/or the Discovery Farms Program. An opportunity to discuss at length with farm managers and researchers the practices in place at each farm and research site. Includes introduction to UWEX pasture forage/nutrient management planning and budgeting software. Enroll Info: None
",1-2,MANAGED GRAZING FIELD STUDY
None,AGROECOL 400,"
Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Enroll Info: Current enrollment in a UW-Madison study abroad program
",1-6,STUDY ABROAD IN AGROECOLOGY
Consent of instructor,AGROECOL 699,"
Scholarship on special topics, under the supervision of an agroecology faculty member. Enroll Info: None
",1-3,SPECIAL PROBLEMS
Graduate/professional standing,AGROECOL 701,"
Farms may be analyzed as intentional entities shaped by the contexts in which they must operate. This course explores how these biophysical and social contexts both exert constraints and provide opportunities, leading to the diversity of farms observed. Enroll Info: None
",3,THE FARM AS SOCIO-ENVIRONMENTAL ENDEAVOR
Enrollment limited to Agroecology Majors.  All others must seek instructor consent.,AGROECOL 702,"
Agroecology systems provide a variety of social, economic, and ecological functions to society, each with a different network of stakeholders. This course explores methods of evaluating these diverse functions and perspectives, with a special focus on participatory approaches. Enroll Info: Cons inst
",3,THE MULTIFUNCTIONALITY OF AGRICULTURE
Graduate/professional standing,AGROECOL 710,"
Weekly seminar on topics in agroecology. Enroll Info: None
",1,AGROECOLOGY SEMINAR
Graduate/professional standing,AGROECOL 720,"
Field study of farms, processing, marketing, distribution, and policy-making in the food system. Courses will be several days of visits, discussions with the operators, and student-faculty discussion sections. Presentations or written reports may be required. Enroll Info: None
",1-3,AGROECOLOGY FIELD STUDY
"(ZOOLOGY/​BIOLOGY/​BOTANY  152 or ZOOLOGY/​BOTANY/​ENVIR ST  260) and (PHYSICS 103 or CHEM 103, 109 or 115); or graduate/professional standing",AGROECOL/​AGRONOMY/​ENVIR ST  724,"
Impacts of global change drivers (climate change, atmospheric chemistry, bioenergy, urbanization, policy) on agroecosystems and their associated goods and services; environmental impacts of agricultural land use and feedbacks to climate; modeling approaches; critical review of current scientific literature. Enroll Info: None
",3,AGROECOSYSTEMS AND GLOBAL CHANGE
Graduate/professional standing,AGROECOL 875,"
This course number provides for opportunities to develop and test possible new courses, or to accommodate visiting scholars who may wish to offer a course. Enroll Info: None
",1-3,TOPICS IN AGROECOLOGY
Graduate/professional standing,AGROECOL 990,"
Independent research on the student's thesis or degree project. Enroll Info: None
",1-12,RESEARCH
Consent of instructor,AGRONOMY 1,"
Full-time off-campus work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career. Enroll Info: Students receive credit only for the term in which they are actively enrolled and working. The same work experience may not count towards credit in AGRONOMY 399. Students shall obtain consent of their advisor as well as consent of instructor.
",1,COOPERATIVE EDUCATION/CO-OP IN AGRONOMY
None,AGRONOMY 100,"
Plant science applied to the growth, production, management, distribution and utilization of field crops. Enroll Info: None
",4,PRINCIPLES AND PRACTICES IN CROP PRODUCTION
None,AGRONOMY/​AGROECOL/​C&E SOC/​ENTOM/​ENVIR ST  103,"
Agroecology has blossomed across the world in recent decades as not only a science, but also a practice, and a movement. Employ the multiple disciplines and perspectives that Agroecology affords to analyze our agricultural and food systems wihin a broader context of dynamic social and ecological relationships. Enroll Info: None
",3,AGROECOLOGY: AN INTRODUCTION TO THE ECOLOGY OF FOOD AND AGRICULTURE
None,AGRONOMY/​ENTOM/​NUTR SCI  203,"
Introduces students to global health concepts through multidisciplinary speakers dedicated to improving health through their unique training.  It targets students with an interest in public health and those who wish to learn how their field impacts their global issues. Enroll Info: None
",3,INTRODUCTION TO GLOBAL HEALTH
Consent of instructor,AGRONOMY 289,"
Research work under direct guidance of an Agronomy faculty or instructional academic staff member. Enroll Info: Students are responsible for arranging the work and credits with the supervising instructor. Intended for students in the CALS Honors Program.
",1-2,HONORS INDEPENDENT STUDY
Consent of instructor,AGRONOMY 299,"
Research work under direct guidance of a faculty or instructional academic staff member. Enroll Info: Students are responsible for arranging the work and credits with the supervising instructor.
",1-3,INDEPENDENT STUDY
AGRONOMY 100 or graduate/professional standing,AGRONOMY 300,"
Agronomic cropping systems of the Midwest: environmental impacts, productivity, and profitability. Cropping system diversification and sustainable agriculture. An agroecological approach, the application of ecological concepts and principles for the improvement of cropping systems is emphasized. Enroll Info: None
",3,CROPPING SYSTEMS
"Junior standing and (DY SCI/​AN SCI  101, ZOOLOGY/​BIOLOGY  101, ZOOLOGY/​BIOLOGY/​BOTANY  151, AGRONOMY 100, or BIOCORE 381) or graduate/professional standing",AGRONOMY 302,"
Establishment, management, harvesting and utilization of forage crops for use as hay, pasture and silage. Emphasis on cool season perennial grasses and legumes. Enroll Info: None
",3,FORAGE MANAGEMENT AND UTILIZATION
"(CHEM 103, 109, or 115 and SOIL SCI/​ENVIR ST/​GEOG  230) or SOIL SCI 301, or graduate/professional standing",AGRONOMY/​HORT/​SOIL SCI  326,"
Functions, requirements and uptake of essential plant nutrients; chemical and microbial processes affecting nutrient availability; diagnosis of plant and soil nutrient status; fertilizers and efficient fertilizer use in different tillage systems. Enroll Info: None
",3,PLANT NUTRITION MANAGEMENT
(BOTANY/​BIOLOGY  130 or AGRONOMY 100) or graduate/professional standing,AGRONOMY/​HORT  328,"
Prevalence and persistence of weeds, evaluation of competitive and allelopathic effects, methods and principles of control including proper identification of common weed species. Enroll Info: None
",4,INTEGRATED WEED MANAGEMENT
