course,description
,
COMSDIS 210 Survey of Communication Disorders,"			A broad overview of speech, language, and hearing disorders. Normal development, adult functions and cultural differences are explored, as well as general approaches to rehabilitation.		"
CES 199 Independent Study,"			For further information, consult dept chair.		"
COMPLIT 133 Contemporary Imagination in Literature and the Arts,"			Introduction to comparative literature, focusing on the study of world literatures and their relations to other arts, and to cultural and social currents.		"
CRM JST 105 Orientation for Social Welfare Students,			Prepares students to participate in UWM's educational process and to explore career choices in social welfare.		
COMPSCI 101 Introduction to PC Application Software,"			Introduction to software applications of the personal computer, including word processing, desktop publishing, spreadsheets, and databases.		"
COMPST 701 Mathematical & Computing Fundamentals for IT Professionals,"			Introductory discussion of logic and reasoning techniques, discrete structures, combinatorics, probability, and their applications to IT.		"
CHS 100 New Student Seminar in Health Professions,"			An overview of the College of Health Sciences, health professions, academic requirements, career development, and strategies for academic and personal success.		"
CLASSIC 101 Latin and Greek in English Words,			A comprehensive study of the basic Greek and Latin word elements underlying modern English usage and their Indo-European background.		
COUNS 297 Study Abroad:,"			Designed to enroll students in UWM sponsored program before course work level, content, and credits are determined and/or in specially prepared program course work.		"
COMMUN 101 Introduction to Interpersonal Communication,			Basic concepts for understanding communication in interpersonal relationships. Combines a theoretical approach with a skills approach to the study of interpersonal communication.		
CHINESE 101 First Semester Chinese,			Beginning Chinese for students with no previous knowledge of the language.		
CELTIC 103 First Semester Gaelic,			Beginning Gaelic for students with no previous knowledge of the language. Counts as repeat of Linguis 131 with 'First Semester Gaelic' subtitle.		
CURRINS 110 Reading Proficiency for College Students I,"			Presentation of techniques for the acquisition of basic reading skills. Emphasis on vocabulary building, text organizational structures, and comprehension.		"
CIV ENG 150 Builders for Civilization and Environment,"			Explores the role of civil engineering in society through the use of case studies, including water and society, bridges, building and transportation.		"
WGS 150 Multicultural America,"			Cross-cultural and interdisciplinary study of U.S. ethnic and racial identities and experiences, with special attention paid to women's and gender issues.		"
UWS NSG 317 Health Assessment,"			Techniques of health history and physical examination to ascertain normal from variations of normal health conditions, in addition cultural and developmental variations are considered.		"
CHEM 100 Chemical Science,"			Introductory course in general inorganic chemistry designed for the student with little or no previous science training. 3 hrs lec, 1 hr dis.		"
THRPTTP 699 Independent Study:,			Individual program of supervised study in the student's area of emphasis.		
MSP 760 The Politics and Policy of Sustainability,"			Principles of environmental policy, governance, and management for global sustainability.		"
URB STD 150 Multicultural America,"			Cross-cultural study of U.S. ethnic and racial identities from an urban studies perspective, with attention to African-, Asian-, Hispanic-, and Native-American experiences.		"
URBPLAN 140 Issues in Contemporary Urban Planning,"			To examine issues that cities are working on, including sustainability, transportation, economic development, and housing, and learn how planners address these.		"
TRNSLTN 201 Introduction to Translation and Interpreting Studies,			Linguistic and cultural aspects of globalization analyzed alongside emerging practices in various language service professions/specializations; prevailing modes of multilingual communication and cross-cultural interaction.		
THERREC 103 Introduction to Leisure,"			Introductory survey of the historical, philosophical, sociological, developmental, and cultural aspects of recreation, leisure, and play.		"
THEATRE 100 Introduction to the Theatre,"			Introduction to the theatre as a form of artistic, social and human expression from point-of-view of both theatre audience and theatre artist.		"
SPT&REC 100 Sports Officiating - Basketball,"			Officiating, conducting and administering the sport of basketball.		"
SCNDVST 101 First-Semester Swedish,"			Introductory course for students who have not studied Swedish previously. Oral practice, grammar, and reading.		"
RELIGST 101 Introduction to World Religions,			Basic concepts of world religions; broad overview of various religious traditions in ancient and modern configurations.		
SOC WRK 100 Introduction to Social Work,			A survey course focussed on the development of human service institutions and occupations.		
SPANISH 103 First-Semester Spanish,			Introductory course for students who have had little or no previous work in Spanish.		
PUB ADM 243 Public Administration,			The means used to implement political values with emphasis on problems of administration in modern government.		
SOCIOL 101 Introduction to Sociology,			Sociology as a special field of social science. The relationship of the work of the sociologist to contemporary society; an examination of the sociological perspective.		
RUSSIAN 101 First-Semester Russian,			A systematic introduction to the Russian language.		
POLISH 101 First-Semester Polish,			A systematic introduction to the Polish language.		
