none.,COMPLIT133,"Introduction to comparative literature, focusing on the study of world literatures and their relations to other arts, and to cultural and social currents.",3,COMPLIT 133 Contemporary Imagination in Literature and the Arts
none.,COMPLIT135,"Critical study of literary forms (e.g. romance, comedy, short story) and their connections with other arts and media, such as cinema, TV, and music.",3,COMPLIT 135 Experiencing Literature in the 21st Century:
none.,COMPLIT192,Specific topics are announced in the Schedule of Classes each time the class is offered.,3,COMPLIT 192 First-Year Seminar:
"2.5 gpa; writ cons instr, dept chair asst dean for SAS.",COMPLIT199,"For further information, consult dept chair.",1-6,COMPLIT 199 Independent Study
none.,COMPLIT207,Literary analysis through a survey of world literature from antiquity through the 1600s.,3,COMPLIT 207 Global Literature from Antiquity to the 1600s:
none.,COMPLIT208,Literary analysis through a survey of world literature from the 1600s to the present.,3,COMPLIT 208 Global Literature from the 17th Century to the Present:
none. CompLit 133(R).,COMPLIT230,"Relationships between literature and aspects of society, e.g., philosophical movements; history; gender, race, class, or sexuality.",3,COMPLIT 230 Literature and Society:
none. CompLit 133(R).,COMPLIT231,A close study of the interrelationship of literature and religion across a wide historical spectrum.,3,COMPLIT 231 Literature and Religion:
CompLit 133(R).,COMPLIT232,"Multiple ways literature and politics shape and influence one another, with particular focus on links between literary and political representation.",3,COMPLIT 232 Literature and Politics:
CompLit 133(R).,COMPLIT233,"Themes, styles, and ideology in cinematic and literary texts.",3,COMPLIT 233 Literature and Film:
CompLit 100- or 200-level course; 2.25 gpa; cons supervising faculty member.,COMPLIT289,"Application of basic principles of comparative literature in a business, organizational, educational, political, or other appropriate settings.",1-6,"COMPLIT 289 Internship in Comparative Literature, Lower Division"
none.,COMPLIT293,Dehumanization of mankind by technology as theme for changing literature.,3,COMPLIT 293 Literature and Science:
acceptance for Study Abroad Prog.,COMPLIT297,"Designed to enroll students in UWM sponsored program before course work level, content, and credits are determined and/or in specially prepared program course work.",1-12,COMPLIT 297 Study Abroad:
none; add'l prereqs may be assigned to specific topic.,COMPLIT299,"Course created expressly for offering in a specified enrollment period. Requires only dept & assoc dean approval. In exceptional circumstances, can be offered in one add'l sem.",1-6,COMPLIT 299 Ad Hoc:
jr st; CompLit 207(R) or 208(R).,COMPLIT309,"Literature of the twentieth and twenty-first centuries, with emphasis on theme, movement, trend, genre, or mode.",3,COMPLIT 309 Great Works of Modern Literature:
jr. st or English 290(P); satisfaction of OWC-A.,COMPLIT316,"National cinemas in first, second, and/or third world nations; relationships among representation, narrative, and social forms.",3,COMPLIT 316 World Cinema:
jr st.,COMPLIT320,"Major genres, themes, and figures of the Middle Ages through representative literary works, devotional writings, visual art, architecture, and other examples of cultural production.",3,COMPLIT 320 Mediaeval Literature and Culture:
jr st.,COMPLIT321,"Major genres, themes, figures, tenets, aspects, influences, and trends in Renaissance literature through representative literary works, visual art, architecture, and other examples of cultural production.",3,COMPLIT 321 Renaissance Literature and Culture:
jr st.,COMPLIT340,Literary genres and modes from at least one international cultural context.,3,COMPLIT 340 Studies in Literary Genres and Modes:
jr st.,COMPLIT350,"One or more areas of comparative literature across periods, genres, or regions.",3,COMPLIT 350 Topics in Comparative Literature:
jr st.,COMPLIT360,How culture is expressed in literary works with specific emphasis on how dominant and marginalized groups are represented in literature.,3,COMPLIT 360 Seminar in Literature and Cultural Experience:
jr st.,COMPLIT360G,How culture is expressed in literary works with specific emphasis on how dominant and marginalized groups are represented in literature.,3,COMPLIT 360G Seminar in Literature and Cultural Experience:
jr st.,COMPLIT362,"Critical study of the cinemas of Asia, their film masters, avant-garde genres, and movements in relation to world cinema culture.",3,COMPLIT 362 Transnational Asian Cinemas:
jr st.,COMPLIT363,"Modern or contemporary Chinese literature; focus on a period, theme, genre, or movement in relation to literary cultures of other countries and regions or world events.",3,COMPLIT 363 Chinese Literature in the Global Context:
jr st.,COMPLIT365,"Comparative study of the literatures and cultural expressions of three or more national, ethnic, or linguistic traditions within North and South America and the Caribbean.",3,COMPLIT 365 Literatures and Cultures of the Americas:
