description,title,course,prerequisite,department,unit
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.,
In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.,
There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,AGINDUS 7920,None,"Bus, Inds, Life Sci, Ag",2
"Independent Study in Agriculture,The amount of graduate credit applied toward a master's degree may not exceed a total of four credits except with the special permission of the student's advisor, the program head, and the Dean of The School of Graduate Studies. Approval must be secured before independent study courses begin. Students registering for independent study must submit at or before registration an approved independent study proposal form. This form must be signed by the instructor conducting the independent study, the department chairperson, the Dean of the School of Graduate Studies, and the student. Independent study may not be used for collecting information for the seminar paper.,
Students enrolling for independent study may obtain an independent study proposal form and instruction sheet from the School of Graduate Studies Office online at www.uwplatt.edu/gradstudies/independentstudy.html.,
A student may register for more than the maximum number of independent study credits allowed by a subject area. However, the student may only apply the maximum number of independent study credits allowed by a subject area toward a master's degree at the University of Wisconsin-Platteville.",Independent Study in Agriculture,AGINDUS 7980,None,"Bus, Inds, Life Sci, Ag",1 - 4
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.,
In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.,
There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,AGINDUS 7990,None,"Bus, Inds, Life Sci, Ag",3 - 6
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,PHLSPHY 7990,None,Liberal Arts and Education,3 - 6
"Independent Study in Music,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Music,MUAP 7980,None,Liberal Arts and Education,1 - 4
"Seminar Paper Research,The seminar paper or educational project need not be a report of original and independent research. It must demonstrate, however, the student's ability to survey a field of knowledge and assemble, organize, evaluate, interpret, and present evidence in a logical and intelligent manner. Although the seminar paper or educational project may originate from work done in connection with one of the student's graduate courses and be based upon a term paper or course project, it must be more comprehensive and complete in coverage and treatment.  In consultation with the program advisor, the student proposes a seminar paper or educational project and a seminar paper or educational project advisor.  An approved seminar paper or educational project proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. The seminar paper or educational project advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Seminar Paper Research,MUAP 7920,None,Liberal Arts and Education,1 - 2
"Independent Study,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the graduate dean. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study,PHLSPHY 7980,None,Liberal Arts and Education,1 - 4
"Thesis Research,The thesis may be an outgrowth of a research course (e.g. TEACHING 7000 Research Procedures) or may be developed independently within the program area. The thesis will report the results of original and independent student research on a given problem or topic, by systematic and impartial methods, and will demonstrate the student's ability to use techniques customarily employed in the particular field of investigation. Although a thesis for the master's degree may not always be expected to make a significant contribution to existing knowledge, it should be a scholarly document that is accurate, verifiable, objective, and impartial.  In consultation with the program advisor, the student proposes a committee of three faculty members. The committee normally includes the thesis advisor, one additional major department member, and one faculty member from another department. In some instances, a student may prefer a thesis advisor who is different from the program advisor assigned at the time of admission.  An approved thesis proposal must be submitted and approved prior to registration.  There is a website with useful links to guide the graduate student in grammar, style, evaluating web resources, and formats. (Thesis students will find the Texas A and M link useful for formatting procedures and other technical assistance.) The thesis advisor will provide guidance regarding the site. The site may be accessed through the University's Karrmann Library.",Thesis Research,MUAP 7990,None,Liberal Arts and Education,3 - 6
"Independent Study in Media Studies,The amount of graduate credit allowed for independent study may not exceed a total of four credits except with the special permission of the student's advisor and the dean of the School of Graduate Studies. Approval must be secured before independent study courses are begun. Students registering for independent study must submit at or before registration a description signed by the instructor conducting the independent study of the subject to be covered. Independent study may not be used for collecting information for the seminar paper.",Independent Study in Media Studies,MEDIA 7980,None,"Bus, Inds, Life Sci, Ag",1 - 4
"Business Communication,Communication strategies and techniques used in business; practice in writing effective memos, letters and reports; oral communication skills developed in influencing group decisions and making presentations; employment correspondence and interviewing. P: ENGLISH 1230 and SPEECH 1010",Business Communication,MEDIA 5010,None,"Bus, Inds, Life Sci, Ag",3
"Organizational Communication,Organizational communication can be analyzed through quantitative, qualitative, or mixed methods research. This course focuses on organizational communication practice and research that examines communication from, with, and about organizations.",Organizational Communication,MEDIA 7330,None,"Bus, Inds, Life Sci, Ag",3
"Seminar in Music,A critical examination of one area within the field of music, the specific subject to be determined by the instructor and the needs of the student.",Seminar in Music,MUSIC 6500,None,Liberal Arts and Education,1 - 3
