to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4615,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4615,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4615,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4615,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4615,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4615,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4615,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4615,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4615,,Math & Logic,5
9999,L,3.0,MAT 110,College Algebra,MATH (804) 152,4615,"MS,CR",Technical Math 2,
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4615,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4615,"MS,CR",College Algebra With Appls,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4615,MS,Trigonometry W Apps,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4615,"UCTA,MS",College Algebra & Trig W Apps,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4615,MS,Calculus 1,
9999,P,3.0,NDC,No Degree Credit,MATH (804) 200,4615,,Principles of Geometry,5
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 201,4615,EL,Intermediate Algebra,
9999,L,2.0,MAT EL,Mathematics Elective,MATH (804) 202,4615,,Intermediate Algebra I,
9999,L,2.0,MAT 105,Intro College Algebra,MATH (804) 203,4615,EL,Intermediate Algebra 2,
9999,L,4.0,CPS EL,Computer Sciences Elective,MATH (804) 206,4615,,Intro Computer Use,
9999,L,2.0,CPS EL,Computer Sciences Elective,MATH (804) 207,4615,,Intro Computer Programming,
9999,L,4.0,CPS EL,Computer Sciences Elective,MATH (804) 208,4615,EL,Computer Science,
9999,L,3.0,MAT 108,Quantitative Reasoning,MATH (804) 211,4615,"CR,MS",Quantitative Reasoning,
9999,L,3.0,MAT 110,College Algebra,MATH (804) 212,4615,"MS,CR",College Algebra,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 213,4615,MS,Trigonometry,
9999,L,3.0,MAT 210,Topics in Finite Math,MATH (804) 220,4615,MS,Finite Math,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 229,4615,"UCTA,MS",Math Analysis,22
9999,L,5.0,MAT 221,Calc & Analy Geom I,MATH (804) 231,4615,MS,Calculus & Analy Geom 1,
9999,L,5.0,MAT 222,Calculus & Analytic Geom II,MATH (804) 232,4615,MS,Calculus and Analy Geom 2,
9999,L,5.0,MAT 223,Calculus  & Analytic Geom III,MATH (804) 233,4615,MS,Calculus 3,
9999,L,4.0,MAT 117,Elementary Statistics,MATH (804) 240,4615,"UCTA,MS",Basic Statistics,22
9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 245,4615,MS,Statistics Mod I,
9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 246,4615,MS,Statistics Mod II,
9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 247,4615,MS,Statistics Mod III,
9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 248,4615,MS,Statistic Mod IV,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 205,4615,AP,Distance Running For Fitness,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 207,4615,AP,Begin Triathalon,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 209,4615,AP,Baseball Condition,
9999,L,1.0,HES 019,Lifetme Activ: Weight Training,PHYED (807) 210,4615,AP,Conditioning/Weight Training,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 211,4615,AP,Conditn Basket 2,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 212,4615,AP,Adv Weight Train,
9999,L,1.0,HES 005,Team Sports: Basketball,PHYED (807) 221,4615,AP,Basketball Cond,
9999,L,1.0,HES 018,Team Sports: Volleyball,PHYED (807) 223,4615,AP,Begin Volleyball,
9999,L,1.0,HES 022,Intermed Volleyball,PHYED (807) 224,4615,AP,Intermed Volleyball,
9999,L,1.0,HES 014,Team Sports: Softball,PHYED (807) 225,4615,AP,Softball,
9999,L,4.0,HES 058,Life Guard Training,PHYED (807) 228,4615,AP,Water Safety Instruction,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 229,4615,AP,Swimming For Fitness,
9999,L,1.0,HES 055,Beginning Swimming,PHYED (807) 230,4615,AP,Begin Swim,
9999,L,1.0,HES 056,Int Swimming,PHYED (807) 231,4615,AP,Intermed Swim,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 232,4615,AP,Water Exercise,
9999,L,2.0,HES 058,Life Guard Training,PHYED (807) 233,4615,AP,Lifeguard Training,
9999,L,1.0,HES 061,Scuba Diving,PHYED (807) 234,4615,AP,Scuba Diving,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 235,4615,AP,Racquetball 2,
9999,L,1.0,HES 016,Lifetime Activity: Tennis,PHYED (807) 236,4615,AP,Begin Tennis,
9999,L,1.0,HES 017,Intermediate Tennis,PHYED (807) 237,4615,AP,Tennis 2,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 238,4615,AP,Begin Racquetball,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 239,4615,AP,Intermediate Racquetball,
9999,L,1.0,HES 009,Lifetime Activity: Golf,PHYED (807) 240,4615,AP,Begin Golf,
9999,L,1.0,HES 010,Intermediate Golf,PHYED (807) 241,4615,AP,Golf 2,
9999,L,1.0,HES 006,Lifetime Activity: Bowling,PHYED (807) 242,4615,AP,Bowling 1,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 243,4615,AP,Dance 1,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 244,4615,AP,Dance II,
9999,L,1.0,PED EL,Physical Education Elective,PHYED (807) 245,4615,AP,Social Dance,
9999,L,1.0,HES 029,"Training and Plyometrics,Begin",PHYED (807) 246,4615,AP,Contemporary Dance,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 247,4615,AP,Jazz 1,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 248,4615,AP,Ballet,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 249,4615,AP,Tap Dance,
9999,L,1.0,HES 002,Badminton,PHYED (807) 250,4615,AP,Badminton,
9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 251,4615,AP,Jazz 2,
9999,L,1.0,HES 001,Archery,PHYED (807) 253,4615,AP,Archery,
9999,L,1.0,HES 046,Lifetime Activity: Yoga,PHYED (807) 254,4615,AP,Beginning Yoga,
9999,L,2.0,HES 205,Athletic Injuries,PHYED (807) 255,4615,AP,Prev/Care Athletic Injuries,
9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 256,4615,,Health Club Operations,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 257,4615,AP,Tennis Tbl Tennis,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 259,4615,AP,Tennis Badminton,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 265,4615,AP,Soccer,
9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 266,4615,AP,Wellness Today,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 270,4615,AP,Bicycle Cond/Maintenance,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 271,4615,AP,Bicycle Conditioning,
9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 278,4615,AP,Bicycling/Maintenance,
9999,L,1.0,HES 043,Cross Country Skiing,PHYED (807) 279,4615,AP,Cross Country Ski,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 282,4615,AP,Step Aerobics,
9999,L,1.0,HES 024,Aerobic Dance,PHYED (807) 283,4615,AP,Aerobic Dance,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 285,4615,AP,Fall Sport Officng,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 286,4615,AP,Spring Spts Officg,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 289,4615,AP,Aerobics/Weight Training,
9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 290,4615,AP,Special Phys Ed,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 103,4615,,Think Critically & Creatively,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 105,4615,,Human Sexuality,5
9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 111,4615,SS,Economics,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 115,4615,,Leadership a M,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 117,4615,,Global Horizons Series,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4615,"UCTA,SS",Intro to Amer Government,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 125,4615,SS,Government Process/Practice,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 127,4615,,Human Development,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4615,,Marriage & Family,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 131,4615,,Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 133,4615,,Developmental Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 136,4615,,General Applied Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 137,4615,,Abnormal Psychology,5
9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 143,4615,,Microeconomics,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 145,4615,,Urban/Rural Commun,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 151,4615,SS,Psych of Hum Rel,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 153,4615,,American Inst,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 155,4615,,Industrial Psych,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 156,4615,,Aging Social Prob,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4615,,Abnormal Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 160,4615,,Business Law I,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 161,4615,,Business Law II,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4615,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 167,4615,,Ind Study/Leadership,5
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4615,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4615,SS,Social Problems,
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4615,SS,Developmental Psychology,
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4615,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4615,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4615,SS,Contemporary Amer Society,
