to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 100,4583,,Pre-Employment Seminar,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 111,4583,,American Government,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4583,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4583,,Marriage & Family,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 130,4583,,Stress Management,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 148,4583,,Developmental Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 154,4583,,"Psychology, Abnormal",5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 158,4583,,Adolescent Psychology,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4583,,Abnormal Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 161,4583,,Critical and Creative Thinking,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 165,4583,,Ethics in America,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4583,"UCTA, EL",Intro to Ethics: Theory & App,22
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 171,4583,,Cultural Impacts,5
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4583,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4583,SS,Social Problems,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 175,4583,,Dealing With Diversity,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 180,4583,,Personal Effectiveness: the Se,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4583,SS,Developmental Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 190,4583,,Cultural Adaptability,5
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4583,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4583,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4583,SS,Contemporary Amer Society,
9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,4583,"UCTA,SS",Intro to Psychology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,4583,SS,Psychology of Human Relations,
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 100,4583,,Pre-Employment Seminar,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 111,4583,,American Government,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4583,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4583,,Marriage & Family,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 130,4583,,Stress Management,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 148,4583,,Developmental Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 154,4583,,"Psychology, Abnormal",5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 158,4583,,Adolescent Psychology,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4583,,Abnormal Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 161,4583,,Critical and Creative Thinking,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 165,4583,,Ethics in America,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4583,"UCTA, EL",Intro to Ethics: Theory & App,22
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 171,4583,,Cultural Impacts,5
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4583,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4583,SS,Social Problems,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 175,4583,,Dealing With Diversity,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 180,4583,,Personal Effectiveness: the Se,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4583,SS,Developmental Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 190,4583,,Cultural Adaptability,5
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4583,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4583,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4583,SS,Contemporary Amer Society,
9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,4583,"UCTA,SS",Intro to Psychology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,4583,SS,Psychology of Human Relations,
4670,,3.0,GEN CONF,General Confer,COMMSK (801) 100,4583,,"Communications, Technical-Oral",11
4670,,3.0,GEN CONF,General Confer,COMMSK (801) 120,4583,,"Communications, Technical-Writ",11
4670,,1.0,GEN CONF,General Confer,COMMSK (801) 121,4583,,College Writing 1,11
4670,,2.0,GEN CONF,General Confer,COMMSK (801) 122,4583,,College Writing 2,11
4670,,2.0,GEN CONF,General Confer,COMMSK (801) 130,4583,,Communication-Assertiveness,11
4670,,2.0,GEN CONF,General Confer,COMMSK (801) 132,4583,,Creative Writing,11
4670,L,3.0,WRIT EL,Writing Elective,COMMSK (801) 136,4583,UCTA,English Composition 1,22
4670,,1.0,GEN CONF,General Confer,COMMSK (801) 139,4583,,"Internet, Exploring the",11
4670,L,3.0,GEN EL,General Elective,COMMSK (801) 151,4583,,Communication Skills 1 Verbal,
4670,L,3.0,GEN EL,General Elective,COMMSK (801) 152,4583,,Communication Skills 2 Written,
4670,,3.0,GEN CONF,General Confer,COMMSK (801) 159,4583,,Training/Dev in Office Systems,11
4670,L,3.0,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 162,4583,GE-IA,Corrections Report Writing,
4670,L,3.0,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 164,4583,GE-IA,Writing-Manuals & Brochures,
4670,L,3.0,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 195,4583,"GE-IA, UCTA",Written Communication,22
4670,L,3.0,C J 203,Human Comm,COMMSK (801) 196,4583,"GE-IA, LE-S1",Oral/Interpersonal Comm,
4670,L,3.0,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 197,4583,GE-IA,Technical Reporting,
4670,L,3.0,C J 202,Speech Fundamntls,COMMSK (801) 198,4583,"GE-IA, LE-S1, UCTA",Speech,22
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 177,4583,,Animal Science,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 178,4583,,Bio-Security,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 179,4583,,Diseases,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 180,4583,,Animal Nutrition,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 181,4583,,Herd Management,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 182,4583,,Milk Quality,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 183,4583,,Crop Management,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 184,4583,,Introduction to Soils,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 185,4583,,Grazing,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 187,4583,,Dairy Risk Management,5
4688,,1.0,NDC,No Degree Credit,FARM BUS (090) 188,4583,,Farm Tax,5
4688,,1.0,NDC,No Degree Credit,FARM BUS (090) 189,4583,,Investments,5
4688,,3.0,NDC,No Degree Credit,FARM BUS (090) 191,4583,,Business Planning,5
4688,,1.0,NDC,No Degree Credit,FARM BUS (090) 192,4583,,Strategic Farm Management Plan,5
4688,U,3.0,BUS ADM 362,Intro to Hr Management,HRMGT (116) 130,4583,,Introductn to Human Resources,
4688,L,3.0,ET 130,Basic Electrical Circuits I,EMTEC (620) 101,4583,,Dc Circuits,
4688,L,3.0,ET 232,Semiconductor Devices,EMTEC (620) 103,4583,,Semi-Conductor Devices,
4688,L,3.0,ET EL,Engineering Technology Elective,EMTEC (620) 104,4583,,Digital Electronics,19
4688,U,3.0,ET 311,Digital Electronics,EMTEC (620) 104,4583,,Digital Electronics,
4688,L,4.0,ET EL,Engineering Technology Electiv,EMTEC (620) 115,4583,,Ac-Dc Machinery/Motor Controls,19
4688,L,4.0,ET EL,Engineering Technology Elective,EMTEC (620) 115,4583,,Ac-Dc Machinery/Motor Controls,
4688,U,3.0,ET 240,Microcon and Plcs,EMTEC (620) 135,4583,,Allen-Bradley Plc/Ladder Logic,
4688,None,3.0,ET 340,Advanced Plcs,EMTEC (620) 136,4583,None,Adv Allenbradley Plc/Panelview,None
4656,,3.0,NDC,No Degree Credit,MEDTERM (501) 101,4583,,Medical Terminology,5
4656,,4.0,NDC,No Degree Credit,ACCTG (101) 111,4583,,Accounting 1,5
4656,,3.0,NDC,No Degree Credit,ACCTG (101) 170,4583,,Personal Finance,5
4656,,3.0,NDC,No Degree Credit,CUL ARTS (316) 100,4583,,Food Principles 1,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 121,4583,,Nutrition,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 147,4583,,Sanitation and Safety,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 160,4583,,Restaurant Baking,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 164,4583,,Specialty Baking-Breads/Yeast,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 183,4583,,Food Prod-Vegetable/Potato,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 184,4583,,Food Prod-Pasta/Grain/Breakfst,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 185,4583,,Food Production-Stocks & Soups,5
4656,,2.0,NDC,No Degree Credit,CUL ARTS (316) 186,4583,,Food Prod-Sauce/Specialty Soup,5
4656,,3.0,NDC,No Degree Credit,SUPDEV (196) 189,4583,,Team Building and Problem Solv,5
4656,,3.0,NDC,No Degree Credit,SUPDEV (196) 190,4583,,Leadership Development,5
4656,,3.0,NDC,No Degree Credit,SUPDEV (196) 192,4583,,Managing For Quality,5
4656,,3.0,NDC,No Degree Credit,MKTG (104) 102,4583,,Marketing Principles,5
4656,,1.0,NDC,No Degree Credit,COMPSOFT (103) 159,4583,,"Computer Literacy, Microsoft O",5
4656,,1.0,NDC,No Degree Credit,COMPSOFT (103) 166,4583,,Microsoft Frontpage,5
4656,,2.0,NDC,No Degree Credit,COMPSOFT (103) 170,4583,,Beginning Photoshop,5
4656,,2.0,NDC,No Degree Credit,COMPSOFT (103) 180,4583,,Microsoft Excel,5
4656,,2.0,NDC,No Degree Credit,COMPSOFT (103) 181,4583,,Microsoft Access,5
4656,,2.0,NDC,No Degree Credit,COMPSOFT (103) 182,4583,,Microsoft Powerpoint,5
4656,,3.0,NDC,No Degree Credit,COMPSOFT (103) 193,4583,,Dreamweaver/Flash,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 148,4583,,Ece: Foundations of Ece,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 151,4583,,Ece: Infant & Toddler Dev,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 166,4583,,Ece: Curriculum Planning,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 167,4583,,Ece: Hlth Safety & Nutrition,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 174,4583,,Ece: Practicum 1,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 178,4583,,Ece: Art Music & Lang Arts,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 179,4583,,Ece: Child Development,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 187,4583,,Ece: Children W Diff Abilities,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 188,4583,,Ece: Guiding Child Behavior,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 192,4583,,Ece: Practicum 2,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 194,4583,,Ece: Math Science & Soc St,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 195,4583,,Ece: Family & Community Rel,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 197,4583,,Ece: Practicum 3,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 198,4583,,Ece: Admin An Ece Program,5
4656,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 199,4583,,Ece: Practicum 4,5
4672,L,3.0,NDC,No Degree Credit,MATH (804) 106,4583,,Intro to College Math,5
4672,L,3.0,NDC,No Degree Credit,MATH (804) 107,4583,,College Mathematics,5
4672,L,3.0,NDC,No Degree Credit,MATH (804) 110,4583,,Elem Algebra W Apps,5
4672,L,3.0,NDC,No Degree Credit,MATH (804) 113,4583,,College Technical Math 1a,"5, 205"
4672,L,2.0,NDC,No Degree Credit,MATH (804) 114,4583,,College Technical Math 1b,"5, 205"
4672,L,5.0,NDC,No Degree Credit,MATH (804) 115,4583,,College Technical Math 1,"5, 205"
4672,L,4.0,NDC,No Degree Credit,MATH (804) 116,4583,,College Technical Math 2,"5, 205"
4672,L,4.0,NDC,No Degree Credit,MATH (804) 118,4583,,Interm Algebra W Apps,5
4672,L,3.0,NDC,No Degree Credit,MATH (804) 133,4583,,Mathematics and Logic,5
4672,,2.0,NDC,No Degree Credit,MATH (804) 174,4583,,"Mathematics, Survey of",205
4672,L,3.0,MTH EL,Mathematics Elective,MATH (804) 189,4583,UCTA,Introductory Statistics,22
4672,L,3.0,MTH 150,College Algebra,MATH (804) 195,4583,GE02,College Algebra W Apps,
4672,L,3.0,MTH EL,Mathematics Elective,MATH (804) 196,4583,,Trigonometry W Apps,
4672,L,5.0,MTH EL,Mathematics Elective,MATH (804) 197,4583,UCTA,College Algebra & Trig W Apps,22
4672,L,4.0,MTH EL,Mathematics Elective,MATH (804) 198,4583,,Calculus,
4656,E,4.0,BioSci EL,Biological Science Elective,NATSCI (806) 105,4583,B,Principles of Animal Biology,
4656,E,4.0,BioSci EL,Biological Science Elective,NATSCI (806) 114,4583,"B, UCTA",General Biology,22
4656,E,3.0,Nat Sci EL,Natural Science Elective,NATSCI (806) 122,4583,N,Natural Sciences in Society,
4656,E,4.0,CHEM EL,Chemistry Elective,NATSCI (806) 134,4583,"P, UCTA",General Chemistry,22
4656,,4.0,NDC,No Degree Credit,NATSCI (806) 137,4583,,Comprehensive Tech Physics,5
4656,,3.0,NDC,No Degree Credit,NATSCI (806) 143,4583,,College Physics 1,5
4656,E,4.0,PHYSICS 103,General Physics,NATSCI (806) 154,4583,"P, QR-B",General Physics (Alg-Based),
4656,E,4.0,ANATOMY EL,Anatomy Elective,NATSCI (806) 177,4583,B,Gen Anatomy & Physiology,
4656,E,4.0,PHYSIOL EL,Physiology Elective,NATSCI (806) 179,4583,B,Adv Anatomy & Physiology,
4656,E,3.0,BIOCHEM EL,Biochemistry Elective,NATSCI (806) 186,4583,P,Intro to Biochemistry,
4656,,3.0,NDC,No Degree Credit,NATSCI (806) 189,4583,,Basic Anatomy,5
4656,E,4.0,MICROBIO EL,Microbiology Elective,NATSCI (806) 197,4583,B,Microbiology,
4672,L,3.0,H-P 250,Med Term Health Pr,MEDTERM (501) 101,4583,,Medical Terminology,
4672,L,3.0,ENG 110,College Writing I,COMMSK (801) 136,4583,"UCTA,GE01",English Composition 1,22
4672,L,3.0,ENG 110,College Writing,COMMSK (801) 195,4583,"UCTA,GE01",Written Communication,22
4672,L,3.0,CST EL,Communication Studies Elective,COMMSK (801) 196,4583,,Oral/Interpersonal Comm,
4672,L,3.0,ENG 308,Technical Writing,COMMSK (801) 197,4583,,Technical Reporting,
4672,L,3.0,CST 110,Communicating Effectively,COMMSK (801) 198,4583,"UCTA,GE01",Speech,22
4672,L,3.0,CS 224,Intro to Prog Lang,IT (107) 116,4583,,Visual C++ Programming,
4656,,3.0,NDC,No Degree Credit,MATH (804) 106,4583,,Intro to College Math,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 107,4583,,College Mathematics,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 110,4583,,Elem Algebra W Apps,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 113,4583,,College Technical Math 1a,5
4656,,2.0,NDC,No Degree Credit,MATH (804) 114,4583,,College Technical Math 1b,5
4656,,5.0,NDC,No Degree Credit,MATH (804) 115,4583,,College Technical Math 1,5
4656,,4.0,NDC,No Degree Credit,MATH (804) 116,4583,,College Technical Math 2,5
4656,,3.0,MATH 096,Preparatory Algebra,MATH (804) 118,4583,,Interm Algebra W Apps,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 123,4583,,Math W Business Apps,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 133,4583,,Mathematics and Logic,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 155,4583,,Mathematics Unit 1,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 156,4583,,Mathematics Unit 2,5
4656,,3.0,NDC,No Degree Credit,MATH (804) 157,4583,,Mathematics Unit 3,5
4656,E,3.0,MATH 112,Algebra,MATH (804) 195,4583,QR-A,College Algebra W Apps,
4656,E,3.0,MATH 113,Trigonometry,MATH (804) 196,4583,,Trigonometry W Apps,
4656,E,5.0,MATH 114,Algebra and Trigonometry,MATH (804) 197,4583,"QR-A, UCTA",College Algebra & Trig W Apps,22
4656,I,4.0,MATH EL,Mathematics Elective,MATH (804) 198,4583,N,Calculus,
4672,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 103,4583,,Think Critically & Creatively,
4672,L,3.0,POL 101,Amer Natl Govern,SOCSCI (809) 111,4583,"UCTA,GE06",American Government,22
4672,L,3.0,POL 101,Amer Natl Govern,SOCSCI (809) 122,4583,"UCTA,GE06",Intro to Amer Government,22
4672,L,3.0,SOC 212,Marriage & Family,SOCSCI (809) 128,4583,,Marriage & Family,
4672,L,3.0,PSY 212,Lifespan Development,SOCSCI (809) 148,4583,,Developmental Psychology,
4672,L,3.0,PSY 204,Abnormal Psychology,SOCSCI (809) 154,4583,,"Psychology, Abnormal",
4672,L,3.0,PSY 311,Adolescence,SOCSCI (809) 158,4583,,Adolescent Psychology,
4672,L,3.0,PSY 204,Abnormal Psychology,SOCSCI (809) 159,4583,,Abnormal Psychology,
4672,L,3.0,PHL 201,Ethical Theory & Practice,SOCSCI (809) 165,4583,UCTA,Ethics in America,22
4672,L,3.0,PHL EL,Philosophy Elective,SOCSCI (809) 166,4583,"GE07, UCTA",Intro to Ethics: Theory & App,22
4672,L,3.0,GEN EL,General Elective,SOCSCI (809) 172,4583,"GE03, UCTA",Introduction to Diversity Stud,22
4672,L,3.0,SOC 120,Social Problems,SOCSCI (809) 174,4583,GE06,Social Problems,
4672,L,3.0,PSY 212,Lifespan Development,SOCSCI (809) 188,4583,GE06,Developmental Psychology,
4672,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 195,4583,"GE06, UCTA",Economics,22
4672,L,3.0,SOC 110,Introduction to Sociology,SOCSCI (809) 196,4583,"UCTA,GE06",Intro to Sociology,22
4672,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 197,4583,,Contemporary Amer Society,
4672,L,3.0,PSY 100,General Psychology,SOCSCI (809) 198,4583,"UCTA,GE06",Intro to Psychology,22
4672,L,3.0,PSY 205,Effective Behavior,SOCSCI (809) 199,4583,GE06,Psychology of Human Relations,
4672,L,4.0,BIO EL,Biology Elective,NATSCI (806) 105,4583,GE05,Principles of Animal Biology,
4672,L,4.0,BIO 100,Bio For the Informed Citizen,NATSCI (806) 114,4583,"UCTA,GE05",General Biology,22
4672,L,3.0,GEN EL,General Elective,NATSCI (806) 122,4583,GE05,Natural Sciences in Society,
4672,L,4.0,CHM 100,Contemporary Chemistry,NATSCI (806) 134,4583,"UCTA,GE05",General Chemistry,22
4672,L,4.0,PHY 125,Physics For the Life Sciences,NATSCI (806) 137,4583,GE05,Comprehensive Tech Physics,
4672,L,4.0,PHY 103,Fund Physics I,NATSCI (806) 154,4583,"UCTA,GE05",General Physics (Alg-Based),22
4672,L,4.0,ESS 205,Human Anat & Phys Ex Sci I,NATSCI (806) 177,4583,GE05,Gen Anatomy & Physiology,
4672,L,4.0,ESS 206,Human Anat & Phys-Ex Sci II,NATSCI (806) 179,4583,,Adv Anatomy & Physiology,
4672,L,4.0,CHM EL,Chemistry Elective,NATSCI (806) 186,4583,GE05,Intro to Biochemistry,
4672,L,4.0,BIO EL,Biology Elective,NATSCI (806) 195,4583,GE05,Anatomy & Physiology 1,
4672,L,4.0,BIO EL,Biology Elective,NATSCI (806) 196,4583,GE05,Anatomy & Physiology 2,
4672,L,4.0,MIC 100,Microbes and Society,NATSCI (806) 197,4583,GE05,Microbiology,
4672,L,1.0,UWL 100,1st Year Seminar,GEN ST (890) 125,4583,GE06,Student Success,
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 100,4583,,"Communications, Technical-Oral",5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 101,4583,,Comm Unit 1-Verbal Application,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 102,4583,,Comm Unit 2-Verbal Dynamics,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 103,4583,,Introduction to College Writin,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 120,4583,,"Communications, Technical-Writ",5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 121,4583,,College Writing 1,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 122,4583,,College Writing 2,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 123,4583,,Comm Unit 3-Job Seeking Skills,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 130,4583,,Communication-Assertiveness,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 132,4583,,Creative Writing,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 133,4583,,Adv Writing Skills,5
9999,L,3.0,ENG 101,College Write & Critical Read,COMMSK (801) 136,4583,UCTA,English Composition 1,22
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 139,4583,,"Internet, Exploring the",5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 145,4583,,Organizational Communications,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 149,4583,,Wids Training,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 151,4583,,Communication Skills 1 Verbal,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 152,4583,,Communication Skills 2 Written,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 159,4583,,Training/Dev in Office Systems,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 161,4583,,Police Report Writing,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 162,4583,,Corrections Report Writing,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 164,4583,,Writing-Manuals & Brochures,5
9999,L,3.0,ENG EL,English Elective,COMMSK (801) 195,4583,"EL, UCTA",Written Communication,22
9999,L,3.0,CTA 101,Interpersonal Comm,COMMSK (801) 196,4583,AP,Oral/Interpersonal Comm,
9999,L,3.0,ENG 206,Technical Writing,COMMSK (801) 197,4583,AP,Technical Reporting,
9999,L,3.0,CTA 103,Intro Public Speaking,COMMSK (801) 198,4583,"UCTA,AP",Speech,22
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4583,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4583,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4583,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4583,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4583,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4583,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4583,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4583,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4583,,Mathematics and Logic,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 174,4583,,"Mathematics, Survey of",5
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4583,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4583,"MS,CR",College Algebra W Apps,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4583,MS,Trigonometry W Apps,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4583,"UCTA,MS",College Algebra & Trig W Apps,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4583,MS,Calculus,
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 100,4583,,Pre-Employment Seminar,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 111,4583,,American Government,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4583,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4583,,Marriage & Family,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 130,4583,,Stress Management,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 148,4583,,Developmental Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 154,4583,,"Psychology, Abnormal",5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 158,4583,,Adolescent Psychology,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4583,,Abnormal Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 161,4583,,Critical and Creative Thinking,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 165,4583,,Ethics in America,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4583,"UCTA, EL",Intro to Ethics: Theory & App,22
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 171,4583,,Cultural Impacts,5
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4583,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4583,SS,Social Problems,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 175,4583,,Dealing With Diversity,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 180,4583,,Personal Effectiveness: the Se,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4583,SS,Developmental Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 190,4583,,Cultural Adaptability,5
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4583,"UCTA,SS",Economics,22
