to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.0,BUS EL,Business Elective,ACCTG 110,4614,,Financial Accounting,
9999,,3.0,NDC,No Degree Credit,ENG 101,4614,,Bilingual Language Seminar,5
9999,,3.0,NDC,No Degree Credit,ENG 133,4614,,Childrens Lit,5
9999,,2.0,NDC,No Degree Credit,ENG 141,4614,,Integrated Communication Skill,5
9999,,2.0,NDC,No Degree Credit,ENG 142,4614,,Integrated Communication Skill,5
9999,,3.0,NDC,No Degree Credit,ENG 151,4614,,Communication Skills 1,5
9999,,3.0,NDC,No Degree Credit,ENG 152,4614,,Communication Skills 2,5
9999,,3.0,NDC,No Degree Credit,ENG 153,4614,,Comm Skills 1,5
9999,,3.0,NDC,No Degree Credit,ENG 154,4614,,Comm Skills 2,5
9999,,1.0,NDC,No Degree Credit,ENG 155,4614,,Technical Writing,5
9999,,3.0,NDC,No Degree Credit,ENG 191,4614,,Basic Writing Skills,5
9999,,3.0,NDC,No Degree Credit,ENG 192,4614,,Intermediate Writing Skills,5
9999,L,3.0,ENG EL,English Elective,ENG 195,4614,"EL, UCTA",Written Communication,22
9999,L,3.0,CTA 101,Interpersonal Comm,ENG 196,4614,AP,Oral/Interpersonal Communicati,
9999,L,3.0,ENG 206,Technical Writing,ENG 197,4614,AP,Technical Reporting,
9999,L,3.0,CTA 103,Intro Public Speaking,ENG 198,4614,"UCTA,AP",Speech,22
9999,L,3.0,ENG 101,College Write & Critical Read,ENG 201,4614,"UCTA,EL",English 1,22
9999,L,3.0,ENG 102,"Crit Write, Read, and Research",ENG 202,4614,CR,English 2,
9999,L,3.0,CTA 203,News & Info Writing,ENG 205,4614,AP,Journalism 1,
9999,L,3.0,CTA 204,News Reporting,ENG 206,4614,AP,Journalism 2,
9999,L,3.0,ENG 203,Creative Writing I,ENG 207,4614,FA,Creative Writing,
9999,L,3.0,ENG EL,English Elective,ENG 208,4614,,Technical Communications,
9999,L,3.0,ENG EL,English Elective,ENG 209,4614,AP,Magazine Article Writing,
9999,L,1.0,ENG EL,English Elective,ENG 210,4614,AP,Writing the Technical Report,
9999,L,1.0,ENG EL,English Elective,ENG 211,4614,AP,Writing About Literature,
9999,L,1.0,ENG EL,English Elective,ENG 212,4614,,Writing the Research Paper,
9999,L,3.0,ENG 262,American Literature I,ENG 213,4614,HU,American Literature to 1865,
9999,L,3.0,ENG 263,American Literature II,ENG 214,4614,HU,American Literature Since 1865,
9999,L,3.0,ENG 267,Contemporary Literature,ENG 215,4614,HU,Contemporary Lit,
9999,L,3.0,ENG EL,English Elective,ENG 217,4614,HU,World Literature in Translatn,
9999,L,3.0,ENG EL,English Elective,ENG 218,4614,"HU, ES",African-American Literature 1,
9999,L,3.0,ENG EL,English Elective,ENG 219,4614,"HU, ES",African-American Literature 2,
9999,L,3.0,ENG EL,English Elective,ENG 220,4614,"HU, ES",Native American Lit,
9999,L,3.0,ENG EL,English Elective,ENG 221,4614,"HU, ES",Native American Women in Liter,
9999,L,3.0,ENG EL,English Elective,ENG 222,4614,HU,Images Women in Lit,
9999,L,3.0,ENG EL,English Elective,ENG 223,4614,HU,Afr Am Lit By/About Black Womn,
9999,L,3.0,ENG EL,English Elective,ENG 225,4614,HU,Holocaust Literature; Out of T,
9999,L,3.0,ENG EL,English Elective,ENG 227,4614,HU,Literature of Wisconsin,
9999,L,3.0,ENG EL,English Elective,ENG 235,4614,HU,Utopian & Science Fiction Lite,
9999,L,3.0,CTA 150,Introduction to Film,ENG 240,4614,FA,Intro Modern Cinema,
9999,,2.0,NDC,No Degree Credit,SOCSCI 100,4614,,College Seminar,5
9999,,3.0,NDC,No Degree Credit,SOCSCI 110,4614,,American Economy,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI 122,4614,"UCTA,SS",Intro to American Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI 128,4614,,Marriage & Family,5
9999,,3.0,NDC,No Degree Credit,SOCSCI 130,4614,,Amer State/Local Govt-Police,5
9999,,3.0,NDC,No Degree Credit,SOCSCI 131,4614,,American Natl Govt-Police,5
9999,,3.0,NDC,No Degree Credit,SOCSCI 134,4614,,Human Growth & Dev,5
9999,,3.0,NDC,No Degree Credit,SOCSCI 149,4614,,Ethics For the Professions,5
