to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.0,HIS 105,Hist of Western Civ,HIST (803) 207,4646,HU,History of Western Civilizatio,
9999,L,3.0,HIS 106,Hist of Western Civ,HIST (803) 211,4646,HU,History of Western Civilizatio,
9999,L,3.0,HIS 101,US His to Civ War (Es),HIST (803) 215,4646,"ES,SS",History of American People to,
9999,L,3.0,HIS 102,US His Civ War+ (Es),HIST (803) 219,4646,"ES,SS",History of American People Fro,
9999,L,3.0,HIS 293,Civ War & Reconstruc,HIST (803) 220,4646,SS,History of the Civil War,
9999,L,3.0,HIS 290,History of  Wisconsin,HIST (803) 223,4646,SS,History of Wisconsin,
9999,L,3.0,POL 204,"Natl,State,Local Gov",HIST (803) 227,4646,SS,American Government,
9999,L,3.0,POL EL,Political Science Elective,HIST (803) 228,4646,SS,Elections & Voting Behavior,
9999,L,3.0,ANT 314,Indians of North America (Es),HIST (803) 230,4646,"ES,SS",History of Amer Indians,
9999,L,3.0,HIS EL,History Elective,HIST (803) 232,4646,SS,Women in History,
9999,L,3.0,HIS EL,History Elective,HIST (803) 235,4646,SS,China; Survey Chinese History,
9999,L,3.0,HIS EL,History Elective,HIST (803) 236,4646,SS,History of Women in US,
9999,L,3.0,HIS EL,History Elective,HIST (803) 239,4646,"SS, ES",Japan:Living Changing Traditio,
9999,L,3.0,HIS EL,History Elective,HIST (803) 240,4646,"SS, ES",History of Ethnic America,
9999,L,3.0,HIS 119,Making of Modern Eur,HIST (803) 243,4646,HU,Modern Europe,
9999,L,3.0,HIS 120,Eur & Mod Wld 1815+,HIST (803) 247,4646,HU,Russia/East Europe Since 1815,
9999,L,3.0,HIS EL,History Elective,HIST (803) 250,4646,SS,Women & Work in United States,
9999,L,3.0,HIS 254,American Foreign Relations,HIST (803) 251,4646,SS,American Foreign Policy Since,
9999,L,3.0,HIS EL,History Elective,HIST (803) 252,4646,"SS, ES",The Africans,
9999,L,3.0,HIS EL,History Elective,HIST (803) 255,4646,"SS, ES",Southeast Asia in Modern Times,
9999,L,3.0,HIS 274,Surv Mod E Asian His,HIST (803) 256,4646,SS,Modern Asian History,
9999,L,3.0,HIS EL,History Elective,HIST (803) 257,4646,SS,The U.S. Civil Rights Movement,
9999,L,3.0,HIS 161,World History to 1500,HIST (803) 258,4646,HU,World History to 1500,
9999,L,3.0,HIS 162,World History Since 1500,HIST (803) 259,4646,HU,World History Since 1500,
9999,L,3.0,HIS EL,History Elective,HIST (803) 260,4646,,Topics in History,
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4646,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4646,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4646,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4646,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4646,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4646,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4646,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4646,EL,Intermediate Algebra With Appl,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4646,,Mathematics and Logic,5
9999,,4.0,NDC,No Degree Credit,MATH (804) 170,4646,,Technical Mathematics I,5
9999,,5.0,NDC,No Degree Credit,MATH (804) 173,4646,,Technical Mathematics II,5
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4646,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4646,"MS,CR",College Algebra With Appls,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4646,MS,Trigonometry With Appls,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4646,"UCTA,MS",Coll Algebra & Trig With Appls,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4646,MS,Calculus,
9999,L,3.0,CPS 100,Computers and Soc,MATH (804) 210,4646,EL,Introduction to Computers and,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 220,4646,EL,Intermediate Algebra,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 222,4646,"UCTA,MS",College Alg/Trigonometry,22
9999,L,4.0,MAT 110,College Algebra,MATH (804) 224,4646,"MS,CR",Algebra For Calculus,
9999,L,4.0,MAT EL,Mathematics Elective,MATH (804) 227,4646,MS,Elementary Math Education I,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 228,4646,MS,Plane Trigonometry,
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 230,4646,"UCTA,MS",Statistics,22
9999,L,5.0,MAT 221,Calc & Analy Geom I,MATH (804) 236,4646,MS,Calculus and Analytic Geometry,
9999,L,4.0,MAT EL,Mathematics Elective,MATH (804) 237,4646,MS,Elementary Math Education II,
9999,L,5.0,MAT 222,Calculus & Analytic Geom II,MATH (804) 240,4646,MS,Calculus and Analytic Geometry,
9999,L,5.0,MAT 223,Calculus  & Analytic Geom III,MATH (804) 241,4646,MS,Calculus and Analytic Geometry,
9999,L,3.0,MAT 224,Linear Mathematics,MATH (804) 245,4646,MS,Linear Mathematics,
9999,L,3.0,ART 180,Artist & Visual Arts,ART (815) 201,4646,FA,Art Appreciation,
9999,L,3.0,ART 101,Introduction to Drawing,ART (815) 205,4646,AP,Drawing,
9999,L,1.0,ART EL,Art Elective,ART (815) 208,4646,AP,Document and Page Layout,
9999,L,3.0,ART 111,Two-Dimensional Design,ART (815) 209,4646,AP,Design,
9999,L,3.0,ART 201,Introduction to Life Drawing,ART (815) 210,4646,AP,Life Drawing,
9999,L,3.0,ART 121,Intro to Painting,ART (815) 213,4646,AP,Painting,
9999,L,3.0,ART 122,Water-Based Media,ART (815) 215,4646,AP,Watercolor,
9999,L,3.0,ART 131,Intro to Sculpture,ART (815) 217,4646,AP,Sculpture,
9999,L,3.0,ART 154,Intro to Ceramics,ART (815) 221,4646,AP,Ceramics,
9999,L,3.0,ART 187,Survey: Modern Art,ART (815) 225,4646,FA,Art History,
9999,L,3.0,ART EL,Art Elective,ART (815) 230,4646,FA,Native American Art,
9999,L,3.0,ART EL,Art Elective,ART (815) 235,4646,AP,Fibers,
9999,L,3.0,ART 161,Introduction to Photography,ART (815) 240,4646,AP,Basic Photography,
9999,L,3.0,ART 102,Intermediate Drawing,ART (815) 245,4646,AP,Intermediate Drawing,
9999,L,3.0,ART EL,Art Elective,ART (815) 250,4646,AP,Intermediate Design,
9999,L,3.0,ART EL,Art Elective,ART (815) 255,4646,AP,Intermediate Painting,
9999,L,3.0,ART 231,Intermed Sculpture,ART (815) 260,4646,AP,Intermediate Sculpture,
9999,L,3.0,ART 254,Intermed Ceramics,ART (815) 265,4646,AP,Intermediate Ceramics,
9999,L,3.0,ART EL,Art Elective,ART (815) 270,4646,AP,Graphic Design Portfolio,
9999,L,3.0,ART EL,Art Elective,ART (815) 275,4646,AP,Computer Graphics,
9999,L,3.0,ART EL,Art Elective,ART (815) 276,4646,AP,Advanced Computer Graphics,
9999,L,3.0,ART EL,Art Elective,ART (815) 277,4646,AP,Color,
9999,L,3.0,ART EL,Art Elective,ART (815) 278,4646,AP,Illustration,
9999,L,3.0,ART EL,Art Elective,ART (815) 279,4646,AP,Illustration,
9999,L,3.0,ART 180,Artist & Visual Arts,ART (815) 280,4646,FA,The Arts:Exploration/Appreciat,
9999,L,3.0,ART EL,Art Elective,ART (815) 281,4646,AP,Graphic Design,
9999,L,3.0,ART EL,Art Elective,ART (815) 282,4646,AP,Web Page Design,
9999,L,3.0,ART EL,Art Elective,ART (815) 283,4646,AP,Typography,
9999,L,3.0,ART EL,Art Elective,ART (815) 285,4646,AP,Interactive Multimedia,
9999,L,3.0,ART EL,Art Elective,ART (815) 299,4646,,Spec Proj: Art,
9999,,3.0,NDC,No Degree Credit,SPEECH (810) 101,4646,,Fundamentals of Speech,5
9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 201,4646,,Fundamentals of Speech,
9999,L,3.0,CTA 150,Introduction to Film,SPEECH (810) 204,4646,FA,Motion Picture Appreciation,
9999,L,3.0,CTA 130,Intro to Theatre,SPEECH (810) 207,4646,FA,Theatre Appreciation,
9999,L,3.0,CTA 232,Intro Acting,SPEECH (810) 213,4646,AP,Fundamentals of Acting,
9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 216,4646,AP,Beginning Directing,
9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 225,4646,,Topics in Speech/Theatre,
9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 299,4646,AP,Theatre Practicum Special Proj,
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 100,4646,,English Composition,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 101,4646,,Communications,5
9999,L,3.0,GEN EL,General Elective,COMMSK (801) 102,4646,,Communications:Composition,
9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,COMMSK (801) 103,4646,,Communications:Listening & Spe,
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 105,4646,,Communications,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 110,4646,,Basic Composition,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 111,4646,,Basic Structure/Engl I,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 112,4646,,Effective Listening,5
