to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,,2.0,NDC,No Degree Credit,MATH (804) 100,4663,,Mathematics For Electronics Ma,5
9999,,3.0,NDC,No Degree Credit,MATH (804) 102,4663,,Math of Finance,5
9999,,0.0,NDC,No Degree Credit,MATH (804) 106,4663,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4663,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4663,,Elem Algebra W Apps,5
9999,,1.0,NDC,No Degree Credit,MATH (804) 111,4663,,Technical Mathematics a,5
9999,,1.0,NDC,No Degree Credit,MATH (804) 112,4663,,Technical Mathematics B,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4663,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4663,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4663,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4663,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4663,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4663,,Math & Logic,5
9999,,3.0,NDC,No Degree Credit,MATH (804) 141,4663,,Basic Technical Math,5
9999,,5.0,NDC,No Degree Credit,MATH (804) 151,4663,,Tech Math I,5
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4663,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4663,"MS,CR",College Algebra W Apps,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4663,MS,Trigonometry W Apps,
9999,L,2.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4663,"UCTA,MS",College Technical Math 1b,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4663,MS,Calculus 1,
9999,L,2.0,BIO EL,Biology Elective,NATSCI (806) 106,4663,NS,Pathogenic Microbiology,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,4663,"NS, LS, UCTA",General Biology,22
9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,4663,"UCTA,LS,NS",General Chemistry,22
9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,4663,"UCTA,LS,NS",General Physics 1,22
9999,L,4.0,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4663,"LS,NS",Gen Anatomy & Physiology,215
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 179,4663,"NS, LS",Adv Anatomy & Physiology,215
9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 186,4663,NS,Intro to Biochemistry,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 195,4663,NS,Anatomy & Physiology 1,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 196,4663,NS,Anatomy & Physiology 2,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 197,4663,NS,Microbiology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 100,4663,,Personal Finance-Consumer Econ,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 101,4663,,Cents & Sensibility,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 102,4663,,Leadership As An Art,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 104,4663,,Marriage&Family/Relationships,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 105,4663,,Econ Management,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 106,4663,,Econ Decisions,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 107,4663,,Take Ctrl of One's Financial F,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 109,4663,,Leadership Development/Student,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 111,4663,,Trng Behavior Science Skill &,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 112,4663,,Current Econ Issues - Immigrat,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 113,4663,,Developmental Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 114,4663,,Industrial/Organizational Psyc,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 115,4663,,Global Cultural Awareness,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 116,4663,,Global Cultural Awareness 2,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4663,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4663,,Marriage & Family,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 132,4663,,Futurism-Changing World of Wor,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 133,4663,,Growth/Development,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 134,4663,,Chg Roles of Men & Women At Wo,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 136,4663,,Abnormal Psycholog,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 138,4663,,Exceptional Person,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 153,4663,,Gender Roles in Society,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 155,4663,,Student & Community Leadership,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 157,4663,,Labor&Ind Relation,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 158,4663,,International Relations/Politi,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4663,,Abnormal Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 161,4663,,College Success,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 163,4663,,Economics For Bankers,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 164,4663,,World Cultures,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4663,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4663,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4663,SS,Social Problems,
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4663,SS,Developmental Psychology,
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4663,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4663,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4663,SS,Contemporary American Society,
9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,4663,"UCTA,SS",Intro to Psychology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,4663,SS,Psychology of Human Relations,
9999,,2.0,NDC,No Degree Credit,MATH (804) 100,4663,,Mathematics For Electronics Ma,5
9999,,3.0,NDC,No Degree Credit,MATH (804) 102,4663,,Math of Finance,5
9999,,0.0,NDC,No Degree Credit,MATH (804) 106,4663,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4663,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4663,,Elem Algebra W Apps,5
9999,,1.0,NDC,No Degree Credit,MATH (804) 111,4663,,Technical Mathematics a,5
9999,,1.0,NDC,No Degree Credit,MATH (804) 112,4663,,Technical Mathematics B,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4663,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4663,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4663,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4663,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4663,EL,Interm Algebra W Apps,
