to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,4585,"NS, LS, UCTA",General Biology,22
9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,4585,"UCTA,LS,NS",General Chemistry,22
9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,4585,"UCTA,LS,NS",General Physics 1,22
9999,L,4.0,CHE 124,Applied Chemistry and Society,NATSCI (806) 155,4585,"LS,NS",Chemistry-Basic,
9999,L,3.0,CHE 203,Survey of Biochemistry,NATSCI (806) 163,4585,"LS,NS",Chemistry-Bio Organic,
9999,L,4.0,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4585,"LS,NS",Gen Anatomy & Physiology,216
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 179,4585,"NS, LS",Adv Anatomy & Physiology,216
9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 182,4585,NS,Anatomy/Physiology 1-General,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 183,4585,NS,Microbiology-Dental,
9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 186,4585,NS,Intro to Biochemistry,
9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 187,4585,NS,Anatomy/Physiology 2-General,
9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 189,4585,NS,Basic Anatomy,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 194,4585,NS,Anatomy/Physiology-Advanced,
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4585,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4585,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4585,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4585,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4585,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4585,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4585,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4585,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 132,4585,,Geometry-Analytic,5
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4585,,Math & Logic,5
9999,L,4.0,MAT EL,Mathematics Elective,MATH (804) 160,4585,,Mathematics 2-Technical,
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4585,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4585,"MS,CR",College Algebra W Apps,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4585,MS,Trigonometry W Apps,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4585,"UCTA,MS",College Algebra & Trig W Apps,22
