to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4670,P,3.0,NDC,No Degree Credit,MATH (804) 104,4639,,General Math,5
4670,P,3.0,MATH 010,Bas Math & El Alg,MATH (804) 106,4639,,Intro to College Math,5
4670,P,3.0,MATH 010,Bas Math & El Alg,MATH (804) 107,4639,,College Mathematics,5
4670,P,3.0,MATH 020,Intermed Algebra,MATH (804) 109,4639,,Intermediate Algebra,5
4670,P,3.0,MATH 010,Bas Math & El Alg,MATH (804) 110,4639,,Elem Algebra W Apps,5
4670,,3.0,NDC,No Degree Credit,MATH (804) 111,4639,,Elementary Algebra,5
4670,P,3.0,NDC,No Degree Credit,MATH (804) 113,4639,,College Technical Math 1a,5
4670,P,2.0,MATH 020,Intermed Algebra,MATH (804) 114,4639,,College Technical Math 1b,5
4670,P,5.0,DNT,Does Not Transfer,MATH (804) 115,4639,,College Technical Math 1,20
4670,P,4.0,MATH 010,Bas Math & El Alg,MATH (804) 116,4639,,College Technical Math 2,
4670,P,4.0,MATH 020,Intermed Algebra,MATH (804) 118,4639,,Interm Algebra W Apps,5
4670,,3.0,NDC,No Degree Credit,MATH (804) 123,4639,,Math W Business Apps,5
4670,,3.0,NDC,No Degree Credit,MATH (804) 133,4639,,Math & Logic,5
4670,,3.0,NDC,No Degree Credit,MATH (804) 144,4639,,Math of Finance,5
4670,L,3.0,BSAD 202,Bus Statistics,MATH (804) 189,4639,UCTA,Introductory Statistics,22
4670,L,3.0,MATH 104,Finite Math,MATH (804) 195,4639,"GE-IB, LE-S2",College Algebra W Apps,
4670,L,3.0,MATH 113,Trigonometry,MATH (804) 196,4639,,Trigonometry W Apps,
4670,L,5.0,MATH 112,Precalculus Math,MATH (804) 197,4639,LE-S2,Coll Algebra & Trig With Appls,22
4670,L,3.0,NRSG 220,Language of Healt,MEDTERM (501) 101,4639,,Medical Terminology,
4670,,3.0,GEN CONF,General Confer,COMMSK (801) 189,4639,,Sign Language 1,"2, 11"
4670,,3.0,GEN CONF,General Confer,COMMSK (801) 190,4639,,Fund of English,11
4670,,3.0,GEN CONF,General Confer,COMMSK (801) 193,4639,,Technical Communications For H,"2, 11"
4670,L,3.0,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 195,4639,"GE-IA, UCTA",Written Communication,22
4670,L,3.0,C J 203,Human Comm,COMMSK (801) 196,4639,"GE-IA, LE-S1",Oral/Interpersonal Comm,
4670,L,3.0,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 197,4639,GE-IA,Technical Reporting,
4670,L,3.0,C J 202,Speech Fundamntls,COMMSK (801) 198,4639,"GE-IA, LE-S1, UCTA",Speech,22
4670,,1.0,GEN CONF,General Confer,COMMSK (801) 199,4639,,Commmunication Techniques/Spec,"2, 11"
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 148,4639,,Ece: Foundations of Ece,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 151,4639,,Ece: Infant & Toddler Dev,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 166,4639,,Ece: Curriculum Planning,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 167,4639,,Ece: Hlth Safety & Nutrition,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 174,4639,,Ece: Practicum 1,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 178,4639,,Ece: Art Music & Lang Arts,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 179,4639,,Ece: Child Development,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 187,4639,,Ece: Children W Diff Abilities,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 188,4639,,Ece: Guiding Child Behavior,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 192,4639,,Ece: Practicum 2,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 194,4639,,Ece: Math Science & Soc St,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 195,4639,,Ece: Family & Community Rel,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 197,4639,,Ece: Practicum 3,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 198,4639,,Ece: Admin An Ece Program,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 199,4639,,Ece: Practicum 4,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 101,4639,,Writing to Learn,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 103,4639,,Connecting Reading/Writing,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 104,4639,,Principles of Effective Listen,5
9999,L,3.0,ENG 101,College Write & Critical Read,COMMSK (801) 136,4639,UCTA,English Composition 1,22
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 190,4639,,Fund of English,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 191,4639,,Advanced Business Communicatio,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 192,4639,,Technical Communication,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 193,4639,,Technical Communications For H,5
9999,L,3.0,ENG EL,English Elective,COMMSK (801) 195,4639,"EL, UCTA",Written Communication,22
9999,L,3.0,CTA 101,Interpersonal Comm,COMMSK (801) 196,4639,AP,Oral/Interpersonal Comm,
9999,L,3.0,ENG 206,Technical Writing,COMMSK (801) 197,4639,AP,Technical Reporting,
9999,L,3.0,CTA 103,Intro Public Speaking,COMMSK (801) 198,4639,"UCTA,AP",Speech,22
4670,,2.0,GEN CONF,General Confer,NATSCI (806) 106,4639,,Tech Science,
4670,L,3.0,PHYS EL,Physics Elective,NATSCI (806) 108,4639,"GE-II, LE-K1",Applied Physics,
4670,,2.0,GEN CONF,General Confer,NATSCI (806) 109,4639,,Fundamentals of Chemistry,"2, 11"
4670,L,4.0,Nat. Sci. EL,Natural Science Elective,NATSCI (806) 114,4639,"GE-II, LS, LE-K1, LE-K1L",General Biology,22
4670,L,4.0,Nat. Sci. EL,Natural Science Elective,NATSCI (806) 134,4639,"GE-II, LS, LE-K1, LE-K1L, UCTA",General Chemistry,22
4670,L,4.0,PHYS 211,General Physics,NATSCI (806) 154,4639,"GE-II, LS, LE-K1, LE-K1L, UCTA",General Physics 1,22
4670,L,4.0,BIOL 151,Biology of Humans,NATSCI (806) 177,4639,"GE-II, LS, LE-K1, LE-K1L",Gen Anatomy & Physiology,
4670,L,4.0,Nat. Sci. EL,Natural Science Elective,NATSCI (806) 179,4639,"GE-II, LS, LE-K1, LE-K1L",Adv Anatomy & Physiology,
4670,L,4.0,CHEM 150,Survey of Biochem,NATSCI (806) 186,4639,"GE-II, LS, LE-K1, LE-K1L",Intro to Biochemistry,
4670,L,4.0,Nat. Sci. EL,Natural Science Elective,NATSCI (806) 186,4639,"GE-II, LS, LE-K1, LE-K1L",Intro to Biochemistry,
4670,L,4.0,CHEM 150,Survey of Biochem,NATSCI (806) 189,4639,"GE-II, LE-K1",Basic Anatomy,
4670,L,4.0,Nat. Sci. EL,Natural Science Elective,NATSCI (806) 197,4639,GE-II,Microbiology,
9999,,5.0,NDC,No Degree Credit,MATH (804) 101,4639,,Tech Math I,"5, 1253"
9999,L,4.0,MAT EL,Mathematics Elective,MATH (804) 102,4639,,Tech Math II,1253
9999,,3.0,NDC,No Degree Credit,MATH (804) 103,4639,,Statistics With Applications,5
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4639,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4639,,College Mathematics,
9999,L,3.0,MAT 105,Intro College Algebra,MATH (804) 109,4639,EL,Intermediate Algebra,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4639,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4639,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4639,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4639,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4639,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4639,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4639,,Math & Logic,5
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4639,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4639,"MS,CR",College Algebra W Apps,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4639,MS,Trigonometry W Apps,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4639,"UCTA,MS",Coll Algebra & Trig With Appls,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4639,MS,College Technical Math 2,
9999,,5.0,NDC,No Degree Credit,MATH (804) 101,4639,,Tech Math I,"5, 1253"
9999,L,4.0,MAT EL,Mathematics Elective,MATH (804) 102,4639,,Tech Math II,1253
9999,,3.0,NDC,No Degree Credit,MATH (804) 103,4639,,Statistics With Applications,5
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4639,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4639,,College Mathematics,
9999,L,3.0,MAT 105,Intro College Algebra,MATH (804) 109,4639,EL,Intermediate Algebra,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4639,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4639,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4639,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4639,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4639,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4639,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4639,,Math & Logic,5
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4639,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4639,"MS,CR",College Algebra W Apps,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4639,MS,Trigonometry W Apps,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4639,"UCTA,MS",Coll Algebra & Trig With Appls,22
9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,4639,MS,College Technical Math 2,
4670,L,1.0,C S 100,Computr Info Tech,RBUS (105) 110,4639,GE-IB,Computer Applications,
9999,L,3.0,CHE 125,Introductory Chemistry,NATSCI (806) 101,4639,"UCTA,LS,NS",Basic Chemistry,22
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 102,4639,NS,Microbiology,
9999,L,3.0,PHY EL,Physics Elective,NATSCI (806) 108,4639,"NS, LS",Applied Physics,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,4639,"NS, LS, UCTA",General Biology,22
9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,4639,"UCTA,LS,NS",General Chemistry,22
9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,4639,"UCTA,LS,NS",General Physics 1,22
9999,L,4.0,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4639,"LS,NS",Gen Anatomy & Physiology,217
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 179,4639,"NS, LS",Adv Anatomy & Physiology,217
9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 186,4639,NS,Intro to Biochemistry,
9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 189,4639,NS,Basic Anatomy,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 197,4639,NS,Microbiology,
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 101,4639,,Writing to Learn,5
9999,,2.0,NDC,No Degree Credit,COMMSK (801) 103,4639,,Connecting Reading/Writing,5
9999,,1.0,NDC,No Degree Credit,COMMSK (801) 104,4639,,Principles of Effective Listen,5
9999,L,3.0,ENG 101,College Write & Critical Read,COMMSK (801) 136,4639,UCTA,English Composition 1,22
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 190,4639,,Fund of English,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 191,4639,,Advanced Business Communicatio,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 192,4639,,Technical Communication,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 193,4639,,Technical Communications For H,5
9999,L,3.0,ENG EL,English Elective,COMMSK (801) 195,4639,"EL, UCTA",Written Communication,22
9999,L,3.0,CTA 101,Interpersonal Comm,COMMSK (801) 196,4639,AP,Oral/Interpersonal Comm,
9999,L,3.0,ENG 206,Technical Writing,COMMSK (801) 197,4639,AP,Technical Reporting,
9999,L,3.0,CTA 103,Intro Public Speaking,COMMSK (801) 198,4639,"UCTA,AP",Speech,22
9999,,5.0,NDC,No Degree Credit,MATH (804) 101,4639,,Tech Math I,"5, 1253"
9999,L,4.0,MAT EL,Mathematics Elective,MATH (804) 102,4639,,Tech Math II,1253
9999,,3.0,NDC,No Degree Credit,MATH (804) 103,4639,,Statistics With Applications,5
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4639,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4639,,College Mathematics,
9999,L,3.0,MAT 105,Intro College Algebra,MATH (804) 109,4639,EL,Intermediate Algebra,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4639,,Elem Algebra W Apps,5
9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,4639,,College Technical Math 1a,5
9999,,2.0,NDC,No Degree Credit,MATH (804) 114,4639,,College Technical Math 1b,5
9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,4639,,College Technical Math 1,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,4639,MS,College Technical Math 2,
9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,4639,EL,Interm Algebra W Apps,
9999,,3.0,NDC,No Degree Credit,MATH (804) 133,4639,,Math & Logic,5
9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,4639,"UCTA,MS",Introductory Statistics,22
9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,4639,"MS,CR",College Algebra W Apps,
9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,4639,MS,Trigonometry W Apps,
9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,4639,"UCTA,MS",Coll Algebra & Trig With Appls,22
