to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4670,L,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 102,4674,"GE-III, LE-K2",Intro to Anthro (Xs),
4670,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 122,4674,"GE-III, LE-K2, LE-R2",Global Community(Xs),
4670,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 123,4674,"GE-III, LE-K2",Cultural Diversity(Es)(Xc),
4670,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 150,4674,"GE-III, LE-K2",The Ancient World (Xs),
4670,L,4.00,ANTH 165,Int Physical Anth,ANTHRO 202,4674,GE-III,Intro to Bio Anthro (Xl),
4670,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 225,4674,"GE-III, LE-K2",Clbrt Cltr Thr Art(Hu)(Xc)(Es),
4670,L,3.00,ANTH 161,Intro Cult Anthro,ANTHRO 232,4674,"FORCUL, GE-III",Cultural Anthro (Nw)(Ss)(Xs),
4670,L,3.00,ANTH 169,Intro to Archaeol,ANTHRO 250,4674,GE-III,Archaeology (Ss)(Xs)(Nw),
4670,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 272,4674,,Nature of Languages,
4670,U,3.00,ANTH 315,Lang Culture-Soc,ANTHRO 274,4674,"DIV-1, FORCUL, GE-III",Lang in Culture (Hu)(Xc)(Nw),
4670,,1.00-6.00,GEN CONF,General Confer,ANTHRO 300,4674,,Topics in Anthropology,"2, 11, 8"
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 310,4674,"GE-III, LE-K2",Anthropology Film,
4670,U,3.00,ANTH 325,North Amer Indian,ANTHRO 312,4674,GE-III,Native North America (Es),
4670,,3.00,GEN CONF,General Confer,ANTHRO 314,4674,,Native American Women (Es),"2, 11"
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 318,4674,"GE-III, LE-K2, LE-R2",Peop/Cul S Asia,
4670,U,3.00,ANTH 355,Peoples of Africa,ANTHRO 322,4674,GE-III,Peoples & Cult Afri,
4670,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 324,4674,"GE-III, LE-K2",Latino Culture & Society,
4670,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 326,4674,"GE-III, LE-K2, LE-R2",Peopl & Cult Oceania,
4670,U,3.00,GEN EL,General Elective,ANTHRO 328,4674,,Peasant & Cult of Lt Am,
4670,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 330,4674,"GE-III, LE-K2, LE-R2",Cult Chg Mod Africa,
4670,U,3.00,ANTH 463,Relig and Culture,ANTHRO 332,4674,GE-III,Magic and Religion,
4670,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 336,4674,"GE-III, LE-K2",Social Organization,
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 338,4674,"GE-III, LE-K2, LE-R2",Anthro Law & Politics,
4670,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 340,4674,"GE-III, LE-K2",Culture & Personality,
4670,,3.00,GEN CONF,General Confer,ANTHRO 342,4674,,Expressive Culture,"2, 11"
4670,U,3.00,ANTH 356,Cross-Cult Women,ANTHRO 344,4674,GE-III,"Kinship, Gndr & Sxlty",
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 348,4674,"GE-III, LE-K2","Economy, Nature & Culture",
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 350,4674,"GE-III, LE-K2",Ethnographic Methods,
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 352,4674,"GE-III, LE-K2",Old World Archaeology,
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 354,4674,"GE-III, LE-K2",Archaeology of North Amer,
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 355,4674,,Wisconsin Archaeology,
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 356,4674,"GE-III, LE-K2",Preindustrial Technology,
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 358,4674,"GE-III, LE-K2",Archaeological Theory,
4670,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 360,4674,"GE-III, LE-K2, LE-R2",Mesoamerican Culture,
4670,U,1.00-8.00,Soc. Sci. EL,Social Science Elective,ANTHRO 362,4674,"GE-III, LE-K2",Fd Wk Archaeology,8
4670,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 363,4674,"GE-III, LE-K2",Archaeological Anaysis,
4670,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 364,4674,"GE-III, LE-K2",Cr-Cult App Men Ill,
