to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4670,L,3.00,ACCT 201,Intro to Acctg,ACCT 201,4690,,Financial Accounting,
4670,L,3.00,GEN EL,General Elective,ACCT 202,4690,,Managerial Accounting,
4670,L,3.00,GEN EL,General Elective,ACCT 204,4690,,Acct For Non-Bus Majors,
4670,U,3.00,ACCT 301,Interm Acctg I,ACCT 301,4690,,Intermediate Accounting I,
4670,U,3.00,ACCT 302,Interm Acctg II,ACCT 302,4690,,Intermediate Accountng II,
4670,U,3.00,ACCT 321,Ind Fed Inc Tax,ACCT 305,4690,,Individual Taxation,
4670,U,3.00,ACCT 423,Corp Part Tax,ACCT 306,4690,,Business Taxation,
4670,U,3.00,ACCT 401,Adv Financ Acctng,ACCT 400,4690,,Advanced Accounting,
4670,U,3.00,ACCT 419,Fin Acctg Theory,ACCT 401,4690,,Accounting Theory,
4670,U,3.00,ACCT 430,Acctg Systems,ACCT 402,4690,,Accounting Information Systems,
4670,U,3.00,ACCT 334,Adv Cost Accountg,ACCT 403,4690,,Advanced Cost Accounting,
4670,U,3.00,ACCT 313,Auditing,ACCT 404,4690,,Auditing,
4670,U,1.00,ACCT 404,Income Tax Pract,ACCT 405,4690,,Volunteer Income Tax Asst-Vita,
4670,U,1.00-3.00,GEN EL,General Elective,ACCT 490,4690,,Special Topics,8
4670,U,1.00-3.00,GEN EL,General Elective,ACCT 494,4690,,Internship,8
4670,U,1.00-3.00,GEN EL,General Elective,ACCT 499,4690,,Independent Study,"1, 8"
4670,L,3.00,ART 105,Intro-Visual Arts,ART 100,4690,"GE-IV, LE-K4",Foundtn of Art & Visual Cultur,
4670,L,3.00,ART 108,Found: Color/Comp,ART 102,4690,"GE-IV, LE-S3",Introduction to 2-D Design,
4670,L,3.00,ART 110,Foundations: 3-D,ART 103,4690,,Introduction to 3-D Design,
4670,U,3.00,ART 312,Dgtl Img & Des,ART 104,4690,"GE-IV, LE-K4, LE-S3",Introduction to Digital Art,
4670,L,3.00,ART 107,Found: Draw/Comp,ART 122,4690,,Introduction to Drawing,
4670,L,3.00,ARTH 111,Anct-Medieval Art,ART 125,4690,"GE-IV, LE-K4",Survey of World Art,
4670,L,3.00,ARTH 112,Ren-20th Cent Art,ART 126,4690,"GE-IV, LE-K4",Modern & Contmp Art 1900-Pres,
4670,L,3.00,GEN EL,General Elective,ART 200,4690,,Art in Elem Educ Theories,
