to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,ART 101,Introduction to Drawing,ART 1010,4676,AP,Drawing I:Basic Draw,
9999,L,2.00,ART 101,Introduction to Drawing,ART 1120,4676,AP,Introd to Drawing,
9999,L,2.00,ART EL,Art Elective,ART 1220,4676,AP,Intro to Studio I,
9999,L,3.00,ART EL,Art Elective,ART 1230,4676,FA,Art & Chldrns Lit For Tchrs,
9999,L,3.00,ART EL,Art Elective,ART 1240,4676,FA,Art & Social Studies For Tchrs,
9999,L,2.00,ART EL,Art Elective,ART 1310,4676,AP,Drawing II: Styles,
9999,L,3.00,ART EL,Art Elective,ART 1420,4676,AP,Basic Design I: 2-D,
9999,L,3.00,ART 112,Three-Dimensional Design,ART 1520,4676,AP,Basic Design II: 3-D,
9999,L,2.00,ART EL,Art Elective,ART 1620,4676,AP,Graphic Des Tech I,
9999,L,3.00,ART EL,Art Elective,ART 1630,4676,AP,Letter/Typograph Des,
9999,L,2.00,ART 125,Oil Painting,ART 1710,4676,AP,Painting I: Beginning Painting,
9999,L,2.00,ART EL,Art Elective,ART 1720,4676,AP,Graph Des Techniq II,
9999,L,3.00,ART EL,Art Elective,ART 1730,4676,AP,Graph Dsgn:Hist/Syst,
9999,L,3.00,ART EL,Art Elective,ART 1740,4676,AP,Intro Digital Media,
9999,L,2.00,ART 102,Intermediate Drawing,ART 2010,4676,AP,Drawing IV: Intermediate,
9999,L,2.00,ART 201,Introduction to Life Drawing,ART 2020,4676,AP,Drawing III: Figure,
9999,L,2.00,ART EL,Art Elective,ART 2120,4676,AP,Styles in Drawing,
9999,L,3.00,ART 100,Basic Art Experiences,ART 2130,4676,AP,Design and Color,
9999,L,3.00,ART 181,Surv: Ancient & Medievl,ART 2140,4676,FA,Art Hist I: Ancient/Medieval,
9999,L,3.00,ART 185,Italian Renaissance Art,ART 2210,4676,FA,Art Hist II: Renaissanc to Mod,
9999,L,3.00,ART EL,Art Elective,ART 2220,4676,AP,Perspective Drawing,
9999,L,3.00,ART 111,Two-Dimensional Design,ART 2230,4676,AP,Illustration I,
9999,L,3.00,ART 111,Two-Dimensional Design,ART 2240,4676,AP,Illustration I,
9999,L,2.00,ART 101,Introduction to Drawing,ART 2320,4676,AP,Basic Drawing I,
9999,L,3.00,ART 112,Three-Dimensional Design,ART 2330,4676,AP,Illustration II,
9999,L,3.00,ART EL,Art Elective,ART 2410,4676,AP,Painting II: Intermed Painting,
9999,L,2.00,ART 102,Intermediate Drawing,ART 2420,4676,AP,Basic Drawing II,
9999,L,3.00,ART 180,Artist & Visual Arts,ART 2430,4676,FA,Art Survey,
9999,L,2.00,CHE 112,Foundations of Chemistry,CHEMSTRY 1020,4676,EL,Introductory Chemistry,
9999,L,5.00,CHE 125,Introductory Chemistry,CHEMSTRY 1050,4676,"UCTA,LS,NS",Survey of General Chemistry,22
9999,L,4.00,CHE 145,General Chemistry I,CHEMSTRY 1140,4676,"UCTA,LS,NS",General Chemistry I,22
9999,L,5.00,CHE EL,Chemistry Elective,CHEMSTRY 1150,4676,"NS, LS",Natural Science I,
9999,L,4.00,CHE 155,General Chemistry II,CHEMSTRY 1240,4676,"LS,NS",General Chemistry II,
9999,L,2.00,CHE EL,Chemistry Elective,CHEMSTRY 1320,4676,NS,Qualitative Analysis,
9999,L,5.00,CHE 165,Chemistry For Engineers,CHEMSTRY 1450,4676,"NS,LS",Chemistry For Engineers,
9999,L,5.00,CHE EL,Chemistry Elective,CHEMSTRY 1650,4676,"NS, LS",General Chemistry,
9999,L,5.00,CHE EL,Chemistry Elective,CHEMSTRY 1750,4676,"NS, LS",Honors Chemistry,
9999,L,1.00-3.00,CHE EL,Chemistry Elective,CHEMSTRY 2000,4676,,Undergraduate Research,8
9999,L,4.00,CHE EL,Chemistry Elective,CHEMSTRY 2150,4676,"NS, LS",Quantitative Analysis,
9999,L,4.00,CHE EL,Chemistry Elective,CHEMSTRY 2730,4676,NS,Inorganic Chemistry,
9999,L,2.00,ART EL,Art Elective,ART 2490,4676,AP,Painting III: Figure,
9999,L,1.00-3.00,ART EL,Art Elective,ART 2500,4676,,Topics in Art,8
9999,L,3.00,ART 131,Intro to Sculpture,ART 2510,4676,AP,Sculpture I: Basic,
9999,L,3.00,ART 154,Intro to Ceramics,ART 2520,4676,AP,Ceramics I,
9999,L,2.00-3.00,ART EL,Art Elective,ART 2530,4676,AP,Lettrng/Typogr Des I,8
9999,L,3.00,ART 254,Intermed Ceramics,ART 2620,4676,AP,Ceramics II,
9999,L,3.00,ART EL,Art Elective,ART 2630,4676,AP,Lettrng/Typog Des II,
9999,L,3.00,ART EL,Art Elective,ART 2710,4676,AP,Graph Des I: Letter/Typo Desgn,
9999,L,2.00,ART 125,Oil Painting,ART 2720,4676,AP,Oil Painting,
9999,L,3.00,ART EL,Art Elective,ART 2730,4676,"FA, ES",Art His IV: Ethn Art/U. S.,
9999,L,3.00,ART EL,Art Elective,ART 2740,4676,AP,Graph Des II: Intr Dsgn Studio,
9999,L,3.00,ART EL,Art Elective,ART 2750,4676,"FA, ES",Native American Art,
9999,L,3.00,ART EL,Art Elective,ART 2920,4676,,Crafts I: Fibers and Fabrics,
9999,L,3.00,BUS EL,Business Elective,BUSADMIN 1200,4676,,Intro to Amer Bus Enterprise,
9999,L,3.00,BUS EL,Business Elective,BUSADMIN 1300,4676,,Global Business,
9999,L,3.00,BUS EL,Business Elective,BUSADMIN 2330,4676,,Leadership and Management,
9999,L,3.00,BUS EL,Business Elective,BUSADMIN 2630,4676,,Introduction to Marketing,
9999,L,3.00,BUS 110,Personal Finance,BUSADMIN 2930,4676,AP,Personl Financl Plan,
9999,L,1.00-4.00,BUS EL,Business Elective,BUSADMIN 2940,4676,,Special Problems,8
9999,L,1.00-3.00,BUS EL,Business Elective,BUSADMIN 2950,4676,,Special Issues in Business,8
9999,L,4.00,CHI 101,1st Semester Chinese,CHINESE 1010,4676,HU,Intro to Chinese I,
9999,L,4.00,CHI 105,2nd Semester Chinese,CHINESE 1020,4676,HU,Intro to Chinese II,
9999,L,4.00,GEN EL,General Elective,CHINESE 1030,4676,,Intro to Chinese III,
9999,L,4.00,GEN EL,General Elective,CHINESE 1040,4676,,Intro to Chinese IV,
9999,L,3.00,EGR EL,Engineering Elective,CIVILENG 2120,4676,,Civil Engr Computer Appl,
9999,L,3.00,EGR EL,Engineering Elective,CIVILENG 2630,4676,,Elements of Surveying,
9999,L,3.00,EGR EL,Engineering Elective,CIVILENG 2640,4676,,Route Layout and Photogram,
9999,L,2.00,EGR EL,Engineering Elective,CIVILENG 2950,4676,,Civil and Envir Engr Coop Educ,
9999,L,2.00,EGR EL,Engineering Elective,CIVILENG 2960,4676,,Civil and Environ Engr Coop Ed,
9999,L,1.00,EGR EL,Engineering Elective,CIVILENG 2970,4676,,Civil and Envir Engr Intern,
9999,L,1.00,CPS EL,Computer Sciences Elective,COMPUTER 1010,4676,,Intro to Computer Science,
9999,L,3.00,CPS 110,Intro to Computer Sci (Basic),COMPUTER 1030,4676,EL,Intro Computer Conc,
9999,L,3.00,CPS 110,Intro to Computer Sci (Basic),COMPUTER 1130,4676,EL,Introduction to Programming,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 1230,4676,MS,Intro Computer Sci,
9999,L,3.00,CPS 270,Data Structures,COMPUTER 1330,4676,AP,Intr Data Structures,
9999,L,3.00,CPS 217,Computer Science I,COMPUTER 1430,4676,MS,Programming in C++,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 1830,4676,,Microcomputer Applications,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 2030,4676,,Contemp Bus Progrmng,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 2130,4676,,Prog Small Comp Sys,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 2230,4676,MS,Programming in Cobol,
9999,L,3.00,CPS 211,Alg Lang Prog (Fort),COMPUTER 2330,4676,MS,Scientific Programng,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 2340,4676,,Programming in Vb.Net,
9999,L,2.00,CPS EL,Computer Sciences Elective,COMPUTER 2420,4676,,Data Proc With Rpg,
9999,L,3.00,CPS 270,Data Structures,COMPUTER 2430,4676,AP,Object-Orien Prog & Data Str I,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 2530,4676,,Programming in Rpg,
9999,L,3.00,CPS EL,Computer Sciences Elective,COMPUTER 2630,4676,,Object-Orient Prog/Data Str II,
