to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,GEN EL,General Elective,AGEC 101,4678,,Econ and Mgmt in Ag,
9999,L,3.00,GEN EL,General Elective,AGEC 230,4678,SS,Agricultural Economics I,
9999,L,3.00,GEN EL,General Elective,AGEC 231,4678,SS,Agricultural Economics II,
9999,L,2.00,GEN EL,General Elective,AGEC 240,4678,,Cooperatives,
9999,L,3.00,GEN EL,General Elective,AGEC 250,4678,,World Food & Populations(G),
9999,L,2.00-4.00,GEN EL,General Elective,AGEC 270,4678,,Internship I,8
9999,L,0.50-3.00,GEN EL,General Elective,AGEC 289,4678,,St: Agricultural Economics,8
9999,P,3.00,NDC,No Degree Credit,BIOL 090,4678,,Found of Chemistry,5
9999,L,3.00,BIO 101,Concepts of Biology,BIOL 100,4678,"UCTA,LS,NS",Introduction to Biology,22
9999,L,3.00,BIO EL,Biology Elective,BIOL 101,4678,NS,Concepts in Biology,
9999,L,1.00,BIO EL,Biology Elective,BIOL 110,4678,,Freshman Colloquium,
9999,L,3.00,BIO EL,Biology Elective,BIOL 150,4678,"UCTA, NS, LS",General Biology,22
9999,L,4.00,BIO EL,Biology Elective,BIOL 160,4678,"NS, LS",Gen Biol Freshman Res,1210
9999,L,3.00,BIO EL,Biology Elective,BIOL 195,4678,,Freshman Research,1210
9999,L,3.00,BIO 161,Survey of Botany,BIOL 210,4678,"NS,LS",General Botany,
9999,L,3.00,BIO EL,Biology Elective,BIOL 230,4678,"NS, LS",General Zoology,
9999,L,4.00,BIO 271,Vertebrate Biology,BIOL 235,4678,"NS,LS",Comparative Anatomy,
9999,L,3.00,BIO EL,Biology Elective,BIOL 240,4678,"NS, LS",Cell and Mol Biology,
9999,L,2.00,LEC 105,English Language Acad Reading,BIOL 243,4678,,Biol Greek/Latin,
9999,L,3.00,BIO EL,Biology Elective,BIOL 253,4678,NS,Human Biology,
9999,L,1.00-3.00,BIO EL,Biology Elective,BIOL 289,4678,,Special Topics in Biology,8
9999,L,2.00,BIO EL,Biology Elective,BIOL 295,4678,,Lab Research Experience,
9999,L,2.00,BIO EL,Biology Elective,BIOL 296,4678,,Field Research Experience,
9999,L,0.50-3.00,BIO EL,Biology Elective,BIOT 289,4678,,St: Biotechnology Biology,8
9999,L,3.00,ART EL,Art Elective,ART 100,4678,FA,Intro to Visual Art,
9999,L,2.00,ART EL,Art Elective,ART 101,4678,FA,Understdng Art-Elem,
9999,L,3.00,ART 111,Two-Dimensional Design,ART 121,4678,AP,2d Design Foundation,601
9999,L,3.00,ART 101,Introduction to Drawing,ART 131,4678,AP,Drawing I,
9999,L,3.00,ART 102,Intermediate Drawing,ART 132,4678,AP,Drawing II,
9999,L,2.00,ART EL,Art Elective,ART 200,4678,AP,Sculpt-Non-Majors,
9999,L,2.00,ART EL,Art Elective,ART 201,4678,AP,Clay- Non-Majors,
9999,L,2.00,ART EL,Art Elective,ART 202,4678,AP,Jewelry- Non-Majors,
9999,L,2.00,ART EL,Art Elective,ART 203,4678,AP,Fibers-Non-Majors,
9999,L,2.00,ART EL,Art Elective,ART 204,4678,AP,Glass- Non-Majors,
9999,L,2.00,ART EL,Art Elective,ART 205,4678,AP,Painting-Non-Majors,
9999,L,2.00,ART EL,Art Elective,ART 206,4678,AP,Printmaking For Non-Majors,
9999,L,3.00,ART 181,Surv: Ancient & Medievl,ART 211,4678,FA,Ancient to Medieval Art Hist,
9999,L,3.00,ART 183,Renaiss - Modern Art,ART 212,4678,FA,Ren to Early Modern Art Histor,
9999,L,3.00,ART EL,Art Elective,ART 215,4678,AP,History of Fibers,
9999,L,3.00,ART EL,Art Elective,ART 218,4678,FA,Phil & Hist of Visual Art,
9999,L,3.00,ART EL,Art Elective,ART 225,4678,,Advertising Design I,
9999,L,3.00,ART EL,Art Elective,ART 226,4678,AP,Introduction to Fibers,
9999,L,3.00,ART 154,Intro to Ceramics,ART 227,4678,AP,Introduction to Ceramics,
9999,L,3.00,ART EL,Art Elective,ART 228,4678,AP,Introduction to Metals,
9999,L,3.00,ART EL,Art Elective,ART 229,4678,AP,Introduction to Glass,
9999,L,3.00,ART 161,Introduction to Photography,ART 235,4678,AP,Intro to Photography,
9999,L,3.00,ART 141,Intro to Printmaking,ART 236,4678,AP,Introduction to Printmaking,
9999,L,3.00,ART 131,Intro to Sculpture,ART 237,4678,AP,Introduction to Sculpture,
9999,L,3.00,ART 121,Intro to Painting,ART 238,4678,AP,Intro to Painting,
9999,L,3.00,ART EL,Art Elective,ART 239,4678,AP,Introduction to Video,
9999,L,3.00,ART EL,Art Elective,ART 240,4678,AP,Color Theory,
9999,L,2.00,ART EL,Art Elective,ART 250,4678,AP,Child Art,
9999,L,2.00,ART EL,Art Elective,ART 251,4678,,Middle and Secondary Art,
9999,L,4.00,ART EL,Art Elective,ART 253,4678,AP,Art in the Schools,
9999,L,1.00,ART EL,Art Elective,ART 261,4678,,World Arts,
9999,L,0.50-3.00,ART EL,Art Elective,ART 289,4678,,St: Art,8
9999,L,3.00,BUS EL,Business Elective,ACCT 201,4678,AP,Survey of Accounting,
9999,L,3.00,BUS 201,Intro Accounting,ACCT 231,4678,AP,Principles of Accounting I,
9999,L,3.00,BUS 204,Managerial Account,ACCT 232,4678,AP,Principles of Accounting II,
9999,L,1.00-3.00,BUS EL,Business Elective,ACCT 279,4678,,Internship,8
9999,L,0.50-3.00,BUS EL,Business Elective,ACCT 289,4678,,St: Accounting,8
9999,L,3.00,BUS EL,Business Elective,BLAW 265,4678,,Business Law I,
9999,L,3.00,BUS EL,Business Elective,BLAW 266,4678,,Business Law II,
9999,L,0.50-3.00,BUS EL,Business Elective,BLAW 289,4678,,St: Business Law,8
9999,L,3.00,GEN EL,General Elective,AGED 110,4678,,Agricultural Communications,
9999,L,1.00,GEN EL,General Elective,AGED 120,4678,,Orientation to Ag & Ext Educ,
9999,L,2.00,GEN EL,General Elective,AGED 140,4678,,Strategies For Acad Excellence,
9999,L,2.00,GEN EL,General Elective,AGED 201,4678,,"Prog Del: Ag, Ext, &Ldr",
9999,L,3.00,GEN EL,General Elective,AGED 202,4678,,Leadership & Group Dynamics,
9999,L,3.00,GEN EL,General Elective,AGED 230,4678,,Writing For Ag Food & Nr,
9999,L,2.00,GEN EL,General Elective,AGED 260,4678,,Professional Careers in Agric,
9999,L,2.00-4.00,GEN EL,General Elective,AGED 270,4678,,Internship I,8
9999,L,1.00,GEN EL,General Elective,AGED 275,4678,,Aged Early Field Exper,
9999,L,0.50-3.00,GEN EL,General Elective,AGED 289,4678,,St: Agricultural Education,8
9999,L,2.00,GEN EL,General Elective,AGED 290,4678,,Prof Careers in Agriculture,
9999,L,2.00,BUS EL,Business Elective,CBE 100,4678,,Cbe First-Year Seminar,
9999,L,1.00,BUS EL,Business Elective,CBE 200,4678,,Professional Developmt I,
9999,L,1.00-3.00,BUS EL,Business Elective,CBE 289,4678,,St: Business & Economics,8
9999,P,3.00,NDC,No Degree Credit,CHEM 090,4678,,Foundations of Chem,5
9999,L,3.00,CHE 123,Chemistry & Society,CHEM 100,4678,NS,Modern Alchemy,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 101,4678,NS,Elem Principles Chemistry,
9999,L,3.00,CHE 123,Chemistry & Society,CHEM 102,4678,NS,Your Chemical World,
9999,L,6.00,CHE 112,Foundations of Chemistry,CHEM 110,4678,EL,Intro to General Chemistry,
9999,L,4.00,CHE EL,Chemistry Elective,CHEM 111,4678,NS,General Chemistry I,1206
9999,L,4.00,CHE EL,Chemistry Elective,CHEM 112,4678,NS,General Chemistry II,1207
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 116,4678,"NS, LS",Gen Chem Lab I,1206
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 117,4678,"NS, LS",Gen Chem Lab II,1207
9999,L,6.00,CHE 145,General Chemistry I,CHEM 120,4678,"LS,NS",Intro to General Chemistry,
9999,L,5.00,CHE 145,General Chemistry I,CHEM 121,4678,"UCTA,LS,NS",General Chemistry I,22
9999,L,5.00,CHE 155,General Chemistry II,CHEM 122,4678,"LS,NS",General Chemistry II,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 151,4678,NS,General & Analytical Chem I,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 152,4678,NS,General & Analytical Chem I,
9999,L,2.00,CHE EL,Chemistry Elective,CHEM 156,4678,"NS, LS",General & Analy Chem Lab I,
9999,L,2.00,CHE EL,Chemistry Elective,CHEM 157,4678,"NS, LS",General & Analy Chem Lab II,
9999,L,0.50,CHE EL,Chemistry Elective,CHEM 195,4678,,Freshman Seminar I,
9999,L,0.50,CHE EL,Chemistry Elective,CHEM 196,4678,,Freshman Seminar II,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 200,4678,NS,Chemistry & Environment,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 210,4678,,Topics in Consumer Chemistry,
9999,L,3.00,CHE 203,Survey of Biochemistry,CHEM 220,4678,"LS,NS",Chemistry of Life,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 230,4678,NS,Survey of Organic Chem,
9999,L,3.00,CHE 343,Organic Chemistry I,CHEM 231,4678,"LS,NS",Organic Chemistry I,
9999,L,3.00,CHE 363,Organic Chemistry II,CHEM 232,4678,NS,Organic Chemistry II,
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 236,4678,"NS, LS",Organic Chemistry Lab I,1208
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 237,4678,"NS, LS",Organic Chemistry Lab II,1208
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 246,4678,,Syn&Analy Tech Org Chem I,
9999,L,2.00,CHE EL,Chemistry Elective,CHEM 247,4678,,Syn&An Tech Org Chem II,
9999,L,2.00,CHE EL,Chemistry Elective,CHEM 251,4678,NS,Analytical Chemistry,1209
