to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,AST EL,Astronomy Elective,ASTR 100,4680,"NS, LS",Unveiling of Universe,
9999,L,4.00,AST 200,General Astronomy,ASTR 205,4680,"NS,LS",The Solar System,
9999,L,4.00,AST EL,Astronomy Elective,ASTR 206,4680,"NS, LS",Stars&Stellar Systems,
9999,L,3.00,GEN EL,General Elective,ARTM 195,4680,,Intro Arts Management,
9999,L,2.00,ART EL,Art Elective,ARTM 280,4680,AP,Internship,
9999,L,3.00,ART 111,Two-Dimensional Design,ART 101,4680,AP,2-Dimensional Design,
9999,L,3.00,ART 112,Three-Dimensional Design,ART 102,4680,AP,3-Dimensional Design,
9999,L,3.00,ART 101,Introduction to Drawing,ART 103,4680,AP,Basic Drawing I,
9999,L,3.00,ART 102,Intermediate Drawing,ART 104,4680,AP,Drawing II,
9999,L,3.00,ART 180,Artist & Visual Arts,ART 181,4680,FA,History Visual Arts,
9999,L,3.00,ART EL,Art Elective,ART 200,4680,AP,Intro Computrs in Art,
9999,L,3.00,ART EL,Art Elective,ART 201,4680,AP,Intermed 3-D Design,
9999,L,3.00,ART EL,Art Elective,ART 202,4680,AP,Color,
9999,L,3.00,ART EL,Art Elective,ART 206,4680,AP,Symbols-Graphc Design,
9999,L,3.00,ART EL,Art Elective,ART 207,4680,AP,Typography I,
9999,L,3.00,ART 161,Introduction to Photography,ART 215,4680,AP,Basic Photography,
9999,L,3.00,ART 121,Intro to Painting,ART 234,4680,AP,Basic Painting,
9999,L,3.00,ART 201,Introduction to Life Drawing,ART 236,4680,AP,Life Drawing,
9999,L,3.00,ART EL,Art Elective,ART 250,4680,AP,Computer Images Desgn,
9999,L,3.00,ART 131,Intro to Sculpture,ART 251,4680,AP,Sclptr:Fbrctn&Instltn,
9999,L,3.00,ART EL,Art Elective,ART 252,4680,AP,Sclptr:Mdl&Mld Mk&Cst,
9999,L,3.00,ART 154,Intro to Ceramics,ART 261,4680,AP,Basic Ceramics,
9999,L,3.00,ART EL,Art Elective,ART 270,4680,FA,Survey of Asian Art I,
9999,L,3.00,ART 181,Surv: Ancient & Medievl,ART 282,4680,FA,Survy West Art Hist I,
9999,L,3.00,ART 183,Renaiss - Modern Art,ART 283,4680,FA,Srvy West Art Hist II,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",AT 181,4680,,Intro Athltc Training,
9999,L,1.00,GEN EL,General Elective,AT 182,4680,,Athl Trng Clncl Obsrv,
9999,L,3.00,GEN EL,General Elective,AT 200,4680,,Emrg Res Injury/Illns,
9999,L,1.00,GEN EL,General Elective,AT 201,4680,,Practicum I,
9999,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",AT 251,4680,,Prvntn&Care Inj&Illns,
9999,L,1.00,ANT EL,Anthropology Elective,ANTH 100,4680,,Forum in Anthropology,
9999,L,3.00,ANT 100,Intro to General Anthro,ANTH 101,4680,SS,General Anthropology,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 110,4680,SS,Cultural Anthropology,
9999,L,3.00,ANT 105,Intro to Biological Anthro,ANTH 111,4680,"LS,NS",Human Evolution,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 120,4680,SS,Intro Natv Am Culture,
9999,L,3.00,ANT 353,Indians Western Gr Lake (Es),ANTH 125,4680,"ES,SS",Wis Indian Cultures,
9999,L,1.00,ANT EL,Anthropology Elective,ANTH 199,4680,,Reading in Discipline,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 250,4680,SS,Intro to Archaeology,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 280,4680,,Culture and Language,
9999,L,1.00-3.00,ANT EL,Anthropology Elective,ANTH 295,4680,SS,Special Topics,8
9999,P,2.00,NDC,No Degree Credit,BIOL 050,4680,,Science Skills,5
9999,L,3.00,BIO 101,Concepts of Biology,BIOL 100,4680,"UCTA,LS,NS",Biological Principles,22
9999,L,5.00,BIO 101,Concepts of Biology,BIOL 101,4680,"UCTA,LS,NS",General Biology,22
9999,L,5.00,BIO 162,General Botany,BIOL 130,4680,"NS,LS",Plant Biology,
9999,L,2.00,BIO EL,Biology Elective,BIOL 140,4680,NS,Edible&Poison Plants,
9999,L,5.00,BIO 171,Animal Biology,BIOL 160,4680,"NS,LS",Animal Biology,
9999,L,3.00,BIO EL,Biology Elective,BIOL 202,4680,NS,Human Reproduction,
9999,L,3.00,BIO 141,Heredity,BIOL 210,4680,NS,Genetics Principles,
9999,L,1.00,BIO EL,Biology Elective,BIOL 221,4680,,Career Dev Biolgcl Sc,
9999,L,4.00,BIO EL,Biology Elective,BIOL 281,4680,"NS, LS",Animal Physiology,
9999,L,4.00,BIO 281,Human Physiology,BIOL 285,4680,"NS,LS",Human Physiology,
9999,L,3.00,ENG EL,English Elective,C LT 101,4680,HU,Western World,
9999,L,3.00,ENG EL,English Elective,C LT 102,4680,HU,Western World,
9999,L,3.00,ENG EL,English Elective,C LT 232,4680,HU,Survey Dramatic Lit,
9999,L,3.00,GEN EL,General Elective,C LT 240,4680,HU,Bible Literature,
9999,L,3.00,GEN EL,General Elective,C LT 250,4680,HU,Asian Literature,
9999,L,3.00,GEN EL,General Elective,C LT 251,4680,HU,Fiction of Asia,
9999,L,3.00,BUS 101,Intro to Business,BUS 100,4680,EL,Intro to Business,
9999,L,3.00,BUS EL,Business Elective,BUS 280,4680,,Management Principles,
9999,L,1.00-15.00,BUS EL,Business Elective,BUS 299,4680,,Special Work,8
9999,L,3.00,CHE 123,Chemistry & Society,CHEM 100,4680,NS,Chem For the Citizen,
9999,L,0.00-5.00,CHE 125,Introductory Chemistry,CHEM 101,4680,"UCTA,LS,NS",Basic Chemistry,"8, 22"
9999,L,2.00,CHE 112,Foundations of Chemistry,CHEM 104,4680,EL,Chemistry Essentials,
9999,L,0.00-5.00,CHE 145,General Chemistry I,CHEM 105,4680,"UCTA,LS,NS",Fundamental Chemistry,"8, 22"
9999,L,0.00-5.00,CHE 155,General Chemistry II,CHEM 106,4680,"LS,NS",Fundamental Chemistry,8
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 114,4680,"NS, LS",General Chemistry Lab,
