to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,GEN EL,General Elective,AMERIND 102,4684,"SS, ES",Intro Amer Indian Studies,
9999,L,3.00,BUS 201,Intro Accounting,ACCOUNT 244,4684,AP,Intro to Financial Acct,
9999,L,3.00,BUS 204,Managerial Account,ACCOUNT 249,4684,AP,Intro to Managerial Acct,
9999,L,3.00,GEN EL,General Elective,AFRIAMR 100,4684,"SS, ES",Introductn Black Culture,
9999,L,3.00,GEN EL,General Elective,AFRIAMR 120,4684,"SS, ES",Modern Blk Amer History,
9999,L,3.00,HIS EL,History Elective,AFRIAMR 141,4684,"SS, ES",Modern Blk Amer History,
9999,L,3.00,GEN EL,General Elective,AFRIAMR 260,4684,"SS, ES",The Black Family,
9999,L,3.00,GEN EL,General Elective,AFRIAMR 270,4684,"SS, ES",Afri Am Comunty Soc Persp,
9999,L,3.00,BIO EL,Biology Elective,BIOLOGY 110,4684,NS,Bob:Biology of the Brain,
9999,L,4.00,BIO 101,Concepts of Biology,BIOLOGY 120,4684,"UCTA,LS,NS",Biological Foundations,22
9999,L,5.00,BIO 162,General Botany,BIOLOGY 141,4684,"NS,LS",Introductory Biology I,
9999,L,5.00,BIO 171,Animal Biology,BIOLOGY 142,4684,"NS,LS",Introductory Biology II,
9999,L,3.00,BIO EL,Biology Elective,BIOLOGY 200,4684,,Writing in Biology,
9999,L,3.00,BIO EL,Biology Elective,BIOLOGY 210,4684,NS,Elements of Bacteriology,
9999,L,3.00,BIO 191,Environmental Science,BIOLOGY 214,4684,"NS,LS",Ecology and Society,
9999,L,2.00,BIO EL,Biology Elective,BIOLOGY 221,4684,,School Health,
9999,L,4.00,BIO EL,Biology Elective,BIOLOGY 225,4684,,Sci  of Forensic Analysis,
9999,L,1.00,BIO EL,Biology Elective,BIOLOGY 230,4684,NS,Human Sexuality,
9999,L,1.00,GEN EL,General Elective,BIOLOGY 240,4684,NS,Human Inheritance,
9999,L,3.00,BIO EL,Biology Elective,BIOLOGY 247,4684,NS,Bioethics,
9999,L,4.00,BIO 211,Genetics,BIOLOGY 251,4684,"NS,LS",Introduction to Genetics,
9999,L,3.00,BIO EL,Biology Elective,BIOLOGY 253,4684,NS,Intro to Cell Biology,
9999,L,2.00,BIO EL,Biology Elective,BIOLOGY 254,4684,,Biotechnology Laboratory I,
9999,L,3.00,BIO 201,Prin of Ecology,BIOLOGY 257,4684,"LS,NS",Introduction to Ecology,
9999,L,2.00,BIO EL,Biology Elective,BIOLOGY 258,4684,,Field Experience,
9999,L,5.00,AST 100,Surv of Astronomy,ASTRONMY 112,4684,"NS,LS",Introduction to Astronomy,
9999,L,3.00,AST 200,General Astronomy,ASTRONMY 114,4684,"NS,LS",Descriptive Astronomy,
9999,L,3.00,ART EL,Art Elective,ACINDP 105,4684,FA,World of the Arts,
9999,L,6.00,ART EL,Art Elective,ACINDP 105A,4684,FA,Arts 105 & Fresh Engl 102,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,ACINDP 150,4684,,Intro Multimedia Studies,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,ACINDP 151,4684,,Intro Multimed Aesthetics,
9999,L,1.00-2.00,ART EL,Art Elective,ACINDP 200,4684,,Arts Management Practicum,8
9999,L,3.00,GEN EL,General Elective,ACINDP 215,4684,"FA, IS",Fine Arts Western Culture,
9999,L,3.00,ART 111,Two-Dimensional Design,ARTSTDIO 102,4684,AP,2-Dimensional Design,
9999,L,3.00,ART 112,Three-Dimensional Design,ARTSTDIO 103,4684,AP,3-Dimensional Design,
9999,L,3.00,ART EL,Art Elective,ARTSTDIO 121,4684,FA,Basic Art,
9999,L,3.00,ART EL,Art Elective,ARTSTDIO 180,4684,,Intro Advertising Design,
9999,L,3.00,ART 101,Introduction to Drawing,ARTSTDIO 201,4684,AP,Drawing I,
9999,L,3.00,ART 102,Intermediate Drawing,ARTSTDIO 202,4684,AP,Drawing II,
9999,L,3.00,ART EL,Art Elective,ARTSTDIO 221,4684,AP,Intro Studio Non-Art Majr,
9999,L,3.00,ART EL,Art Elective,ARTSTDIO 222,4684,AP,Int. Water-Based Maedia,
9999,L,3.00,ART 154,Intro to Ceramics,ARTSTDIO 251,4684,AP,Ceramics I,
9999,L,3.00,ART EL,Art Elective,ARTSTDIO 271,4684,AP,Metal and Jewelry I,
9999,L,3.00,ART EL,Art Elective,ARTSTDIO 272,4684,AP,Metal and Jewelry II,
9999,L,2.00,ART 180,Artist & Visual Arts,ARTHIST 111,4684,FA,Art Appreciation,
9999,L,3.00,ART 181,Surv: Ancient & Medievl,ARTHIST 201,4684,FA,Srvy Art Ancient-1400ce,
9999,L,3.00,ART 183,Renaiss - Modern Art,ARTHIST 202,4684,FA,Art Survey 1400 to 1900,
9999,L,3.00,BUS EL,Business Elective,BEINDP 200,4684,,Intro to Intl Business,
9999,L,3.00,BUS EL,Business Elective,BEINDP 201,4684,,Intro to Entrepreneurship,
9999,L,1.00-3.00,BUS EL,Business Elective,BEINDP 210,4684,,Business Topics,8
9999,L,3.00,ANT EL,Anthropology Elective,ANTHROPL 105,4684,SS,Individual and Society,
9999,L,3.00,ANT 100,Intro to General Anthro,ANTHROPL 110,4684,SS,Introductory Anthropology,
9999,L,3.00,ANT EL,Anthropology Elective,ANTHROPL 190,4684,SS,Childhd Different Culture,
