to_,level_,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,ART 181,Surv: Ancient & Medievl,ARTH 111,4670,FA,Anct-Medieval Art,
9999,L,3.00,ART 183,Renaiss - Modern Art,ARTH 112,4670,FA,Ren-20th Cent Art,
9999,L,3.00,ART EL,Art Elective,ARTH 200,4670,FA,Hist-World Archit,
9999,L,3.00,ART EL,Art Elective,ARTH 201,4670,FA,Art of 20th Cent,
9999,L,3.00,ART EL,Art Elective,ARTH 210,4670,FA,Hist Art-Prehist,
9999,L,3.00,ART EL,Art Elective,ARTH 211,4670,FA,Hist Art-Primitiv,
9999,L,3.00,ART EL,Art Elective,ARTH 213,4670,FA,Ancient Art,
9999,L,3.00,ART EL,Art Elective,ARTH 215,4670,FA,Classical Art,
9999,L,3.00,ART EL,Art Elective,ARTH 217,4670,FA,Medieval Art,
9999,L,3.00,ART EL,Art Elective,ARTH 219,4670,FA,Renaissance Art,
9999,L,3.00,ART EL,Art Elective,ARTH 221,4670,FA,Baroq & Rococ Art,
9999,L,3.00,ART EL,Art Elective,ARTH 225,4670,HU,Hist Graph Design,
9999,L,3.00,ART EL,Art Elective,ARTH 227,4670,HU,History of Photo,
9999,L,1.00-3.00,ART EL,Art Elective,ARTH 291,4670,,Spec Topics Arth,8
9999,L,1.00-6.00,ART EL,Art Elective,ARTH 295,4670,EL,Art Field Study,8
9999,L,3.00,ANT EL,Anthropology Elective,AIS 101,4670,"SS, ES",Am Ind Hist & Cul,
9999,L,3.00,ANT EL,Anthropology Elective,AIS 102,4670,"HU, ES",Am Ind Exp Cult,
9999,L,4.00,GEN EL,General Elective,AIS 111,4670,"AP, ES",Amer Ind Lang I,
9999,L,4.00,GEN EL,General Elective,AIS 112,4670,"AP, ES",Amer Ind Lang II,
9999,L,3.00,AIS 242,American Indian in Lit & Film,AIS 142,4670,"ES,HU",Intro Amer Ind Lit,
9999,L,3.00,ANT 104,Intro to Cultural Anthropology,AIS 161,4670,SS,Intro Cult Anthro,
9999,L,3.00,HIS EL,History Elective,AIS 240,4670,"HU, ES",Am Indian History,
9999,L,3.00,AIS 242,American Indian in Lit & Film,AIS 242,4670,"ES,HU",Amer Ind Lit&Film,
9999,L,3.00,POL EL,Political Science Elective,AIS 250,4670,"SS, ES",Am Indian Politic,
9999,L,1.00-4.00,GEN EL,General Elective,AIS 291,4670,,Special Topics,8
9999,L,1.00,BUS EL,Business Elective,BCOM 107,4670,,Intro Micro Keybd,
9999,L,3.00,BUS EL,Business Elective,BCOM 108,4670,,Begin Shorthand,
