to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,3.00,HIS EL,History Elective,AFROAM 231,9901,"SS, ES",Intro to Afro-American History,
9999,L,3.00,HIS EL,History Elective,AFROAM 268,9901,HU,Intro to Afro-Am Literature,
9999,L,3.00,GEN EL,General Elective,AGECON 422,9901,,Cooperation,
9999,L,3.00,EDU EL,Education Elective,CURRIC 300,9901,,School Curriculum Design,
9999,L,3.00,EDU EL,Education Elective,CURRIC 501,9901,,Health Info For Teachers,
9999,L,3.00,EDU EL,Education Elective,CURRIC 649,9901,,Children's Literature,
9999,L,1.00,EDU EL,Education Elective,CP & CE 105,9901,,Hmn Res Dev:Comm Skl Building,
9999,L,2.00,EGR EL,Engineering Elective,C ENGR 590,9901,,Crit Path Network Techniques,
9999,L,3.00,ENG EL,English Elective,COMLIT 357,9901,,Fantasy and Science Fiction,
9999,L,2.00,CPS 131,Int to Prg (Fortran),COMSCI 211,9901,EL,Fund. of Fortran Programing,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMARTS 467,9901,,Intercultural Communications,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 103,9901,NS,General Chemistry I,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 104,9901,NS,General Chemistry II,
9999,L,3.00,INT 105,Origins Medical Term,CLASS 205,9901,EL,Grk & Latin Origins of Med Trm,
9999,L,2.00,ENG EL,English Elective,CLASS 313,9901,,Greek Drama in English,
9999,L,3.00,GEN EL,General Elective,CLASS 370,9901,HU,Classical Mythology,
9999,L,3.00,ECO EL,Economics Elective,ECON 100,9901,SS,Current Economics:Issues and P,
9999,L,4.00,ECO 204,Economics - Micro,ECON 101,9901,SS,Principals of Microeconomics,
9999,L,3.00,ECO 203,Economics - Macro,ECON 102,9901,SS,Primcipals of Macroeconomics,
9999,L,3.00,ECO 203,Economics - Macro,ECON 103,9901,SS,Principles of Macroeconomics,
9999,L,3.00,ECO 204,Economics - Micro,ECON 104,9901,SS,Principles of Microeconomics,
