to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,2.00,CHE EL,Chemistry Elective,CHEM 100,4682,NS,Our Chemical Environment,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 101,4682,NS,Elements & the Environment,
9999,L,4.00,CHE EL,Chemistry Elective,CHEM 102,4682,NS,Chem of Everyday Phenomena,
9999,L,5.00,CHE 145,General Chemistry I,CHEM 105,4682,"UCTA,LS,NS",General Chemistry I,22
9999,L,4.00,CHE 155,General Chemistry II,CHEM 106,4682,"LS,NS",General Chemistry II,
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 107,4682,NS,Sup Problems in Chemistry II,
9999,L,1.00-2.00,CHE EL,Chemistry Elective,CHEM 181,4682,NS,Introductory Topics,8
9999,L,3.00,CHE 244,Quantitative Analys,CHEM 205,4682,NS,Quant Analysis Lecture,
9999,L,2.00,CHE EL,Chemistry Elective,CHEM 206,4682,NS,Quantitative Analysis Lab,
9999,L,3.00,CHE EL,Chemistry Elective,CHEM 266,4682,NS,Descrip Inorganic Chem,
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 281,4682,NS,Selected Topics,
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 299,4682,NS,Chemical Lit and Safety,
9999,L,3.00,CTA 150,Introduction to Film,COMM 104,4682,FA,Film and Culture,
9999,L,3.00,CTA 103,Intro Public Speaking,COMM 110,4682,"UCTA,AP",Introduction to Communication,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMM 115,4682,AP,Interpersonal Communicatn,
9999,L,3.00,CTA 130,Intro to Theatre,COMM 122,4682,FA,Theatre Appreciation,
9999,L,3.00,CTA 232,Intro Acting,COMM 125,4682,AP,Beginning Acting For Theatre,
9999,L,3.00,CTA 220,Intro Radio Broadcst,COMM 134,4682,AP,Digital Audio Production,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 135,4682,AP,Broadcast Announcing,
9999,L,3.00,CTA 201,Intro Mass Communic,COMM 170,4682,SS,Media and Society,
9999,L,3.00,CTA 234,Introduction to Stagecraft,COMM 180,4682,AP,Intro to Technical Theatre,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 185,4682,,Script Analysis For Theatre,
9999,L,1.00-3.00,CTA EL,Communication and Theatre Arts Elective,COMM 191,4682,AP,Practicum,8
9999,L,1.00-3.00,CTA EL,Communication and Theatre Arts Elective,COMM 200,4682,AP,Theatre Fine Arts Practicum,8
9999,L,3.00,CTA 203,News & Info Writing,COMM 203,4682,AP,News Gathering and Reporting,
9999,L,3.00,CTA 101,Interpersonal Comm,COMM 211,4682,AP,Interpersonal Communication,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 215,4682,,Effective Listening For Prof.,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 221,4682,,Advertising Copywrt & Desg,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 222,4682,AP,Theatre Management,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 224,4682,AP,Advanced Acting,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 225,4682,,Performance For the Media,
9999,L,1.00,CTA EL,Communication and Theatre Arts Elective,COMM 226,4682,,Professional Prep For Theatre,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 245,4682,,Voice and Articulation,
9999,L,3.00,COM EL,Communication Elective,COMM 251,4682,AP,Persuasion,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 260,4682,,Broadcast Programming&Mrktg,
9999,L,3.00,CTA 221,Intro Tv Broadcastng,COMM 261,4682,AP,Digital Video Production,
9999,L,3.00,CTA 230,Literature & Performance,COMM 273,4682,HU,Oral Interpretation,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 281,4682,,Advanced Technical Theatre,
9999,L,3.00,CTA 130,Intro to Theatre,COMM 285,4682,FA,History of Theatre,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 101,4682,SS,The Human Experience,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 110,4682,"SS, ES",Survey of First Nation Culture,
9999,L,3.00,ANT 100,Intro to General Anthro,ANTH 112,4682,SS,Introduction to Anthropology,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 160,4682,SS,Arab Culture and Society,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 161,4682,SS,African Peoples and Issues,
9999,L,3.00,ANT 314,Indians of North America (Es),ANTH 216,4682,"ES,SS",Indians of North America,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 217,4682,"SS, ES",Precolumbian New World Civiliz,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 230,4682,"SS, ES",First Nations Myths & Legends,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 242,4682,"SS, ES",First Nation Val/Spirit Belief,
9999,L,3.00,ANT EL,Anthropology Elective,ANTH 281,4682,SS,The Muslim World,
9999,L,3.00,ANT 104,Intro to Cultural Anthropology,ANTH 315,4682,SS,Cultural Anthropology,
9999,L,3.00,SOC EL,Sociology Elective,CJUS 106,4682,SS,"Crime, Behavior and Soc Contrl",
9999,L,1.00-3.00,SOC EL,Sociology Elective,CJUS 160,4682,,Field Exp./Cert Prog Cjus,8
9999,L,3.00,SOC EL,Sociology Elective,CJUS 207,4682,SS,Police and Society,
9999,L,3.00,SOC EL,Sociology Elective,CJUS 210,4682,,Criminal Procedure/Evidence,
9999,L,3.00,GEN EL,General Elective,CJUS 211,4682,SS,Criminal Law,
9999,L,3.00,GEN EL,General Elective,CJUS 212,4682,,Criminal Investigations,
9999,L,3.00,CTA 101,Interpersonal Comm,CJUS 227,4682,AP,Interpersonal Skills,
9999,L,2.00,BIO EL,Biology Elective,BIOL 100,4682,"NS, UCTA",Environmental Science,22
9999,L,1.00,BIO EL,Biology Elective,BIOL 101,4682,NS,Explor in Environ Science,
9999,L,1.00,BIO EL,Biology Elective,BIOL 102,4682,NS,Principles of Biology Lab,
9999,L,4.00,BIO 162,General Botany,BIOL 111,4682,"NS,LS",Plants and People,
9999,L,4.00,BIO EL,Biology Elective,BIOL 115,4682,"NS, LS",Human Biology,
9999,L,4.00,BIO EL,Biology Elective,BIOL 123,4682,"NS, LS",Concepts in Biology,
9999,L,4.00,BIO EL,Biology Elective,BIOL 130,4682,"NS, LS",Principles of Biology I,
9999,L,4.00,BIO EL,Biology Elective,BIOL 132,4682,"NS, LS",Principles of Biology II,
9999,L,1.00-4.00,BIO EL,Biology Elective,BIOL 181,4682,,Special Topics,8
9999,L,3.00,BIO EL,Biology Elective,BIOL 260,4682,"NS, LS",Forest Ecology and Management,
9999,L,4.00,BIO 280,Human Anatomy,BIOL 270,4682,"NS,LS",Human Anatomy and Physiology I,
9999,L,4.00,BIO 281,Human Physiology,BIOL 280,4682,"NS,LS",Human Anatomy & Physiology II,
