to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,specia
9999,L,3.00,ENG 262,American Literature I,ENG 201,4672,HU,American Lit I,
9999,L,3.00,ENG 263,American Literature II,ENG 202,4672,HU,American Lit II,
9999,L,3.00,ENG 260,British Literature I,ENG 203,4672,HU,English Lit I,
9999,L,3.00,ENG 261,British Literature II,ENG 204,4672,HU,English Lit II,
9999,L,3.00,ENG 264,Western Lit Before 1665,ENG 205,4672,HU,Western Lit I,
9999,L,3.00,ENG 265,Western Lit After 1665,ENG 206,4672,HU,Western Lit II,
9999,L,3.00,ENG EL,English Elective,ENG 207,4672,HU,Multicult U.S. Lit (Es),
9999,L,3.00,ENG EL,English Elective,ENG 208,4672,HU,International Lit,
9999,L,3.00,ENG 278,Multicult Lit/Am (Es),ENG 210,4672,"ES,HU",Lit of Black America (Es),
9999,L,3.00,ENG 278,Multicult Lit/Am (Es),ENG 215,4672,"ES,HU",African American Authors (Es),
9999,L,3.00,ENG EL,English Elective,ENG 220,4672,HU,Women & Pop Culture,
9999,L,3.00,ENG 202,Writing About Lit,ENG 301,4672,AP,Foundations For Lit Studies,
9999,L,3.00,ENG 201,Intermediate Composition,ENG 303,4672,AP,Special Topics Writng/Rhetoric,
9999,L,3.00,ENG 203,Creative Writing I,ENG 305,4672,FA,Creative Writing,
9999,L,3.00,ENG 206,Technical Writing,ENG 308,4672,AP,Technical Writing,
9999,L,1.00,EDU EL,Education Elective,EFN 200,4672,,Cooperatives,
9999,L,3.00,EDU EL,Education Elective,EFN 205,4672,ES,Understand Human Diffs (Es),
9999,L,1.00,CTA EL,Communication and Theatre Arts Elective,EFN 207,4672,,Rslvng Divrs Drama,
9999,L,2.00,EDU EL,Education Elective,EFN 210,4672,,Introduction to Education,
9999,L,2.00,EDU EL,Education Elective,EFN 222,4672,,Choice:Prob Solvng,
9999,L,1.00-3.00,EDU EL,Education Elective,EFN 290,4672,,Educational Forum,8
9999,L,3.00,GEO EL,Geography Elective,GEO 102,4672,,Maps & Society,
9999,L,3.00,GEO 110,World Regnl Geog,GEO 110,4672,SS,World Cultural Regions,
9999,L,3.00,GEO EL,Geography Elective,GEO 200,4672,NS,Conservation Global Environmts,
9999,L,3.00,GEO 341,The US and Canada,GEO 201,4672,SS,Geography of U.S. & Canada,
9999,L,3.00,GEO EL,Geography Elective,GEO 202,4672,SS,Contemporary Global Issues,
9999,L,3.00,GEO 342,Geog of  Wisconsin,GEO 204,4672,SS,Geography of Wisconsin,
9999,L,3.00,GEO EL,Geography Elective,GEO 208,4672,,Applications of Gis I,
9999,L,3.00,GLG EL,Geology Elective,GEO 209,4672,NS,Geol Evol of Earth,
9999,L,3.00,GEO 110,World Regnl Geog,GEO 210,4672,SS,World Regionl Geog,
9999,L,3.00,GEO EL,Geography Elective,GEO 250,4672,,Maps & Gis,
9999,L,3.00,GEO 300,Population: World Survey,GEO 300,4672,SS,Population Geography,
9999,L,3.00,GEO 348,South America,GEO 316,4672,SS,Geo of South Amer,
9999,L,3.00,GEO 347,Middle America,GEO 317,4672,SS,Geo of Midle Amer,
9999,L,3.00,GEO 350,Envirnmntl Conservtn,GEO 324,4672,SS,Cons of Natr Resrc,
9999,L,3.00,GEO 107,Intro Maps & Air Photo,GEO 340,4672,"LS,NS",Earth's Polar Regions,
9999,L,3.00,BUS 110,Personal Finance,FIN 207,4672,AP,Personal Finance,
9999,L,4.00,GER 101,1st Sem German,GER 101,4672,HU,Elementary German I,
9999,L,4.00,GER 102,2nd Sem German,GER 102,4672,HU,Elementary German II,
9999,L,3.00,GER EL,German Elective,GER 200,4672,HU,The Medieval World,
9999,L,4.00,GER 201,3rd Sem German,GER 201,4672,HU,Intermediate German I,
9999,L,4.00,GER 202,4th Sem German,GER 202,4672,HU,Intermediate German II,
9999,L,3.00,FRE 101,1st Sem French,FRE 101,4672,HU,Elementary French I,
9999,L,3.00,FRE 102,2nd Sem French,FRE 102,4672,HU,Elementary French II,
9999,L,3.00,FRE EL,French Elective,FRE 200,4672,HU,The Medieval World,
9999,L,3.00,FRE 201,3rd Sem French,FRE 201,4672,HU,Intermediate French I,
9999,L,3.00,FRE 202,4th Sem French,FRE 202,4672,HU,Intermediate French II,
9999,L,3.00,FRE EL,French Elective,FRE 220,4672,HU,France/Francoworld,
9999,L,3.00,HIS EL,History Elective,HIS 101,4672,SS,Global Origins of Modern World,
9999,L,3.00,HIS EL,History Elective,HIS 102,4672,SS,Global Transition & Change,
9999,L,3.00,HIS 105,Hist of Western Civ,HIS 151,4672,HU,World Hist to 1500,
9999,L,3.00,HIS 106,Hist of Western Civ,HIS 152,4672,HU,Roots Modern World,
9999,L,3.00,HIS EL,History Elective,HIS 200,4672,HU,Historiography & His Methods,
9999,L,3.00,HIS EL,History Elective,HIS 202,4672,SS,Contemporary Global Issues,
9999,L,3.00,HIS EL,History Elective,HIS 203,4672,SS,Cont Global Issues,
9999,L,3.00,HIS EL,History Elective,HIS 204,4672,HU,Ancient Literate Civilizations,
9999,L,3.00,HIS EL,History Elective,HIS 205,4672,HU,Ethics and Religion,
9999,L,3.00,HIS EL,History Elective,HIS 206,4672,SS,Life 20th Century,
9999,L,3.00,HIS EL,History Elective,HIS 210,4672,SS,Survey of the United States,
9999,L,3.00,HIS EL,History Elective,HIS 220,4672,SS,US Global Communty,
