to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4670,L,3.0,GEN EL,General Elective,AGRIBUS (006) 113,4573,,Animal Science,
4670,L,3.0,BIOL EL,Biology Elective,HORT (001) 111,4573,"GE-II, LE-K1",Intro to Horticulture,
9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 105,4573,SS,Economics,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 107,4573,,Labor Economics,5
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 109,4573,,Consumer Econ Prob,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 110,4573,,Consumer Econ Prob,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 114,4573,,Human Growth&Dev,5
9999,L,3.0,BUS 110,Personal Finance,SOCSCI (809) 115,4573,AP,Consumer Economics,
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4573,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 124,4573,,Human Growth&Dev,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 125,4573,,Labor Relations,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 127,4573,,Labor Relations,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4573,,Marriage & Family,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 132,4573,,Issues in Ecology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 134,4573,,Issues in Ecology,5
9999,L,5.0,GEN EL,General Elective,SOCSCI (809) 140,4573,SS,Intro-Psychology,
9999,L,3.0,POL EL,Political Science Elective,SOCSCI (809) 145,4573,SS,American Government,
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 150,4573,,International Community,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 152,4573,,American Instutns,5
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 154,4573,,American Federalism,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 157,4573,"UCTA,SS",American Govt,22
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4573,,Abnormal Psychology,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 160,4573,,Marriage&Family,5
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 162,4573,,Ind Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 164,4573,,Social Problems,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 165,4573,,Marriage and Family,5
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4573,"EL, UCTA",Intro to Ethics: Theory & App,22
9999,,5.0,NDC,No Degree Credit,SOCSCI (809) 167,4573,,Intro-Sociology,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 168,4573,,Cooperative Decision Making,5
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 169,4573,,Interpersonal Relations,5
9999,P,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4573,"SS, UCTA",Introduction to Diversity Stud,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4573,SS,Social Problems,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 180,4573,,Interpersonal Rel/Decision Mak,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 181,4573,,Psych of Cultural Differences,5
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 182,4573,,Industrial Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 183,4573,,Organizational Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 184,4573,,International Economics,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 185,4573,,Abnormal Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 186,4573,,Psych of Health & Wellness,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4573,SS,Developmental Psychology,
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4573,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4573,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4573,SS,Contemporary American Society,
9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,4573,"UCTA,SS",Intro to Psychology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,4573,SS,Psychology of Human Relations,
9999,,1.0,NDC,No Degree Credit,READ (808) 120,4573,,Improving College Reading,5
9999,,2.0,NDC,No Degree Credit,READ (808) 130,4573,,Critical Reading,5
9999,L,3.0,CTA 103,Intro Public Speaking,SPEECH (810) 201,4573,AP,Fundamentals of Speech,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,4573,"NS, LS, UCTA",General Biology,22
9999,L,4.0,BIO 285,Anatomy and Physiology,NATSCI (806) 125,4573,"LS,NS",Anatomy and Physiology I,
9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,4573,"UCTA,LS,NS",General Chemistry,22
9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,4573,"UCTA,LS,NS",General Physics 1,22
