to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4670,,3.0,NDC,No Degree Credit,BUSADM (102) 103,4599,,Money and Banking,5
4670,,3.0,NDC,No Degree Credit,BUSADM (102) 107,4599,,Principles of Finance,5
4670,,3.0,NDC,No Degree Credit,BUSADM (102) 150,4599,,Investments,5
4670,,3.0,NDC,No Degree Credit,BUSADM (102) 192,4599,,Principles of Insurance,5
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 100,4599,,Human Relations,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 110,4599,,Introduction to Sociology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 115,4599,,Introduction to Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 116,4599,,Developmental Psychology,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 118,4599,,College Success Strategies,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4599,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4599,,Marriage & Family,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 150,4599,,Studies-Native American Cultre,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4599,,Abnormal Psychology,
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4599,"UCTA, EL",Intro to Ethics: Theory & App,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 170,4599,,Workplace Reality,5
9999,L,2.0,GEN EL,General Elective,SOCSCI (809) 171,4599,SS,Workplace Reality,
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4599,"SS, UCTA",Intro to Diversity Studies,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4599,SS,Social Problems,
9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 175,4599,SS,Economics,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 177,4599,,American Institutions,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 185,4599,,Contemporary Social Issues,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 186,4599,,Contemporary Political Issues,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4599,SS,Developmental Psychology,
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4599,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4599,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4599,SS,Contemporary American Society,
9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,4599,"UCTA,SS",Intro to Psychology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,4599,SS,Psychology of Human Relations,
9999,,2.0,NDC,No Degree Credit,SOCSCI (809) 100,4599,,Human Relations,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 110,4599,,Introduction to Sociology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 115,4599,,Introduction to Psychology,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 116,4599,,Developmental Psychology,5
9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 118,4599,,College Success Strategies,5
9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,4599,"UCTA,SS",Intro to Amer Government,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,4599,,Marriage & Family,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 150,4599,,Studies-Native American Cultre,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,4599,,Abnormal Psychology,
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,4599,"UCTA, EL",Intro to Ethics: Theory & App,22
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 170,4599,,Workplace Reality,5
9999,L,2.0,GEN EL,General Elective,SOCSCI (809) 171,4599,SS,Workplace Reality,
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,4599,"SS, UCTA",Intro to Diversity Studies,22
9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,4599,SS,Social Problems,
9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 175,4599,SS,Economics,
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 177,4599,,American Institutions,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 185,4599,,Contemporary Social Issues,5
9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 186,4599,,Contemporary Political Issues,5
9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,4599,SS,Developmental Psychology,
9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,4599,"UCTA,SS",Economics,22
9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,4599,"SS, UCTA",Intro to Sociology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,4599,SS,Contemporary American Society,
9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,4599,"UCTA,SS",Intro to Psychology,22
9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,4599,SS,Psychology of Human Relations,
4670,L,1.0,C S 100,Computr Info Tech,COMPSOFT (103) 129,4599,GE-IB,Introduction to Ms Office,
4670,U,2.0,ART 312,Dgtl Img & Des,COMPSOFT (103) 156,4599,"GE-IV, LE-K4, LE-S3",Adobe Photoshop,
4670,,4.0,NDC,No Degree Credit,ACCTG (101) 101,4599,,Financial Accounting 1,5
4670,L,4.0,ACCT 201,Intro to Acctg,ACCTG (101) 101,4599,,Financial Accounting 1,
4670,,4.0,NDC,No Degree Credit,ACCTG (101) 103,4599,,Financial Accounting 2,5
4670,U,4.0,ACCT 312,Managerial Acctg,ACCTG (101) 103,4599,,Financial Accounting 2,
4670,,4.0,NDC,No Degree Credit,ACCTG (101) 105,4599,,Intermediate Accounting 1,5
4670,L,4.0,ACCT EL,Accounting Elective,ACCTG (101) 105,4599,,Intermediate Accounting 1,
4670,,3.0,NDC,No Degree Credit,ACCTG (101) 106,4599,,Computerized Accounting,5
4670,,4.0,NDC,No Degree Credit,ACCTG (101) 107,4599,,Intermediate Accounting 2,5
4670,L,4.0,ACCT EL,Accounting Elective,ACCTG (101) 107,4599,,Intermediate Accounting 2,
4670,L,4.0,ACCT EL,Accounting Elective,ACCTG (101) 121,4599,,Cost and Managerial Accounting,
4670,,4.0,NDC,No Degree Credit,ACCTG (101) 123,4599,,Income Tax Accounting,5
4670,,3.0,NDC,No Degree Credit,ACCTG (101) 124,4599,,Payroll Systems and Accounting,5
4670,,3.0,NDC,No Degree Credit,ACCTG (101) 130,4599,,Accounting Systems,5
4670,L,2.0,ACCT EL,Accounting Elective,ACCTG (101) 176,4599,,Financial Accounting 1a,
4670,L,2.0,ACCT 201,Intro to Acctg,ACCTG (101) 177,4599,,Financial Accounting 1b,
4670,L,3.0,BSAD 100,Intro Bus World,RBUS (105) 100,4599,,Introduction to Business,
4670,,1.0,GEN CONF,General Confer,RBUS (105) 115,4599,,Professional Profile,"2, 11"
4670,U,3.0,BSAD 306,Business Law,RBUS (105) 125,4599,,Business Law,
4670,L,3.0,BSAD 125,Essn Marketing,MKTG (104) 102,4599,,Marketing Principles,
4670,,3.0,GEN CONF,General Confer,MKTG (104) 104,4599,,Selling Principles,11
4670,L,3.0,MGMT EL,Management Elective,MKTG (104) 191,4599,,Customer Service Management,
4670,L,3.0,FIN EL,Finance Elective,FIN PLAN (114) 103,4599,,Money and Banking,
4670,L,3.0,FIN EL,Finance Elective,FIN PLAN (114) 107,4599,,Principles of Finance,
4670,L,3.0,FIN EL,Finance Elective,FIN PLAN (114) 125,4599,,Personal Finance,
4670,L,3.0,FIN EL,Finance Elective,FIN PLAN (114) 150,4599,,Investments,
4670,L,3.0,FIN EL,Finance Elective,FIN PLAN (114) 192,4599,,Principles of Insurance,
9999,L,3.0,BIO EL,Biology Elective,NATSCI (806) 112,4599,NS,Principles of Sustainability,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 114,4599,"NS, LS, UCTA",General Biology,22
9999,L,4.0,CHE 125,Introductory Chemistry,NATSCI (806) 134,4599,"UCTA,LS,NS",General Chemistry,22
9999,L,4.0,PHY 141,College Physics I,NATSCI (806) 154,4599,"UCTA,LS,NS",General Physics 1,22
9999,L,4.0,BIO 182,Human Anat & Physiology,NATSCI (806) 177,4599,"LS,NS",Gen Anatomy & Physiology,220
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 179,4599,"NS, LS",Adv Anatomy & Physiology,220
9999,L,4.0,CHE EL,Chemistry Elective,NATSCI (806) 186,4599,NS,Intro to Biochemistry,
9999,L,4.0,BIO EL,Biology Elective,NATSCI (806) 197,4599,NS,Microbiology,
9999,L,4.0,BIO 180,Intro to Human Biology,NATSCI (806) 198,4599,,Human Biology,
4670,L,3.0,BSAD 115,Essn Hr Mgmt,HRMGT (116) 100,4599,,Human Resource Management,
4670,L,3.0,C S 260,Database Systems,ITDEV (152) 100,4599,,Database Concepts and Sql,
4670,U,3.0,C S 318,Web Page Design,ITDEV (152) 101,4599,GE-IB,Web Design and Development,
4670,U,3.0,C S 318,Web Page Design,ITDEV (152) 102,4599,GE-IB,Adv Web Site Development,
4670,L,3.0,C S 145,Programming New,ITDEV (152) 106,4599,,Java Programming - Beginning,
4670,U,3.0,C S 319,Intro Web Prog,ITDEV (152) 112,4599,GE-IB,Server-Side Web Development,
4670,L,3.0,C S 268,Web Systems,ITDEV (152) 113,4599,,Applications Development,
4670,L,2.0,BSAD 140,Essn Inform Sys,ITMCS (154) 102,4599,,Operating Systems 1,
4670,L,3.0,NRSG 220,Language of Healt,OFFTECH (106) 130,4599,,Medical Terminology 1,
4670,L,3.0,BSAD EL,Business Administration Elective,OFFTECH (106) 139,4599,,Administrative Office Procedur,
4670,L,2.0,BSAD EL,Business Administration Elective,OFFTECH (106) 165,4599,,Information Management,
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 148,4599,,Ece: Foundations of Ece,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 151,4599,,Ece: Infant & Toddler Dev,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 166,4599,,Ece: Curriculum Planning,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 167,4599,,Ece: Hlth Safety & Nutrition,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 174,4599,,Ece: Practicum 1,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 178,4599,,Ece: Art Music & Lang Arts,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 179,4599,,Ece: Child Development,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 187,4599,,Ece: Children W Diff Abilities,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 188,4599,,Ece: Guiding Child Behavior,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 192,4599,,Ece: Practicum 2,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 194,4599,,Ece: Math Science & Soc St,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 195,4599,,Ece: Family & Community Rel,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 197,4599,,Ece: Practicum 3,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 198,4599,,Ece: Admin An Ece Program,5
4670,,3.0,NDC,No Degree Credit,EARLYCHLD (307) 199,4599,,Ece: Practicum 4,5
9999,,5.0,NDC,No Degree Credit,COMMSK (801) 104,4599,,Principles of Communication,5
9999,L,3.0,ENG 101,College Write & Critical Read,COMMSK (801) 136,4599,UCTA,English Composition 1,22
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 161,4599,,Communication Skills I,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 163,4599,,Communication Skills II,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 165,4599,,Written/Oral Reporting,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 169,4599,,Technical Report Writing,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 170,4599,,Advanced Technical Writing,5
9999,,3.0,NDC,No Degree Credit,COMMSK (801) 175,4599,,Bid and Proposal Writing,5
9999,L,3.0,ENG EL,English Elective,COMMSK (801) 195,4599,"EL, UCTA",Written Communication,22
9999,L,3.0,CTA 101,Interpersonal Comm,COMMSK (801) 196,4599,AP,Oral/Interpersonal Comm,
9999,L,3.0,ENG 206,Technical Writing,COMMSK (801) 197,4599,AP,Technical Reporting,
9999,L,3.0,CTA 103,Intro Public Speaking,COMMSK (801) 198,4599,"UCTA,AP",Speech,22
9999,,3.0,NDC,No Degree Credit,MATH (804) 106,4599,,Intro to College Math,5
9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,4599,,College Mathematics,
9999,,3.0,NDC,No Degree Credit,MATH (804) 110,4599,,Elementary Algebra With Appls,5
