to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,HIS 105,Hist of Western Civ,HIST (803) 207,Nicolet Area Tech. College,HU,History of Western Civilizatio,
UW Branch Campus,L,3.00,HIS 106,Hist of Western Civ,HIST (803) 211,Nicolet Area Tech. College,HU,History of Western Civilizatio,
UW Branch Campus,L,3.00,HIS 101,US His to Civ War (Es),HIST (803) 215,Nicolet Area Tech. College,"ES,SS",History of American People to,
UW Branch Campus,L,3.00,HIS 102,US His Civ War+ (Es),HIST (803) 219,Nicolet Area Tech. College,"ES,SS",History of American People Fro,
UW Branch Campus,L,3.00,HIS 293,Civ War & Reconstruc,HIST (803) 220,Nicolet Area Tech. College,SS,History of the Civil War,
UW Branch Campus,L,3.00,HIS 290,History of  Wisconsin,HIST (803) 223,Nicolet Area Tech. College,SS,History of Wisconsin,
UW Branch Campus,L,3.00,POL 204,"Natl,State,Local Gov",HIST (803) 227,Nicolet Area Tech. College,SS,American Government,
UW Branch Campus,L,3.00,POL EL,Political Science Elective,HIST (803) 228,Nicolet Area Tech. College,SS,Elections & Voting Behavior,
UW Branch Campus,L,3.00,ANT 314,Indians of North America (Es),HIST (803) 230,Nicolet Area Tech. College,"ES,SS",History of Amer Indians,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 232,Nicolet Area Tech. College,SS,Women in History,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 235,Nicolet Area Tech. College,SS,China; Survey Chinese History,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 236,Nicolet Area Tech. College,SS,History of Women in US,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 239,Nicolet Area Tech. College,"SS, ES",Japan:Living Changing Traditio,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 240,Nicolet Area Tech. College,"SS, ES",History of Ethnic America,
UW Branch Campus,L,3.00,HIS 119,Making of Modern Eur,HIST (803) 243,Nicolet Area Tech. College,HU,Modern Europe,
UW Branch Campus,L,3.00,HIS 120,Eur & Mod Wld 1815+,HIST (803) 247,Nicolet Area Tech. College,HU,Russia/East Europe Since 1815,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 250,Nicolet Area Tech. College,SS,Women & Work in United States,
UW Branch Campus,L,3.00,HIS 254,American Foreign Relations,HIST (803) 251,Nicolet Area Tech. College,SS,American Foreign Policy Since,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 252,Nicolet Area Tech. College,"SS, ES",The Africans,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 255,Nicolet Area Tech. College,"SS, ES",Southeast Asia in Modern Times,
UW Branch Campus,L,3.00,HIS 274,Surv Mod E Asian His,HIST (803) 256,Nicolet Area Tech. College,SS,Modern Asian History,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 257,Nicolet Area Tech. College,SS,The U.S. Civil Rights Movement,
UW Branch Campus,L,3.00,HIS 161,World History to 1500,HIST (803) 258,Nicolet Area Tech. College,HU,World History to 1500,
UW Branch Campus,L,3.00,HIS 162,World History Since 1500,HIST (803) 259,Nicolet Area Tech. College,HU,World History Since 1500,
UW Branch Campus,L,3.00,HIS EL,History Elective,HIST (803) 260,Nicolet Area Tech. College,,Topics in History,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 106,Nicolet Area Tech. College,,Intro to College Math,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,Nicolet Area Tech. College,,College Mathematics,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 110,Nicolet Area Tech. College,,Elem Algebra W Apps,5
UW Branch Campus,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,Nicolet Area Tech. College,,College Technical Math 1a,5
UW Branch Campus,,2.00,NDC,No Degree Credit,MATH (804) 114,Nicolet Area Tech. College,,College Technical Math 1b,5
UW Branch Campus,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,Nicolet Area Tech. College,,College Technical Math 1,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,Nicolet Area Tech. College,MS,College Technical Math 2,
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,Nicolet Area Tech. College,EL,Intermediate Algebra With Appl,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 133,Nicolet Area Tech. College,,Mathematics and Logic,5
UW Branch Campus,,4.00,NDC,No Degree Credit,MATH (804) 170,Nicolet Area Tech. College,,Technical Mathematics I,5
UW Branch Campus,,5.00,NDC,No Degree Credit,MATH (804) 173,Nicolet Area Tech. College,,Technical Mathematics II,5
UW Branch Campus,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,Nicolet Area Tech. College,"UCTA,MS",Introductory Statistics,22
UW Branch Campus,L,3.00,MAT 110,College Algebra,MATH (804) 195,Nicolet Area Tech. College,"MS,CR",College Algebra With Appls,
UW Branch Campus,L,3.00,MAT 113,Trigonometry,MATH (804) 196,Nicolet Area Tech. College,MS,Trigonometry With Appls,
UW Branch Campus,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,Nicolet Area Tech. College,"UCTA,MS",Coll Algebra & Trig With Appls,22
UW Branch Campus,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,Nicolet Area Tech. College,MS,Calculus,
UW Branch Campus,L,3.00,CPS 100,Computers and Soc,MATH (804) 210,Nicolet Area Tech. College,EL,Introduction to Computers and,
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 220,Nicolet Area Tech. College,EL,Intermediate Algebra,
UW Branch Campus,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 222,Nicolet Area Tech. College,"UCTA,MS",College Alg/Trigonometry,22
UW Branch Campus,L,4.00,MAT 110,College Algebra,MATH (804) 224,Nicolet Area Tech. College,"MS,CR",Algebra For Calculus,
