to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,,2.00,NDC,No Degree Credit,MATH (804) 100,Northcentral Tech. College,,Mathematics For Electronics Ma,5
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 102,Northcentral Tech. College,,Math of Finance,5
UW Branch Campus,,0.00,NDC,No Degree Credit,MATH (804) 106,Northcentral Tech. College,,Intro to College Math,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,Northcentral Tech. College,,College Mathematics,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 110,Northcentral Tech. College,,Elem Algebra W Apps,5
UW Branch Campus,,1.00,NDC,No Degree Credit,MATH (804) 111,Northcentral Tech. College,,Technical Mathematics a,5
UW Branch Campus,,1.00,NDC,No Degree Credit,MATH (804) 112,Northcentral Tech. College,,Technical Mathematics B,5
UW Branch Campus,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,Northcentral Tech. College,,College Technical Math 1a,5
UW Branch Campus,,2.00,NDC,No Degree Credit,MATH (804) 114,Northcentral Tech. College,,College Technical Math 1b,5
UW Branch Campus,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,Northcentral Tech. College,,College Technical Math 1,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,Northcentral Tech. College,MS,College Technical Math 2,
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,Northcentral Tech. College,EL,Interm Algebra W Apps,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 133,Northcentral Tech. College,,Math & Logic,5
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 141,Northcentral Tech. College,,Basic Technical Math,5
UW Branch Campus,,5.00,NDC,No Degree Credit,MATH (804) 151,Northcentral Tech. College,,Tech Math I,5
UW Branch Campus,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,Northcentral Tech. College,"UCTA,MS",Introductory Statistics,22
