to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,Northeast Wis. Tech. College,"NS, LS, UCTA",General Biology,22
UW Branch Campus,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,Northeast Wis. Tech. College,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,Northeast Wis. Tech. College,"UCTA,LS,NS",General Physics 1,22
UW Branch Campus,L,4.00,CHE 124,Applied Chemistry and Society,NATSCI (806) 155,Northeast Wis. Tech. College,"LS,NS",Chemistry-Basic,
UW Branch Campus,L,3.00,CHE 203,Survey of Biochemistry,NATSCI (806) 163,Northeast Wis. Tech. College,"LS,NS",Chemistry-Bio Organic,
UW Branch Campus,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,Northeast Wis. Tech. College,"LS,NS",Gen Anatomy & Physiology,216
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,Northeast Wis. Tech. College,"NS, LS",Adv Anatomy & Physiology,216
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 182,Northeast Wis. Tech. College,NS,Anatomy/Physiology 1-General,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 183,Northeast Wis. Tech. College,NS,Microbiology-Dental,
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,Northeast Wis. Tech. College,NS,Intro to Biochemistry,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 187,Northeast Wis. Tech. College,NS,Anatomy/Physiology 2-General,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,Northeast Wis. Tech. College,NS,Basic Anatomy,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 194,Northeast Wis. Tech. College,NS,Anatomy/Physiology-Advanced,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 106,Northeast Wis. Tech. College,,Intro to College Math,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,Northeast Wis. Tech. College,,College Mathematics,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 110,Northeast Wis. Tech. College,,Elem Algebra W Apps,5
UW Branch Campus,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,Northeast Wis. Tech. College,,College Technical Math 1a,5
UW Branch Campus,,2.00,NDC,No Degree Credit,MATH (804) 114,Northeast Wis. Tech. College,,College Technical Math 1b,5
UW Branch Campus,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,Northeast Wis. Tech. College,,College Technical Math 1,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,Northeast Wis. Tech. College,MS,College Technical Math 2,
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,Northeast Wis. Tech. College,EL,Interm Algebra W Apps,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 132,Northeast Wis. Tech. College,,Geometry-Analytic,5
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 133,Northeast Wis. Tech. College,,Math & Logic,5
UW Branch Campus,L,4.00,MAT EL,Mathematics Elective,MATH (804) 160,Northeast Wis. Tech. College,,Mathematics 2-Technical,
UW Branch Campus,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,Northeast Wis. Tech. College,"UCTA,MS",Introductory Statistics,22
UW Branch Campus,L,3.00,MAT 110,College Algebra,MATH (804) 195,Northeast Wis. Tech. College,"MS,CR",College Algebra W Apps,
UW Branch Campus,L,3.00,MAT 113,Trigonometry,MATH (804) 196,Northeast Wis. Tech. College,MS,Trigonometry W Apps,
UW Branch Campus,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,Northeast Wis. Tech. College,"UCTA,MS",College Algebra & Trig W Apps,22
UW Branch Campus,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,Northeast Wis. Tech. College,MS,Calculus 1,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 195,Northeast Wis. Tech. College,NS,Anatomy/Physiology 1,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 196,Northeast Wis. Tech. College,NS,Anatomy/Physiology 2,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,Northeast Wis. Tech. College,NS,Microbiology,
UW Branch Campus,L,3.00,CHE 125,Introductory Chemistry,NATSCI (806) 199,Northeast Wis. Tech. College,NS,Chemistry-Organic/Biological,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 101,Northeast Wis. Tech. College,,Grammar-Practical Applications,5
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,Northeast Wis. Tech. College,"UCTA,EL",English Composition 1,22
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 153,Northeast Wis. Tech. College,,Reportng Tech Info        It,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 154,Northeast Wis. Tech. College,,Prin of Writing           Mk,5
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 156,Northeast Wis. Tech. College,AP,Effective Communication Techni,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 161,Northeast Wis. Tech. College,,Language Skills 2-Secretaries,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 162,Northeast Wis. Tech. College,,Copywriting-Introduction,5
UW Branch Campus,L,3.00,GEN EL,General Elective,COMMSK (801) 166,Northeast Wis. Tech. College,,Writing For Business and Indus,
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 170,Northeast Wis. Tech. College,,Writing-Protective Services,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 175,Northeast Wis. Tech. College,,English Composition I,5
UW Branch Campus,L,3.00,GEN EL,General Elective,COMMSK (801) 185,Northeast Wis. Tech. College,,English Composition 2,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 191,Northeast Wis. Tech. College,,Copywriting-Advanced,5
UW Branch Campus,L,3.00,ENG EL,English Elective,COMMSK (801) 195,Northeast Wis. Tech. College,"EL, UCTA",Written Communication,22
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,Northeast Wis. Tech. College,AP,Oral/Interpersonal Comm,
UW Branch Campus,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,Northeast Wis. Tech. College,AP,Technical Reporting,
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,Northeast Wis. Tech. College,"UCTA,AP",Speech,22
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 101,Northeast Wis. Tech. College,,Grammar-Practical Applications,5
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,Northeast Wis. Tech. College,"UCTA,EL",English Composition 1,22
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 153,Northeast Wis. Tech. College,,Reportng Tech Info        It,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 154,Northeast Wis. Tech. College,,Prin of Writing           Mk,5
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 156,Northeast Wis. Tech. College,AP,Effective Communication Techni,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 161,Northeast Wis. Tech. College,,Language Skills 2-Secretaries,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 162,Northeast Wis. Tech. College,,Copywriting-Introduction,5
UW Branch Campus,L,3.00,GEN EL,General Elective,COMMSK (801) 166,Northeast Wis. Tech. College,,Writing For Business and Indus,
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 170,Northeast Wis. Tech. College,,Writing-Protective Services,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 175,Northeast Wis. Tech. College,,English Composition I,5
UW Branch Campus,L,3.00,GEN EL,General Elective,COMMSK (801) 185,Northeast Wis. Tech. College,,English Composition 2,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 191,Northeast Wis. Tech. College,,Copywriting-Advanced,5
UW Branch Campus,L,3.00,ENG EL,English Elective,COMMSK (801) 195,Northeast Wis. Tech. College,"EL, UCTA",Written Communication,22
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,Northeast Wis. Tech. College,AP,Oral/Interpersonal Comm,
UW Branch Campus,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,Northeast Wis. Tech. College,AP,Technical Reporting,
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,COMMSK (801) 198,Northeast Wis. Tech. College,"UCTA,AP",Speech,22
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,Northeast Wis. Tech. College,"NS, LS, UCTA",General Biology,22
UW Branch Campus,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,Northeast Wis. Tech. College,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,Northeast Wis. Tech. College,"UCTA,LS,NS",General Physics 1,22
UW Branch Campus,L,4.00,CHE 124,Applied Chemistry and Society,NATSCI (806) 155,Northeast Wis. Tech. College,"LS,NS",Chemistry-Basic,
UW Branch Campus,L,3.00,CHE 203,Survey of Biochemistry,NATSCI (806) 163,Northeast Wis. Tech. College,"LS,NS",Chemistry-Bio Organic,
UW Branch Campus,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,Northeast Wis. Tech. College,"LS,NS",Gen Anatomy & Physiology,216
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,Northeast Wis. Tech. College,"NS, LS",Adv Anatomy & Physiology,216
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 182,Northeast Wis. Tech. College,NS,Anatomy/Physiology 1-General,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 183,Northeast Wis. Tech. College,NS,Microbiology-Dental,
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,Northeast Wis. Tech. College,NS,Intro to Biochemistry,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 187,Northeast Wis. Tech. College,NS,Anatomy/Physiology 2-General,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,Northeast Wis. Tech. College,NS,Basic Anatomy,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 194,Northeast Wis. Tech. College,NS,Anatomy/Physiology-Advanced,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 195,Northeast Wis. Tech. College,NS,Anatomy/Physiology 1,
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,Northeast Wis. Tech. College,"UCTA,SS",Intro to Amer Government,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,Northeast Wis. Tech. College,,Marriage & Family,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 150,Northeast Wis. Tech. College,,International Economics,5
UW Branch Campus,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 151,Northeast Wis. Tech. College,SS,Economics 1,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 153,Northeast Wis. Tech. College,,Psych Hum Rel,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 157,Northeast Wis. Tech. College,,Psychology-Human Dynamics,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,Northeast Wis. Tech. College,,Abnormal Psychology,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 163,Northeast Wis. Tech. College,,Psychology-Adolescent,5
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,Northeast Wis. Tech. College,UCTA,Intro to Ethics: Theory & App,22
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,Northeast Wis. Tech. College,"SS, UCTA",Introduction to Diversity Stud,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 173,Northeast Wis. Tech. College,,Psychology-Abnormal,5
UW Branch Campus,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,Northeast Wis. Tech. College,SS,Social Problems,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 196,Northeast Wis. Tech. College,NS,Anatomy/Physiology 2,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,Northeast Wis. Tech. College,NS,Microbiology,
UW Branch Campus,L,3.00,CHE 125,Introductory Chemistry,NATSCI (806) 199,Northeast Wis. Tech. College,NS,Chemistry-Organic/Biological,
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 180,Northeast Wis. Tech. College,SS,Psych-Intro               Ge,
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 181,Northeast Wis. Tech. College,SS,Sociology,
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,Northeast Wis. Tech. College,SS,Developmental Psychology,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 190,Northeast Wis. Tech. College,,Human Growth/Development,5
UW Branch Campus,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,Northeast Wis. Tech. College,"UCTA,SS",Economics,22
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,Northeast Wis. Tech. College,"SS, UCTA",Intro to Sociology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,Northeast Wis. Tech. College,SS,Contemporary Amer Society,
UW Branch Campus,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,Northeast Wis. Tech. College,"UCTA,SS",Intro to Psychology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,Northeast Wis. Tech. College,SS,Psychology of Human Relations,
UW Branch Campus,L,3.00,NDC,No Degree Credit,SPEECH (810) 110,Northeast Wis. Tech. College,,Technical Presentations,5
UW Branch Campus,L,3.00,NDC,No Degree Credit,SPEECH (810) 120,Northeast Wis. Tech. College,,Public Speaking           Ge,5
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 180,Northeast Wis. Tech. College,,Speech,
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,Northeast Wis. Tech. College,"UCTA,SS",Intro to Amer Government,22
