to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,1.00,ART EL,Art Elective,ART 101,UW-Green Bay,,"Tools,Safety,Materials",
UW Branch Campus,L,3.00,ART 183,Renaiss - Modern Art,ART 103,UW-Green Bay,FA,Hist Vis Arts II:Renais-Mod,
UW Branch Campus,L,3.00,ART 101,Introduction to Drawing,ART 105,UW-Green Bay,AP,Introductory Drawing,
UW Branch Campus,L,3.00,ART 112,Three-Dimensional Design,ART 106,UW-Green Bay,AP,3d,
UW Branch Campus,L,3.00,ART 111,Two-Dimensional Design,ART 107,UW-Green Bay,AP,Two Dimensional Design,
UW Branch Campus,L,3.00,ART 121,Intro to Painting,ART 210,UW-Green Bay,AP,Intro to Painting,
UW Branch Campus,L,3.00,ART 131,Intro to Sculpture,ART 220,UW-Green Bay,AP,Intro to Sculpture,
UW Branch Campus,L,3.00,ART 154,Intro to Ceramics,ART 230,UW-Green Bay,AP,Intro to Ceramics,
UW Branch Campus,L,3.00,ART 161,Introduction to Photography,ART 243,UW-Green Bay,AP,Intro to Photography,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 250,UW-Green Bay,AP,Intro to Fibers/Textiles,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 260,UW-Green Bay,AP,Intro to Jewelry/Metals,
UW Branch Campus,L,3.00,ART 141,Intro to Printmaking,ART 270,UW-Green Bay,AP,Intro to Printmaking,
UW Branch Campus,L,1.00-4.00,ART EL,Art Elective,ART 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,ART EL,Art Elective,ART 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,1.00,BIO EL,Biology Elective,BIOLOGY 202,UW-Green Bay,"NS, LS, UCTA",Principles of Biology Lab: 201,22
UW Branch Campus,L,3.00,BIO EL,Biology Elective,BIOLOGY 203,UW-Green Bay,"NS, LS",Principles Bio: Organismal,
UW Branch Campus,L,1.00-4.00,BIO EL,Biology Elective,BIOLOGY 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,BIO EL,Biology Elective,BIOLOGY 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,3.00,BUS 210,Business Commun,BUS ADM 101,UW-Green Bay,AP,Effective Business Commun,
UW Branch Campus,L,3.00,BUS 101,Intro to Business,BUS ADM 202,UW-Green Bay,EL,Business & Its Envir,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BUS ADM 206,UW-Green Bay,,Law & the Individual,
UW Branch Campus,L,3.00,BUS 243,Eco & Bus Statistics,BUS ADM 215,UW-Green Bay,MS,Intro-Business Statistics,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BUS ADM 217,UW-Green Bay,MS,Adv Business Statistics,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BUS ADM 280,UW-Green Bay,,Intro-Mgt Information Sys,
UW Branch Campus,L,3.00,BUS 110,Personal Finance,BUS ADM 282,UW-Green Bay,AP,Personal Finan Planning,
UW Branch Campus,L,1.00-4.00,BUS EL,Business Elective,BUS ADM 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,BUS EL,Business Elective,BUS ADM 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,L,3.00,ANT 204,Cultures of the World,ANTHRO 100,UW-Green Bay,SS,Varieties of World Culture,
UW Branch Campus,L,3.00,ANT 102,Disc Past:Archlgy & Prehis Wld,ANTHRO 215,UW-Green Bay,SS,Intro to Prehistoric Arch,
UW Branch Campus,L,1.00-4.00,ANT EL,Anthropology Elective,ANTHRO 283,UW-Green Bay,,Selected Topics,8
UW Branch Campus,L,1.00-4.00,ANT EL,Anthropology Elective,ANTHRO 298,UW-Green Bay,,Independent Study,8
UW Branch Campus,P,3.00,NDC,No Degree Credit,COM SKIL 115,UW-Green Bay,,Intro Algebraic Concepts,5
UW Branch Campus,L,2.00,CPS EL,Computer Sciences Elective,COM SKIL 140,UW-Green Bay,,Overview Computer Concepts,
UW Branch Campus,P,2.00,NDC,No Degree Credit,COM SKIL 145,UW-Green Bay,,Intro to Numerical Skills,5
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COM SKIL 235,UW-Green Bay,,Speaking-Listening Skills,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COM SKIL 283,UW-Green Bay,,Communic-Small Group Disc,
UW Branch Campus,L,4.00,CHI 101,1st Semester Chinese,CHINESE 101,UW-Green Bay,HU,Intro to Chinese I,
UW Branch Campus,L,3.00,CHE 123,Chemistry & Society,CHEM 101,UW-Green Bay,NS,Fund of Chemistry,
UW Branch Campus,L,3.00,CHE 125,Introductory Chemistry,CHEM 108,UW-Green Bay,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,CHEM 211,UW-Green Bay,NS,Princ of Chemistry I,"19, 223"
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,CHEM 212,UW-Green Bay,NS,Prin of Chemistry II,"19, 224"
UW Branch Campus,L,1.00,CHE EL,Chemistry Elective,CHEM 213,UW-Green Bay,"LS, NS",Principles of Chemistry I Lab,"19, 223"
