to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,HIS EL,History Elective,AFROAM 231,UW-Independent Learning,"SS, ES",Intro to Afro-American History,
UW Branch Campus,L,3.00,HIS EL,History Elective,AFROAM 268,UW-Independent Learning,HU,Intro to Afro-Am Literature,
UW Branch Campus,L,3.00,GEN EL,General Elective,AGECON 422,UW-Independent Learning,,Cooperation,
UW Branch Campus,L,3.00,EDU EL,Education Elective,CURRIC 300,UW-Independent Learning,,School Curriculum Design,
UW Branch Campus,L,3.00,EDU EL,Education Elective,CURRIC 501,UW-Independent Learning,,Health Info For Teachers,
UW Branch Campus,L,3.00,EDU EL,Education Elective,CURRIC 649,UW-Independent Learning,,Children's Literature,
UW Branch Campus,L,1.00,EDU EL,Education Elective,CP & CE 105,UW-Independent Learning,,Hmn Res Dev:Comm Skl Building,
UW Branch Campus,L,2.00,EGR EL,Engineering Elective,C ENGR 590,UW-Independent Learning,,Crit Path Network Techniques,
UW Branch Campus,L,3.00,ENG EL,English Elective,COMLIT 357,UW-Independent Learning,,Fantasy and Science Fiction,
UW Branch Campus,L,2.00,CPS 131,Int to Prg (Fortran),COMSCI 211,UW-Independent Learning,EL,Fund. of Fortran Programing,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMARTS 467,UW-Independent Learning,,Intercultural Communications,
UW Branch Campus,L,3.00,CHE EL,Chemistry Elective,CHEM 103,UW-Independent Learning,NS,General Chemistry I,
UW Branch Campus,L,3.00,CHE EL,Chemistry Elective,CHEM 104,UW-Independent Learning,NS,General Chemistry II,
UW Branch Campus,L,3.00,INT 105,Origins Medical Term,CLASS 205,UW-Independent Learning,EL,Grk & Latin Origins of Med Trm,
UW Branch Campus,L,2.00,ENG EL,English Elective,CLASS 313,UW-Independent Learning,,Greek Drama in English,
UW Branch Campus,L,3.00,GEN EL,General Elective,CLASS 370,UW-Independent Learning,HU,Classical Mythology,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,ECON 100,UW-Independent Learning,SS,Current Economics:Issues and P,
UW Branch Campus,L,4.00,ECO 204,Economics - Micro,ECON 101,UW-Independent Learning,SS,Principals of Microeconomics,
UW Branch Campus,L,3.00,ECO 203,Economics - Macro,ECON 102,UW-Independent Learning,SS,Primcipals of Macroeconomics,
UW Branch Campus,L,3.00,ECO 203,Economics - Macro,ECON 103,UW-Independent Learning,SS,Principles of Macroeconomics,
UW Branch Campus,L,3.00,ECO 204,Economics - Micro,ECON 104,UW-Independent Learning,SS,Principles of Microeconomics,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,ECON 241,UW-Independent Learning,,Intrp of Business & Econ Data,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,ECON 433,UW-Independent Learning,,International Economics,
UW Branch Campus,L,3.00,EDU EL,Education Elective,ED POL 502,UW-Independent Learning,,"Princpls of Voc,Tech&Adult Edc",
UW Branch Campus,L,1.00,EGR EL,Engineering Elective,ENGR P 273,UW-Independent Learning,,Technical Writing I,
UW Branch Campus,L,1.00,EGR EL,Engineering Elective,ENGR P 274,UW-Independent Learning,,Technical Writing II,
UW Branch Campus,L,1.00,EGR EL,Engineering Elective,ENGR P 275,UW-Independent Learning,,Technical Writing III,
UW Branch Campus,L,2.00,EGR EL,Engineering Elective,ENGR P 276,UW-Independent Learning,,Technical Writing I and II,
UW Branch Campus,L,2.00,EGR EL,Engineering Elective,ENGR P 277,UW-Independent Learning,,Technical Writing I and III,
UW Branch Campus,L,2.00,EGR EL,Engineering Elective,ENGR P 278,UW-Independent Learning,,Technical Writing II and III,
UW Branch Campus,L,3.00,EGR EL,Engineering Elective,ENGR P 279,UW-Independent Learning,,Technical Writing I II III,
UW Branch Campus,L,3.00,CPS EL,Computer Sciences Elective,ENGR P 311,UW-Independent Learning,,Fortran-77 W/Intro to Fort-90,
UW Branch Campus,L,3.00,GEN EL,General Elective,ENGR P 374,UW-Independent Learning,,Intermediate Tech Japanese I,
UW Branch Campus,L,3.00,GEN EL,General Elective,ENGR P 375,UW-Independent Learning,,Intermediate Tech Japanese II,
UW Branch Campus,L,3.00,GEN EL,General Elective,ENGR P 412,UW-Independent Learning,,Design of Experiments,
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,ENGL 102,UW-Independent Learning,"UCTA,EL",Freshman English,22
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 151,UW-Independent Learning,,The Bible As Literature,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 167,UW-Independent Learning,HU,Intro to Mod Engl & Am Lit I,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 168,UW-Independent Learning,HU,Intro to Mod Engl & Am Lit II,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 201,UW-Independent Learning,AP,Intermediate Composition,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 203,UW-Independent Learning,AP,Creative Writing: Short Storyr,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 204,UW-Independent Learning,AP,Creative Writing: Poetry,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 207,UW-Independent Learning,HU,Intro to Mod Engl & Am Lit I,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 208,UW-Independent Learning,HU,Intro to Mod Engl & Am Lit II,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 217,UW-Independent Learning,HU,Shakespearean Drama,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 218,UW-Independent Learning,HU,Shakespearean Drama,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 219,UW-Independent Learning,HU,Shakespearean Drama_i,
UW Branch Campus,L,3.00,ENG 280,Intro to Shakespeare,ENGL 220,UW-Independent Learning,HU,Shakespearean Drama II,
UW Branch Campus,L,3.00,MEC EL,Engineering Mechanics Elective,E MECH 221,UW-Independent Learning,,Statics,
UW Branch Campus,L,3.00,MEC EL,Engineering Mechanics Elective,E MECH 222,UW-Independent Learning,,Dynamics,
UW Branch Campus,L,3.00,MEC EL,Engineering Mechanics Elective,E MECH 303,UW-Independent Learning,,Mechanics of Materials,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 301,UW-Independent Learning,,Human Abilities & Learning,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 320,UW-Independent Learning,SS,Child Development,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 321,UW-Independent Learning,SS,Hmn Dev in Adolescence,
UW Branch Campus,L,2.00,PSY EL,Psychology Elective,EDPSYC 371,UW-Independent Learning,SS,Performance Assessment,
UW Branch Campus,L,2.00,PSY EL,Psychology Elective,EDPSYC 371T,UW-Independent Learning,SS,Performance Assmt Telecourse,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 464,UW-Independent Learning,,Teaching For Thinking,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 464T,UW-Independent Learning,,Teaching For Thinking,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 501,UW-Independent Learning,,"Ed Psych of the G,T & Creative",
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 501T,UW-Independent Learning,,"Educ Psych of Gftd, Tlntd&Crtv",
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 503,UW-Independent Learning,,Adult Development and Aging,
UW Branch Campus,L,2.00,EDU EL,Education Elective,EDPSYC 506,UW-Independent Learning,,Programming For the Gifted,
UW Branch Campus,L,2.00,EDU EL,Education Elective,EDPSYC 506T,UW-Independent Learning,,Programming For the Gifted,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 249,UW-Independent Learning,HU,The Courage to Write:,
UW Branch Campus,L,3.00,ENG 279,Women Writers,ENGL 250,UW-Independent Learning,HU,Women in Literature,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 268,UW-Independent Learning,"HU, ES",Intro to 20th Cent Afro-Am Lit,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 269,UW-Independent Learning,"HU, ES",American Indian Literature,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 270,UW-Independent Learning,HU,Survey Asian Amer Literature,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 311,UW-Independent Learning,HU,Saul Bellow,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 312,UW-Independent Learning,HU,Willa Cather,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 313,UW-Independent Learning,HU,Doris Lessing,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 314,UW-Independent Learning,HU,Eudora Welty,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 315,UW-Independent Learning,HU,Virginia Woolf,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 323,UW-Independent Learning,,History of English Language,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 329,UW-Independent Learning,,Structure of English Language,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 431,UW-Independent Learning,HU,Ernest Hemingway,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 433,UW-Independent Learning,HU,William Faulkner,
UW Branch Campus,L,3.00,EDU EL,Education Elective,ED REL 465,UW-Independent Learning,,Human Relations in Education,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 514,UW-Independent Learning,,Teachers Tackle Thinking,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDPSYC 514T,UW-Independent Learning,,Teachers Tackle Thinking,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENGL 434,UW-Independent Learning,HU,Graham Greene,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 460,UW-Independent Learning,HU,The English Novel,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENGL 610,UW-Independent Learning,HU,The American Short Story,
UW Branch Campus,L,1.00,GEN EL,General Elective,FAMRES 299T,UW-Independent Learning,,Administering Child Care Prog,
UW Branch Campus,L,1.00,EDU EL,Education Elective,FAMRES 364I,UW-Independent Learning,,Caring For Infants,
UW Branch Campus,L,3.00,EDU EL,Education Elective,FAMRES 364T,UW-Independent Learning,,Caring For Children: An Intro,
UW Branch Campus,L,1.00,EDU EL,Education Elective,FAMRES 381,UW-Independent Learning,,Family Day Care,
UW Branch Campus,L,2.00,EDU EL,Education Elective,FAMRES 381T,UW-Independent Learning,,Fam Day Care: Village of Kind,
UW Branch Campus,L,1.00,EDU EL,Education Elective,FAMRES 382,UW-Independent Learning,,Assistant Child Care Teacher,
UW Branch Campus,L,3.00,EDU EL,Education Elective,FAMRES 386,UW-Independent Learning,,Child Care Teacher,
UW Branch Campus,L,3.00,EDU EL,Education Elective,FAMRES 479,UW-Independent Learning,,Admin & Org of Chld Cr & Ed Pr,
UW Branch Campus,L,2.00,BIO EL,Biology Elective,FOREST 100,UW-Independent Learning,"NS, LS",Introduction to Forestry,
UW Branch Campus,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",H ED 265,UW-Independent Learning,,Intro to Mental Health/Str Mgt,
UW Branch Campus,L,4.00,FRE 101,1st Sem French,FREN 101,UW-Independent Learning,HU,First Semester French,
UW Branch Campus,L,4.00,FRE 102,2nd Sem French,FREN 102,UW-Independent Learning,HU,Second Semester French,
UW Branch Campus,L,4.00,FRE 101,1st Sem French,FREN 103,UW-Independent Learning,HU,First Semester French,
UW Branch Campus,L,4.00,FRE 102,2nd Sem French,FREN 104,UW-Independent Learning,HU,Second Semester French,
UW Branch Campus,L,3.00,FRE EL,French Elective,FREN 199,UW-Independent Learning,HU,Intro to French Lit 19th Cent,
UW Branch Campus,L,4.00,FRE 201,3rd Sem French,FREN 203,UW-Independent Learning,HU,Third Semester French,
