to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,ART 101,Introduction to Drawing,ART 1010,UW-Platteville,AP,Drawing I:Basic Draw,
UW Branch Campus,L,2.00,ART 101,Introduction to Drawing,ART 1120,UW-Platteville,AP,Introd to Drawing,
UW Branch Campus,L,2.00,ART EL,Art Elective,ART 1220,UW-Platteville,AP,Intro to Studio I,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 1230,UW-Platteville,FA,Art & Chldrns Lit For Tchrs,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 1240,UW-Platteville,FA,Art & Social Studies For Tchrs,
UW Branch Campus,L,2.00,ART EL,Art Elective,ART 1310,UW-Platteville,AP,Drawing II: Styles,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 1420,UW-Platteville,AP,Basic Design I: 2-D,
UW Branch Campus,L,3.00,ART 112,Three-Dimensional Design,ART 1520,UW-Platteville,AP,Basic Design II: 3-D,
UW Branch Campus,L,2.00,ART EL,Art Elective,ART 1620,UW-Platteville,AP,Graphic Des Tech I,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 1630,UW-Platteville,AP,Letter/Typograph Des,
UW Branch Campus,L,2.00,ART 125,Oil Painting,ART 1710,UW-Platteville,AP,Painting I: Beginning Painting,
UW Branch Campus,L,2.00,ART EL,Art Elective,ART 1720,UW-Platteville,AP,Graph Des Techniq II,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 1730,UW-Platteville,AP,Graph Dsgn:Hist/Syst,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 1740,UW-Platteville,AP,Intro Digital Media,
UW Branch Campus,L,2.00,ART 102,Intermediate Drawing,ART 2010,UW-Platteville,AP,Drawing IV: Intermediate,
UW Branch Campus,L,2.00,ART 201,Introduction to Life Drawing,ART 2020,UW-Platteville,AP,Drawing III: Figure,
UW Branch Campus,L,2.00,ART EL,Art Elective,ART 2120,UW-Platteville,AP,Styles in Drawing,
UW Branch Campus,L,3.00,ART 100,Basic Art Experiences,ART 2130,UW-Platteville,AP,Design and Color,
UW Branch Campus,L,3.00,ART 181,Surv: Ancient & Medievl,ART 2140,UW-Platteville,FA,Art Hist I: Ancient/Medieval,
UW Branch Campus,L,3.00,ART 185,Italian Renaissance Art,ART 2210,UW-Platteville,FA,Art Hist II: Renaissanc to Mod,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 2220,UW-Platteville,AP,Perspective Drawing,
UW Branch Campus,L,3.00,ART 111,Two-Dimensional Design,ART 2230,UW-Platteville,AP,Illustration I,
UW Branch Campus,L,3.00,ART 111,Two-Dimensional Design,ART 2240,UW-Platteville,AP,Illustration I,
UW Branch Campus,L,2.00,ART 101,Introduction to Drawing,ART 2320,UW-Platteville,AP,Basic Drawing I,
UW Branch Campus,L,3.00,ART 112,Three-Dimensional Design,ART 2330,UW-Platteville,AP,Illustration II,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 2410,UW-Platteville,AP,Painting II: Intermed Painting,
UW Branch Campus,L,2.00,ART 102,Intermediate Drawing,ART 2420,UW-Platteville,AP,Basic Drawing II,
UW Branch Campus,L,3.00,ART 180,Artist & Visual Arts,ART 2430,UW-Platteville,FA,Art Survey,
UW Branch Campus,L,2.00,CHE 112,Foundations of Chemistry,CHEMSTRY 1020,UW-Platteville,EL,Introductory Chemistry,
UW Branch Campus,L,5.00,CHE 125,Introductory Chemistry,CHEMSTRY 1050,UW-Platteville,"UCTA,LS,NS",Survey of General Chemistry,22
UW Branch Campus,L,4.00,CHE 145,General Chemistry I,CHEMSTRY 1140,UW-Platteville,"UCTA,LS,NS",General Chemistry I,22
UW Branch Campus,L,5.00,CHE EL,Chemistry Elective,CHEMSTRY 1150,UW-Platteville,"NS, LS",Natural Science I,
UW Branch Campus,L,4.00,CHE 155,General Chemistry II,CHEMSTRY 1240,UW-Platteville,"LS,NS",General Chemistry II,
UW Branch Campus,L,2.00,CHE EL,Chemistry Elective,CHEMSTRY 1320,UW-Platteville,NS,Qualitative Analysis,
UW Branch Campus,L,5.00,CHE 165,Chemistry For Engineers,CHEMSTRY 1450,UW-Platteville,"NS,LS",Chemistry For Engineers,
UW Branch Campus,L,5.00,CHE EL,Chemistry Elective,CHEMSTRY 1650,UW-Platteville,"NS, LS",General Chemistry,
UW Branch Campus,L,5.00,CHE EL,Chemistry Elective,CHEMSTRY 1750,UW-Platteville,"NS, LS",Honors Chemistry,
UW Branch Campus,L,1.00-3.00,CHE EL,Chemistry Elective,CHEMSTRY 2000,UW-Platteville,,Undergraduate Research,8
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,CHEMSTRY 2150,UW-Platteville,"NS, LS",Quantitative Analysis,
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,CHEMSTRY 2730,UW-Platteville,NS,Inorganic Chemistry,
UW Branch Campus,L,2.00,ART EL,Art Elective,ART 2490,UW-Platteville,AP,Painting III: Figure,
