to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Eau Claire,L,3.00,GEN EL,General Elective,AGRIBUS (006) 113,Western Tech. College,,Animal Science,
UW-Eau Claire,L,3.00,BIOL EL,Biology Elective,HORT (001) 111,Western Tech. College,"GE-II, LE-K1",Intro to Horticulture,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,SOCSCI (809) 105,Western Tech. College,SS,Economics,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 107,Western Tech. College,,Labor Economics,5
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 109,Western Tech. College,,Consumer Econ Prob,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 110,Western Tech. College,,Consumer Econ Prob,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 114,Western Tech. College,,Human Growth&Dev,5
UW Branch Campus,L,3.00,BUS 110,Personal Finance,SOCSCI (809) 115,Western Tech. College,AP,Consumer Economics,
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,Western Tech. College,"UCTA,SS",Intro to Amer Government,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 124,Western Tech. College,,Human Growth&Dev,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 125,Western Tech. College,,Labor Relations,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 127,Western Tech. College,,Labor Relations,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,Western Tech. College,,Marriage & Family,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 132,Western Tech. College,,Issues in Ecology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 134,Western Tech. College,,Issues in Ecology,5
UW Branch Campus,L,5.00,GEN EL,General Elective,SOCSCI (809) 140,Western Tech. College,SS,Intro-Psychology,
UW Branch Campus,L,3.00,POL EL,Political Science Elective,SOCSCI (809) 145,Western Tech. College,SS,American Government,
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 150,Western Tech. College,,International Community,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 152,Western Tech. College,,American Instutns,5
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 154,Western Tech. College,,American Federalism,5
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 157,Western Tech. College,"UCTA,SS",American Govt,22
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,Western Tech. College,,Abnormal Psychology,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 160,Western Tech. College,,Marriage&Family,5
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 162,Western Tech. College,,Ind Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 164,Western Tech. College,,Social Problems,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 165,Western Tech. College,,Marriage and Family,5
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,Western Tech. College,"EL, UCTA",Intro to Ethics: Theory & App,22
UW Branch Campus,,5.00,NDC,No Degree Credit,SOCSCI (809) 167,Western Tech. College,,Intro-Sociology,5
UW Branch Campus,,1.00,NDC,No Degree Credit,SOCSCI (809) 168,Western Tech. College,,Cooperative Decision Making,5
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 169,Western Tech. College,,Interpersonal Relations,5
UW Branch Campus,P,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,Western Tech. College,"SS, UCTA",Introduction to Diversity Stud,22
UW Branch Campus,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,Western Tech. College,SS,Social Problems,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 180,Western Tech. College,,Interpersonal Rel/Decision Mak,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 181,Western Tech. College,,Psych of Cultural Differences,5
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 182,Western Tech. College,,Industrial Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 183,Western Tech. College,,Organizational Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 184,Western Tech. College,,International Economics,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 185,Western Tech. College,,Abnormal Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 186,Western Tech. College,,Psych of Health & Wellness,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,Western Tech. College,SS,Developmental Psychology,
UW Branch Campus,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,Western Tech. College,"UCTA,SS",Economics,22
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,Western Tech. College,"SS, UCTA",Intro to Sociology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,Western Tech. College,SS,Contemporary American Society,
UW Branch Campus,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,Western Tech. College,"UCTA,SS",Intro to Psychology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,Western Tech. College,SS,Psychology of Human Relations,
UW Branch Campus,,1.00,NDC,No Degree Credit,READ (808) 120,Western Tech. College,,Improving College Reading,5
UW Branch Campus,,2.00,NDC,No Degree Credit,READ (808) 130,Western Tech. College,,Critical Reading,5
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,SPEECH (810) 201,Western Tech. College,AP,Fundamentals of Speech,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,Western Tech. College,"NS, LS, UCTA",General Biology,22
UW Branch Campus,L,4.00,BIO 285,Anatomy and Physiology,NATSCI (806) 125,Western Tech. College,"LS,NS",Anatomy and Physiology I,
UW Branch Campus,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,Western Tech. College,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,Western Tech. College,"UCTA,LS,NS",General Physics 1,22
UW Branch Campus,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,Western Tech. College,"LS,NS",Gen Anatomy & Physiology,219
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,Western Tech. College,"NS, LS",Adv Anatomy & Physiology,219
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,Western Tech. College,NS,Intro to Biochemistry,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,Western Tech. College,NS,Microbiology,
UW-Eau Claire,L,3.00,MSCI EL,Materials Science Elective,ARCHT (614) 106,Western Tech. College,,Archicad,
UW-Eau Claire,L,5.00,KINS ACT,Kinesiology Activity,EMS (531) 109,Western Tech. College,,Emt Basic,
UW-Eau Claire,P,3.00,MATH 010,Bas Math & El Alg,MATH (804) 106,Western Tech. College,,Intro to College Math,5
UW-Eau Claire,P,3.00,MATH 010,Bas Math & El Alg,MATH (804) 107,Western Tech. College,,College Mathematics,5
UW-Eau Claire,P,3.00,MATH 010,Bas Math & El Alg,MATH (804) 110,Western Tech. College,,Elem Algebra W Apps,5
UW-Eau Claire,P,3.00,NDC,No Degree Credit,MATH (804) 113,Western Tech. College,,College Technical Math 1a,5
