to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 106,Madison Area Tech. College,,Intro to College Math,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 107,Madison Area Tech. College,,College Mathematics,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 110,Madison Area Tech. College,,Elem Algebra W Apps,5
UW Branch Campus,P,3.00,MAT 091,Elementary Algebra,MATH (804) 113,Madison Area Tech. College,,College Technical Math 1a,5
UW Branch Campus,,2.00,NDC,No Degree Credit,MATH (804) 114,Madison Area Tech. College,,College Technical Math 1b,5
UW Branch Campus,P,5.00,MAT 091,Elementary Algebra,MATH (804) 115,Madison Area Tech. College,,College Technical Math 1,5
UW Branch Campus,L,3.00,MAT EL,Mathematics Elective,MATH (804) 116,Madison Area Tech. College,MS,College Technical Math 2,
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 118,Madison Area Tech. College,EL,Interm Algebra W Apps,
UW Branch Campus,,3.00,NDC,No Degree Credit,MATH (804) 133,Madison Area Tech. College,,Math & Logic,5
UW Branch Campus,L,3.00,MAT 110,College Algebra,MATH (804) 152,Madison Area Tech. College,"MS,CR",Technical Math 2,
UW Branch Campus,L,3.00,MAT 117,Elementary Statistics,MATH (804) 189,Madison Area Tech. College,"UCTA,MS",Introductory Statistics,22
UW Branch Campus,L,3.00,MAT 110,College Algebra,MATH (804) 195,Madison Area Tech. College,"MS,CR",College Algebra With Appls,
UW Branch Campus,L,3.00,MAT 113,Trigonometry,MATH (804) 196,Madison Area Tech. College,MS,Trigonometry W Apps,
UW Branch Campus,L,5.00,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,Madison Area Tech. College,"UCTA,MS",College Algebra & Trig W Apps,22
UW Branch Campus,L,4.00,MAT 221,Calc & Analy Geom I,MATH (804) 198,Madison Area Tech. College,MS,Calculus 1,
UW Branch Campus,P,3.00,NDC,No Degree Credit,MATH (804) 200,Madison Area Tech. College,,Principles of Geometry,5
UW Branch Campus,L,4.00,MAT 105,Intro College Algebra,MATH (804) 201,Madison Area Tech. College,EL,Intermediate Algebra,
UW Branch Campus,L,2.00,MAT EL,Mathematics Elective,MATH (804) 202,Madison Area Tech. College,,Intermediate Algebra I,
UW Branch Campus,L,2.00,MAT 105,Intro College Algebra,MATH (804) 203,Madison Area Tech. College,EL,Intermediate Algebra 2,
UW Branch Campus,L,4.00,CPS EL,Computer Sciences Elective,MATH (804) 206,Madison Area Tech. College,,Intro Computer Use,
UW Branch Campus,L,2.00,CPS EL,Computer Sciences Elective,MATH (804) 207,Madison Area Tech. College,,Intro Computer Programming,
UW Branch Campus,L,4.00,CPS EL,Computer Sciences Elective,MATH (804) 208,Madison Area Tech. College,EL,Computer Science,
UW Branch Campus,L,3.00,MAT 108,Quantitative Reasoning,MATH (804) 211,Madison Area Tech. College,"CR,MS",Quantitative Reasoning,
UW Branch Campus,L,3.00,MAT 110,College Algebra,MATH (804) 212,Madison Area Tech. College,"MS,CR",College Algebra,
