to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,BUS EL,Business Elective,ACCTG 110,Milwaukee Area Tech. College,,Financial Accounting,
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 101,Milwaukee Area Tech. College,,Bilingual Language Seminar,5
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 133,Milwaukee Area Tech. College,,Childrens Lit,5
UW Branch Campus,,2.00,NDC,No Degree Credit,ENG 141,Milwaukee Area Tech. College,,Integrated Communication Skill,5
UW Branch Campus,,2.00,NDC,No Degree Credit,ENG 142,Milwaukee Area Tech. College,,Integrated Communication Skill,5
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 151,Milwaukee Area Tech. College,,Communication Skills 1,5
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 152,Milwaukee Area Tech. College,,Communication Skills 2,5
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 153,Milwaukee Area Tech. College,,Comm Skills 1,5
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 154,Milwaukee Area Tech. College,,Comm Skills 2,5
UW Branch Campus,,1.00,NDC,No Degree Credit,ENG 155,Milwaukee Area Tech. College,,Technical Writing,5
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 191,Milwaukee Area Tech. College,,Basic Writing Skills,5
UW Branch Campus,,3.00,NDC,No Degree Credit,ENG 192,Milwaukee Area Tech. College,,Intermediate Writing Skills,5
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 195,Milwaukee Area Tech. College,"EL, UCTA",Written Communication,22
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,ENG 196,Milwaukee Area Tech. College,AP,Oral/Interpersonal Communicati,
UW Branch Campus,L,3.00,ENG 206,Technical Writing,ENG 197,Milwaukee Area Tech. College,AP,Technical Reporting,
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,ENG 198,Milwaukee Area Tech. College,"UCTA,AP",Speech,22
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,ENG 201,Milwaukee Area Tech. College,"UCTA,EL",English 1,22
UW Branch Campus,L,3.00,ENG 102,"Crit Write, Read, and Research",ENG 202,Milwaukee Area Tech. College,CR,English 2,
UW Branch Campus,L,3.00,CTA 203,News & Info Writing,ENG 205,Milwaukee Area Tech. College,AP,Journalism 1,
UW Branch Campus,L,3.00,CTA 204,News Reporting,ENG 206,Milwaukee Area Tech. College,AP,Journalism 2,
UW Branch Campus,L,3.00,ENG 203,Creative Writing I,ENG 207,Milwaukee Area Tech. College,FA,Creative Writing,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 208,Milwaukee Area Tech. College,,Technical Communications,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 209,Milwaukee Area Tech. College,AP,Magazine Article Writing,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENG 210,Milwaukee Area Tech. College,AP,Writing the Technical Report,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENG 211,Milwaukee Area Tech. College,AP,Writing About Literature,
UW Branch Campus,L,1.00,ENG EL,English Elective,ENG 212,Milwaukee Area Tech. College,,Writing the Research Paper,
UW Branch Campus,L,3.00,ENG 262,American Literature I,ENG 213,Milwaukee Area Tech. College,HU,American Literature to 1865,
UW Branch Campus,L,3.00,ENG 263,American Literature II,ENG 214,Milwaukee Area Tech. College,HU,American Literature Since 1865,
UW Branch Campus,L,3.00,ENG 267,Contemporary Literature,ENG 215,Milwaukee Area Tech. College,HU,Contemporary Lit,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 217,Milwaukee Area Tech. College,HU,World Literature in Translatn,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 218,Milwaukee Area Tech. College,"HU, ES",African-American Literature 1,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 219,Milwaukee Area Tech. College,"HU, ES",African-American Literature 2,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 220,Milwaukee Area Tech. College,"HU, ES",Native American Lit,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 221,Milwaukee Area Tech. College,"HU, ES",Native American Women in Liter,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 222,Milwaukee Area Tech. College,HU,Images Women in Lit,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 223,Milwaukee Area Tech. College,HU,Afr Am Lit By/About Black Womn,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 225,Milwaukee Area Tech. College,HU,Holocaust Literature; Out of T,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 227,Milwaukee Area Tech. College,HU,Literature of Wisconsin,
UW Branch Campus,L,3.00,ENG EL,English Elective,ENG 235,Milwaukee Area Tech. College,HU,Utopian & Science Fiction Lite,
UW Branch Campus,L,3.00,CTA 150,Introduction to Film,ENG 240,Milwaukee Area Tech. College,FA,Intro Modern Cinema,
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI 100,Milwaukee Area Tech. College,,College Seminar,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI 110,Milwaukee Area Tech. College,,American Economy,5
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI 122,Milwaukee Area Tech. College,"UCTA,SS",Intro to American Government,22
