to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 114,Moraine Park Tech. College,"NS, LS, UCTA",General Biology,22
UW Branch Campus,L,4.00,CHE 125,Introductory Chemistry,NATSCI (806) 134,Moraine Park Tech. College,"UCTA,LS,NS",General Chemistry,22
UW Branch Campus,L,4.00,PHY 141,College Physics I,NATSCI (806) 154,Moraine Park Tech. College,"UCTA,LS,NS",General Physics (Alg-Based),22
UW Branch Campus,L,4.00,BIO 182,Human Anat & Physiology,NATSCI (806) 177,Moraine Park Tech. College,"LS,NS",Gen Anatomy & Physiology,213
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 179,Moraine Park Tech. College,"NS, LS",Adv Anatomy & Physiology,213
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,NATSCI (806) 186,Moraine Park Tech. College,NS,Intro to Biochemistry,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,NATSCI (806) 189,Moraine Park Tech. College,NS,Basic Anatomy,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,NATSCI (806) 197,Moraine Park Tech. College,NS,Microbiology,
UW Branch Campus,,1.00,NDC,No Degree Credit,SOCSCI (809) 100,Moraine Park Tech. College,,Pre-Employment Seminar,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 111,Moraine Park Tech. College,,American Government,5
UW Branch Campus,L,3.00,POL 104,Amer Gov & Politics,SOCSCI (809) 122,Moraine Park Tech. College,"UCTA,SS",Intro to Amer Government,22
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 128,Moraine Park Tech. College,,Marriage & Family,5
UW Branch Campus,,1.00,NDC,No Degree Credit,SOCSCI (809) 130,Moraine Park Tech. College,,Stress Management,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 148,Moraine Park Tech. College,,Developmental Psychology,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 154,Moraine Park Tech. College,,"Psychology, Abnormal",5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 158,Moraine Park Tech. College,,Adolescent Psychology,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 159,Moraine Park Tech. College,,Abnormal Psychology,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 161,Moraine Park Tech. College,,Critical and Creative Thinking,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 165,Moraine Park Tech. College,,Ethics in America,5
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 166,Moraine Park Tech. College,"UCTA, EL",Intro to Ethics: Theory & App,22
UW Branch Campus,,2.00,NDC,No Degree Credit,SOCSCI (809) 171,Moraine Park Tech. College,,Cultural Impacts,5
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 172,Moraine Park Tech. College,"SS, UCTA",Introduction to Diversity Stud,22
UW Branch Campus,L,3.00,SOC 130,Contemp Social Prob,SOCSCI (809) 174,Moraine Park Tech. College,SS,Social Problems,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 175,Moraine Park Tech. College,,Dealing With Diversity,5
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 180,Moraine Park Tech. College,,Personal Effectiveness: the Se,5
UW Branch Campus,L,3.00,PSY EL,Psychology Elective,SOCSCI (809) 188,Moraine Park Tech. College,SS,Developmental Psychology,
UW Branch Campus,,3.00,NDC,No Degree Credit,SOCSCI (809) 190,Moraine Park Tech. College,,Cultural Adaptability,5
UW Branch Campus,L,3.00,ECO 101,Intro to Economics,SOCSCI (809) 195,Moraine Park Tech. College,"UCTA,SS",Economics,22
UW Branch Campus,L,3.00,SOC EL,Sociology Elective,SOCSCI (809) 196,Moraine Park Tech. College,"SS, UCTA",Intro to Sociology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 197,Moraine Park Tech. College,SS,Contemporary Amer Society,
UW Branch Campus,L,3.00,PSY 202,Introductory Psych,SOCSCI (809) 198,Moraine Park Tech. College,"UCTA,SS",Intro to Psychology,22
UW Branch Campus,L,3.00,GEN EL,General Elective,SOCSCI (809) 199,Moraine Park Tech. College,SS,Psychology of Human Relations,
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 100,Moraine Park Tech. College,,"Communications, Technical-Oral",5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 101,Moraine Park Tech. College,,Comm Unit 1-Verbal Application,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 102,Moraine Park Tech. College,,Comm Unit 2-Verbal Dynamics,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 103,Moraine Park Tech. College,,Introduction to College Writin,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 120,Moraine Park Tech. College,,"Communications, Technical-Writ",5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 121,Moraine Park Tech. College,,College Writing 1,5
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 122,Moraine Park Tech. College,,College Writing 2,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 123,Moraine Park Tech. College,,Comm Unit 3-Job Seeking Skills,5
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 130,Moraine Park Tech. College,,Communication-Assertiveness,5
UW Branch Campus,,2.00,NDC,No Degree Credit,COMMSK (801) 132,Moraine Park Tech. College,,Creative Writing,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 133,Moraine Park Tech. College,,Adv Writing Skills,5
UW Branch Campus,L,3.00,ENG 101,College Write & Critical Read,COMMSK (801) 136,Moraine Park Tech. College,UCTA,English Composition 1,22
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 139,Moraine Park Tech. College,,"Internet, Exploring the",5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 145,Moraine Park Tech. College,,Organizational Communications,5
UW Branch Campus,,1.00,NDC,No Degree Credit,COMMSK (801) 149,Moraine Park Tech. College,,Wids Training,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 151,Moraine Park Tech. College,,Communication Skills 1 Verbal,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 152,Moraine Park Tech. College,,Communication Skills 2 Written,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 159,Moraine Park Tech. College,,Training/Dev in Office Systems,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 161,Moraine Park Tech. College,,Police Report Writing,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 162,Moraine Park Tech. College,,Corrections Report Writing,5
UW Branch Campus,,3.00,NDC,No Degree Credit,COMMSK (801) 164,Moraine Park Tech. College,,Writing-Manuals & Brochures,5
UW Branch Campus,L,3.00,ENG EL,English Elective,COMMSK (801) 195,Moraine Park Tech. College,"EL, UCTA",Written Communication,22
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMMSK (801) 196,Moraine Park Tech. College,AP,Oral/Interpersonal Comm,
UW Branch Campus,L,3.00,ENG 206,Technical Writing,COMMSK (801) 197,Moraine Park Tech. College,AP,Technical Reporting,
