to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Eau Claire,P,3.00,NDC,No Degree Credit,MATH (804) 104,Southwest Wis. Tech. College,,General Math,5
UW-Eau Claire,P,3.00,MATH 010,Bas Math & El Alg,MATH (804) 106,Southwest Wis. Tech. College,,Intro to College Math,5
UW-Eau Claire,P,3.00,MATH 010,Bas Math & El Alg,MATH (804) 107,Southwest Wis. Tech. College,,College Mathematics,5
UW-Eau Claire,P,3.00,MATH 020,Intermed Algebra,MATH (804) 109,Southwest Wis. Tech. College,,Intermediate Algebra,5
UW-Eau Claire,P,3.00,MATH 010,Bas Math & El Alg,MATH (804) 110,Southwest Wis. Tech. College,,Elem Algebra W Apps,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,MATH (804) 111,Southwest Wis. Tech. College,,Elementary Algebra,5
UW-Eau Claire,P,3.00,NDC,No Degree Credit,MATH (804) 113,Southwest Wis. Tech. College,,College Technical Math 1a,5
UW-Eau Claire,P,2.00,MATH 020,Intermed Algebra,MATH (804) 114,Southwest Wis. Tech. College,,College Technical Math 1b,5
UW-Eau Claire,P,5.00,DNT,Does Not Transfer,MATH (804) 115,Southwest Wis. Tech. College,,College Technical Math 1,20
UW-Eau Claire,P,4.00,MATH 010,Bas Math & El Alg,MATH (804) 116,Southwest Wis. Tech. College,,College Technical Math 2,
UW-Eau Claire,P,4.00,MATH 020,Intermed Algebra,MATH (804) 118,Southwest Wis. Tech. College,,Interm Algebra W Apps,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,MATH (804) 123,Southwest Wis. Tech. College,,Math W Business Apps,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,MATH (804) 133,Southwest Wis. Tech. College,,Math & Logic,5
UW-Eau Claire,,3.00,NDC,No Degree Credit,MATH (804) 144,Southwest Wis. Tech. College,,Math of Finance,5
UW-Eau Claire,L,3.00,BSAD 202,Bus Statistics,MATH (804) 189,Southwest Wis. Tech. College,UCTA,Introductory Statistics,22
UW-Eau Claire,L,3.00,MATH 104,Finite Math,MATH (804) 195,Southwest Wis. Tech. College,"GE-IB, LE-S2",College Algebra W Apps,
UW-Eau Claire,L,3.00,MATH 113,Trigonometry,MATH (804) 196,Southwest Wis. Tech. College,,Trigonometry W Apps,
UW-Eau Claire,L,5.00,MATH 112,Precalculus Math,MATH (804) 197,Southwest Wis. Tech. College,LE-S2,Coll Algebra & Trig With Appls,22
UW-Eau Claire,L,3.00,NRSG 220,Language of Healt,MEDTERM (501) 101,Southwest Wis. Tech. College,,Medical Terminology,
UW-Eau Claire,,3.00,GEN CONF,General Confer,COMMSK (801) 189,Southwest Wis. Tech. College,,Sign Language 1,"2, 11"
UW-Eau Claire,,3.00,GEN CONF,General Confer,COMMSK (801) 190,Southwest Wis. Tech. College,,Fund of English,11
UW-Eau Claire,,3.00,GEN CONF,General Confer,COMMSK (801) 193,Southwest Wis. Tech. College,,Technical Communications For H,"2, 11"
UW-Eau Claire,L,3.00,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 195,Southwest Wis. Tech. College,"GE-IA, UCTA",Written Communication,22
UW-Eau Claire,L,3.00,C J 203,Human Comm,COMMSK (801) 196,Southwest Wis. Tech. College,"GE-IA, LE-S1",Oral/Interpersonal Comm,
UW-Eau Claire,L,3.00,Comm-Lang EL,Comm-Language Skills Elective,COMMSK (801) 197,Southwest Wis. Tech. College,GE-IA,Technical Reporting,
