to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,BUS 201,Intro Accounting,ACC 221,UW-La Crosse,AP,Accounting Principles I,
UW Branch Campus,L,3.00,BUS 204,Managerial Account,ACC 222,UW-La Crosse,AP,Accounting Principles II,
UW Branch Campus,L,3.00,BUS EL,Business Elective,ACC 235,UW-La Crosse,,Survey of Accnting,
UW Branch Campus,L,4.00,AST EL,Astronomy Elective,AST 155,UW-La Crosse,"NS, LS",Solar System Astronomy,
UW Branch Campus,L,4.00,AST EL,Astronomy Elective,AST 156,UW-La Crosse,"NS, LS",Stars Galax & Univ,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BUS 230,UW-La Crosse,,Bus/Econ Research & Comm,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BUS 240,UW-La Crosse,,Intro Internatl Bus,
UW Branch Campus,L,3.00,EDU EL,Education Elective,CHE 240,UW-La Crosse,,Comm Health Ed Foundations,
UW Branch Campus,L,4.00,CHE 123,Chemistry & Society,CHM 100,UW-La Crosse,NS,Contemporary Chemistry,
UW Branch Campus,L,5.00,CHE 145,General Chemistry I,CHM 103,UW-La Crosse,"UCTA,LS,NS",General Chemistry I,22
UW Branch Campus,L,5.00,CHE 155,General Chemistry II,CHM 104,UW-La Crosse,"LS,NS",General Chemistry II,
UW Branch Campus,L,1.00,GEN EL,General Elective,CLI 120,UW-La Crosse,,Intro to Clinical Lab Science,
UW Branch Campus,L,2.00,GEN EL,General Elective,CLI 200,UW-La Crosse,,Intro Clin Lab Sci,
UW Branch Campus,L,3.00,ANT 102,Disc Past:Archlgy & Prehis Wld,ARC 100,UW-La Crosse,SS,Discovering Our Past,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 195,UW-La Crosse,SS,Archaeology,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 200,UW-La Crosse,SS,World Archaeology,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 203,UW-La Crosse,,Human Adaptations,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 204,UW-La Crosse,SS,Ancient Literate Civilizations,
UW Branch Campus,L,3.00,ANT 308,Archaeology of North Amer (Es),ARC 205,UW-La Crosse,"ES,SS",North American Archaeology,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 210,UW-La Crosse,"SS, ES",Midwest Archaeolgy,
UW Branch Campus,L,3.00,GEN EL,General Elective,ARC 250,UW-La Crosse,,Museum Studies,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 265,UW-La Crosse,SS,Ancient Egypt,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 275,UW-La Crosse,SS,Ancient Britain and Ireland,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 280,UW-La Crosse,SS,Archaeology of the Andes,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ARC 285,UW-La Crosse,SS,Archaeology of Mex & Ctrl Amer,
