to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Eau Claire,L,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 102,UW-Oshkosh,"GE-III, LE-K2",Intro to Anthro (Xs),
UW-Eau Claire,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 122,UW-Oshkosh,"GE-III, LE-K2, LE-R2",Global Community(Xs),
UW-Eau Claire,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 123,UW-Oshkosh,"GE-III, LE-K2",Cultural Diversity(Es)(Xc),
UW-Eau Claire,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 150,UW-Oshkosh,"GE-III, LE-K2",The Ancient World (Xs),
UW-Eau Claire,L,4.00,ANTH 165,Int Physical Anth,ANTHRO 202,UW-Oshkosh,GE-III,Intro to Bio Anthro (Xl),
UW-Eau Claire,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 225,UW-Oshkosh,"GE-III, LE-K2",Clbrt Cltr Thr Art(Hu)(Xc)(Es),
UW-Eau Claire,L,3.00,ANTH 161,Intro Cult Anthro,ANTHRO 232,UW-Oshkosh,"FORCUL, GE-III",Cultural Anthro (Nw)(Ss)(Xs),
UW-Eau Claire,L,3.00,ANTH 169,Intro to Archaeol,ANTHRO 250,UW-Oshkosh,GE-III,Archaeology (Ss)(Xs)(Nw),
UW-Eau Claire,L,3.00,ANTH EL,Anthropology Elective,ANTHRO 272,UW-Oshkosh,,Nature of Languages,
UW-Eau Claire,U,3.00,ANTH 315,Lang Culture-Soc,ANTHRO 274,UW-Oshkosh,"DIV-1, FORCUL, GE-III",Lang in Culture (Hu)(Xc)(Nw),
UW-Eau Claire,,1.00-6.00,GEN CONF,General Confer,ANTHRO 300,UW-Oshkosh,,Topics in Anthropology,"2, 11, 8"
UW-Eau Claire,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 310,UW-Oshkosh,"GE-III, LE-K2",Anthropology Film,
UW-Eau Claire,U,3.00,ANTH 325,North Amer Indian,ANTHRO 312,UW-Oshkosh,GE-III,Native North America (Es),
UW-Eau Claire,,3.00,GEN CONF,General Confer,ANTHRO 314,UW-Oshkosh,,Native American Women (Es),"2, 11"
UW-Eau Claire,U,3.00,ANTH EL,Anthropology Elective,ANTHRO 318,UW-Oshkosh,"GE-III, LE-K2, LE-R2",Peop/Cul S Asia,
UW-Eau Claire,U,3.00,ANTH 355,Peoples of Africa,ANTHRO 322,UW-Oshkosh,GE-III,Peoples & Cult Afri,
UW-Eau Claire,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 324,UW-Oshkosh,"GE-III, LE-K2",Latino Culture & Society,
UW-Eau Claire,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 326,UW-Oshkosh,"GE-III, LE-K2, LE-R2",Peopl & Cult Oceania,
UW-Eau Claire,U,3.00,GEN EL,General Elective,ANTHRO 328,UW-Oshkosh,,Peasant & Cult of Lt Am,
UW-Eau Claire,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 330,UW-Oshkosh,"GE-III, LE-K2, LE-R2",Cult Chg Mod Africa,
UW-Eau Claire,U,3.00,ANTH 463,Relig and Culture,ANTHRO 332,UW-Oshkosh,GE-III,Magic and Religion,
UW-Eau Claire,U,3.00,Soc. Sci. EL,Social Science Elective,ANTHRO 336,UW-Oshkosh,"GE-III, LE-K2",Social Organization,
