to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW-Eau Claire,L,3.00,ACCT 201,Intro to Acctg,ACCT 201,UW-Parkside,,Financial Accounting,
UW-Eau Claire,L,3.00,GEN EL,General Elective,ACCT 202,UW-Parkside,,Managerial Accounting,
UW-Eau Claire,L,3.00,GEN EL,General Elective,ACCT 204,UW-Parkside,,Acct For Non-Bus Majors,
UW-Eau Claire,U,3.00,ACCT 301,Interm Acctg I,ACCT 301,UW-Parkside,,Intermediate Accounting I,
UW-Eau Claire,U,3.00,ACCT 302,Interm Acctg II,ACCT 302,UW-Parkside,,Intermediate Accountng II,
UW-Eau Claire,U,3.00,ACCT 321,Ind Fed Inc Tax,ACCT 305,UW-Parkside,,Individual Taxation,
UW-Eau Claire,U,3.00,ACCT 423,Corp Part Tax,ACCT 306,UW-Parkside,,Business Taxation,
UW-Eau Claire,U,3.00,ACCT 401,Adv Financ Acctng,ACCT 400,UW-Parkside,,Advanced Accounting,
UW-Eau Claire,U,3.00,ACCT 419,Fin Acctg Theory,ACCT 401,UW-Parkside,,Accounting Theory,
UW-Eau Claire,U,3.00,ACCT 430,Acctg Systems,ACCT 402,UW-Parkside,,Accounting Information Systems,
UW-Eau Claire,U,3.00,ACCT 334,Adv Cost Accountg,ACCT 403,UW-Parkside,,Advanced Cost Accounting,
UW-Eau Claire,U,3.00,ACCT 313,Auditing,ACCT 404,UW-Parkside,,Auditing,
UW-Eau Claire,U,1.00,ACCT 404,Income Tax Pract,ACCT 405,UW-Parkside,,Volunteer Income Tax Asst-Vita,
UW-Eau Claire,U,1.00-3.00,GEN EL,General Elective,ACCT 490,UW-Parkside,,Special Topics,8
UW-Eau Claire,U,1.00-3.00,GEN EL,General Elective,ACCT 494,UW-Parkside,,Internship,8
UW-Eau Claire,U,1.00-3.00,GEN EL,General Elective,ACCT 499,UW-Parkside,,Independent Study,"1, 8"
UW-Eau Claire,L,3.00,ART 105,Intro-Visual Arts,ART 100,UW-Parkside,"GE-IV, LE-K4",Foundtn of Art & Visual Cultur,
UW-Eau Claire,L,3.00,ART 108,Found: Color/Comp,ART 102,UW-Parkside,"GE-IV, LE-S3",Introduction to 2-D Design,
UW-Eau Claire,L,3.00,ART 110,Foundations: 3-D,ART 103,UW-Parkside,,Introduction to 3-D Design,
UW-Eau Claire,U,3.00,ART 312,Dgtl Img & Des,ART 104,UW-Parkside,"GE-IV, LE-K4, LE-S3",Introduction to Digital Art,
UW-Eau Claire,L,3.00,ART 107,Found: Draw/Comp,ART 122,UW-Parkside,,Introduction to Drawing,
UW-Eau Claire,L,3.00,ARTH 111,Anct-Medieval Art,ART 125,UW-Parkside,"GE-IV, LE-K4",Survey of World Art,
UW-Eau Claire,L,3.00,ARTH 112,Ren-20th Cent Art,ART 126,UW-Parkside,"GE-IV, LE-K4",Modern & Contmp Art 1900-Pres,
UW-Eau Claire,L,3.00,GEN EL,General Elective,ART 200,UW-Parkside,,Art in Elem Educ Theories,
UW-Eau Claire,L,3.00,ART EL,Art Elective,ART 202,UW-Parkside,,Beginning Fibers & Textiles,
UW-Eau Claire,U,3.00,ART 357,Intro to Ceramics,ART 203,UW-Parkside,,Beginning Ceramics,
UW-Eau Claire,U,3.00,ART 367,Metalsmithing I,ART 223,UW-Parkside,,Beginning Art Metals,
UW-Eau Claire,L,3.00,ART 109,Found: Life Draw,ART 231,UW-Parkside,,Beginning Life Drawing,
UW-Eau Claire,L,3.00,ART 241,Life Drawing I,ART 231,UW-Parkside,,Beginning Life Drawing,
UW-Eau Claire,L,3.00,ART 264,Begin Sculpture,ART 236,UW-Parkside,,Beginning Sculpture,
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 238,UW-Parkside,,Begin Woodworkg/Furniture Dsn,"2, 11"
UW-Eau Claire,L,3.00,ART 249,Intro Printmaking,ART 251,UW-Parkside,,Beginning Printmaking,
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 260,UW-Parkside,,Introduction to Animation,"2, 11"
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 261,UW-Parkside,,Animation Analysis,"2, 11"
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 271,UW-Parkside,,Intro to Graphic Design,"2, 11"
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 273,UW-Parkside,,Intro to Illustration,"2, 11"
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 277,UW-Parkside,,Introduction to Web Design,"2, 11"
UW-Eau Claire,L,3.00,ART 244,Intro to Painting,ART 282,UW-Parkside,,Beginning Painting,
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 283,UW-Parkside,,Begin Airbrush Painting,"2, 11"
UW-Eau Claire,L,3.00,ART 247,Water-Media I,ART 284,UW-Parkside,,Beginning Watercolor,
UW-Eau Claire,L,1.00-4.00,GEN EL,General Elective,ART 290,UW-Parkside,,Special Topics in Art:,8
UW-Eau Claire,L,1.00-4.00,ARTH 291,Spec Topics Arth,ART 291,UW-Parkside,,Selected Topcs in Art History:,8
UW-Eau Claire,L,1.00-4.00,GEN EL,General Elective,ART 299,UW-Parkside,,Independent Study,8
UW-Eau Claire,L,3.00,GEN EL,General Elective,ART 302,UW-Parkside,,Intermediate Fibers & Textiles,1
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 303,UW-Parkside,,Intermediate Ceramics,"2, 11"
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 304,UW-Parkside,,Intrmd Ceramic-Sculptural Form,"2, 11"
UW-Eau Claire,U,3.00,ART 340,Drawing: Concepts I,ART 322,UW-Parkside,,Intermediate Drawing,
UW-Eau Claire,U,3.00,ART 368,Metalsmithing II,ART 323,UW-Parkside,,Intermediate Art Metals,
UW-Eau Claire,L,3.00,ART 109,Found: Life Draw,ART 331,UW-Parkside,,Life Drawing,
UW-Eau Claire,L,3.00,ART 241,Life Drawing I,ART 331,UW-Parkside,,Life Drawing,
UW-Eau Claire,U,3.00,ART 364,Inter Sculpture,ART 336,UW-Parkside,,Intermediate Sculpture,
UW-Eau Claire,,3.00,GEN CONF,General Confer,ART 338,UW-Parkside,,Intrmd Woodworkg/Furniture Dsn,"2, 11"
UW-Eau Claire,U,3.00,ART EL,Art Elective,ART 341,UW-Parkside,,Art Educ-Phil/Psyc Bases,
UW-Eau Claire,U,3.00,ART EL,Art Elective,ART 342,UW-Parkside,,Art Ed:Curric & Instruct,
UW-Eau Claire,U,3.00,ARTH EL,Art History Elective,ART 343,UW-Parkside,GE-IV,Modern Art,
UW-Eau Claire,U,3.00,ARTH EL,Art History Elective,ART 345,UW-Parkside,,Contemporary Art,
