to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,AST EL,Astronomy Elective,ASTR 100,UW-Stevens Point,"NS, LS",Unveiling of Universe,
UW Branch Campus,L,4.00,AST 200,General Astronomy,ASTR 205,UW-Stevens Point,"NS,LS",The Solar System,
UW Branch Campus,L,4.00,AST EL,Astronomy Elective,ASTR 206,UW-Stevens Point,"NS, LS",Stars&Stellar Systems,
UW Branch Campus,L,3.00,GEN EL,General Elective,ARTM 195,UW-Stevens Point,,Intro Arts Management,
UW Branch Campus,L,2.00,ART EL,Art Elective,ARTM 280,UW-Stevens Point,AP,Internship,
UW Branch Campus,L,3.00,ART 111,Two-Dimensional Design,ART 101,UW-Stevens Point,AP,2-Dimensional Design,
UW Branch Campus,L,3.00,ART 112,Three-Dimensional Design,ART 102,UW-Stevens Point,AP,3-Dimensional Design,
UW Branch Campus,L,3.00,ART 101,Introduction to Drawing,ART 103,UW-Stevens Point,AP,Basic Drawing I,
UW Branch Campus,L,3.00,ART 102,Intermediate Drawing,ART 104,UW-Stevens Point,AP,Drawing II,
UW Branch Campus,L,3.00,ART 180,Artist & Visual Arts,ART 181,UW-Stevens Point,FA,History Visual Arts,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 200,UW-Stevens Point,AP,Intro Computrs in Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 201,UW-Stevens Point,AP,Intermed 3-D Design,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 202,UW-Stevens Point,AP,Color,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 206,UW-Stevens Point,AP,Symbols-Graphc Design,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 207,UW-Stevens Point,AP,Typography I,
UW Branch Campus,L,3.00,ART 161,Introduction to Photography,ART 215,UW-Stevens Point,AP,Basic Photography,
UW Branch Campus,L,3.00,ART 121,Intro to Painting,ART 234,UW-Stevens Point,AP,Basic Painting,
UW Branch Campus,L,3.00,ART 201,Introduction to Life Drawing,ART 236,UW-Stevens Point,AP,Life Drawing,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 250,UW-Stevens Point,AP,Computer Images Desgn,
UW Branch Campus,L,3.00,ART 131,Intro to Sculpture,ART 251,UW-Stevens Point,AP,Sclptr:Fbrctn&Instltn,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 252,UW-Stevens Point,AP,Sclptr:Mdl&Mld Mk&Cst,
UW Branch Campus,L,3.00,ART 154,Intro to Ceramics,ART 261,UW-Stevens Point,AP,Basic Ceramics,
UW Branch Campus,L,3.00,ART EL,Art Elective,ART 270,UW-Stevens Point,FA,Survey of Asian Art I,
UW Branch Campus,L,3.00,ART 181,Surv: Ancient & Medievl,ART 282,UW-Stevens Point,FA,Survy West Art Hist I,
UW Branch Campus,L,3.00,ART 183,Renaiss - Modern Art,ART 283,UW-Stevens Point,FA,Srvy West Art Hist II,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",AT 181,UW-Stevens Point,,Intro Athltc Training,
UW Branch Campus,L,1.00,GEN EL,General Elective,AT 182,UW-Stevens Point,,Athl Trng Clncl Obsrv,
UW Branch Campus,L,3.00,GEN EL,General Elective,AT 200,UW-Stevens Point,,Emrg Res Injury/Illns,
UW Branch Campus,L,1.00,GEN EL,General Elective,AT 201,UW-Stevens Point,,Practicum I,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",AT 251,UW-Stevens Point,,Prvntn&Care Inj&Illns,
UW Branch Campus,L,1.00,ANT EL,Anthropology Elective,ANTH 100,UW-Stevens Point,,Forum in Anthropology,
UW Branch Campus,L,3.00,ANT 100,Intro to General Anthro,ANTH 101,UW-Stevens Point,SS,General Anthropology,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTH 110,UW-Stevens Point,SS,Cultural Anthropology,
UW Branch Campus,L,3.00,ANT 105,Intro to Biological Anthro,ANTH 111,UW-Stevens Point,"LS,NS",Human Evolution,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTH 120,UW-Stevens Point,SS,Intro Natv Am Culture,
UW Branch Campus,L,3.00,ANT 353,Indians Western Gr Lake (Es),ANTH 125,UW-Stevens Point,"ES,SS",Wis Indian Cultures,
UW Branch Campus,L,1.00,ANT EL,Anthropology Elective,ANTH 199,UW-Stevens Point,,Reading in Discipline,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTH 250,UW-Stevens Point,SS,Intro to Archaeology,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTH 280,UW-Stevens Point,,Culture and Language,
UW Branch Campus,L,1.00-3.00,ANT EL,Anthropology Elective,ANTH 295,UW-Stevens Point,SS,Special Topics,8
UW Branch Campus,P,2.00,NDC,No Degree Credit,BIOL 050,UW-Stevens Point,,Science Skills,5
UW Branch Campus,L,3.00,BIO 101,Concepts of Biology,BIOL 100,UW-Stevens Point,"UCTA,LS,NS",Biological Principles,22
UW Branch Campus,L,5.00,BIO 101,Concepts of Biology,BIOL 101,UW-Stevens Point,"UCTA,LS,NS",General Biology,22
UW Branch Campus,L,5.00,BIO 162,General Botany,BIOL 130,UW-Stevens Point,"NS,LS",Plant Biology,
UW Branch Campus,L,2.00,BIO EL,Biology Elective,BIOL 140,UW-Stevens Point,NS,Edible&Poison Plants,
UW Branch Campus,L,5.00,BIO 171,Animal Biology,BIOL 160,UW-Stevens Point,"NS,LS",Animal Biology,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,BIOL 202,UW-Stevens Point,NS,Human Reproduction,
