to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,2.00,CHE EL,Chemistry Elective,CHEM 100,UW-Superior,NS,Our Chemical Environment,
UW Branch Campus,L,3.00,CHE EL,Chemistry Elective,CHEM 101,UW-Superior,NS,Elements & the Environment,
UW Branch Campus,L,4.00,CHE EL,Chemistry Elective,CHEM 102,UW-Superior,NS,Chem of Everyday Phenomena,
UW Branch Campus,L,5.00,CHE 145,General Chemistry I,CHEM 105,UW-Superior,"UCTA,LS,NS",General Chemistry I,22
UW Branch Campus,L,4.00,CHE 155,General Chemistry II,CHEM 106,UW-Superior,"LS,NS",General Chemistry II,
UW Branch Campus,L,1.00,CHE EL,Chemistry Elective,CHEM 107,UW-Superior,NS,Sup Problems in Chemistry II,
UW Branch Campus,L,1.00-2.00,CHE EL,Chemistry Elective,CHEM 181,UW-Superior,NS,Introductory Topics,8
UW Branch Campus,L,3.00,CHE 244,Quantitative Analys,CHEM 205,UW-Superior,NS,Quant Analysis Lecture,
UW Branch Campus,L,2.00,CHE EL,Chemistry Elective,CHEM 206,UW-Superior,NS,Quantitative Analysis Lab,
UW Branch Campus,L,3.00,CHE EL,Chemistry Elective,CHEM 266,UW-Superior,NS,Descrip Inorganic Chem,
UW Branch Campus,L,1.00,CHE EL,Chemistry Elective,CHEM 281,UW-Superior,NS,Selected Topics,
UW Branch Campus,L,1.00,CHE EL,Chemistry Elective,CHEM 299,UW-Superior,NS,Chemical Lit and Safety,
UW Branch Campus,L,3.00,CTA 150,Introduction to Film,COMM 104,UW-Superior,FA,Film and Culture,
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,COMM 110,UW-Superior,"UCTA,AP",Introduction to Communication,22
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMM 115,UW-Superior,AP,Interpersonal Communicatn,
UW Branch Campus,L,3.00,CTA 130,Intro to Theatre,COMM 122,UW-Superior,FA,Theatre Appreciation,
UW Branch Campus,L,3.00,CTA 232,Intro Acting,COMM 125,UW-Superior,AP,Beginning Acting For Theatre,
UW Branch Campus,L,3.00,CTA 220,Intro Radio Broadcst,COMM 134,UW-Superior,AP,Digital Audio Production,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 135,UW-Superior,AP,Broadcast Announcing,
UW Branch Campus,L,3.00,CTA 201,Intro Mass Communic,COMM 170,UW-Superior,SS,Media and Society,
UW Branch Campus,L,3.00,CTA 234,Introduction to Stagecraft,COMM 180,UW-Superior,AP,Intro to Technical Theatre,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 185,UW-Superior,,Script Analysis For Theatre,
UW Branch Campus,L,1.00-3.00,CTA EL,Communication and Theatre Arts Elective,COMM 191,UW-Superior,AP,Practicum,8
UW Branch Campus,L,1.00-3.00,CTA EL,Communication and Theatre Arts Elective,COMM 200,UW-Superior,AP,Theatre Fine Arts Practicum,8
UW Branch Campus,L,3.00,CTA 203,News & Info Writing,COMM 203,UW-Superior,AP,News Gathering and Reporting,
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMM 211,UW-Superior,AP,Interpersonal Communication,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 215,UW-Superior,,Effective Listening For Prof.,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 221,UW-Superior,,Advertising Copywrt & Desg,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 222,UW-Superior,AP,Theatre Management,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 224,UW-Superior,AP,Advanced Acting,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 225,UW-Superior,,Performance For the Media,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,COMM 226,UW-Superior,,Professional Prep For Theatre,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 245,UW-Superior,,Voice and Articulation,
UW Branch Campus,L,3.00,COM EL,Communication Elective,COMM 251,UW-Superior,AP,Persuasion,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 260,UW-Superior,,Broadcast Programming&Mrktg,
UW Branch Campus,L,3.00,CTA 221,Intro Tv Broadcastng,COMM 261,UW-Superior,AP,Digital Video Production,
UW Branch Campus,L,3.00,CTA 230,Literature & Performance,COMM 273,UW-Superior,HU,Oral Interpretation,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 281,UW-Superior,,Advanced Technical Theatre,
UW Branch Campus,L,3.00,CTA 130,Intro to Theatre,COMM 285,UW-Superior,FA,History of Theatre,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTH 101,UW-Superior,SS,The Human Experience,
