to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,GEN EL,General Elective,AMERIND 102,UW-Whitewater,"SS, ES",Intro Amer Indian Studies,
UW Branch Campus,L,3.00,BUS 201,Intro Accounting,ACCOUNT 244,UW-Whitewater,AP,Intro to Financial Acct,
UW Branch Campus,L,3.00,BUS 204,Managerial Account,ACCOUNT 249,UW-Whitewater,AP,Intro to Managerial Acct,
UW Branch Campus,L,3.00,GEN EL,General Elective,AFRIAMR 100,UW-Whitewater,"SS, ES",Introductn Black Culture,
UW Branch Campus,L,3.00,GEN EL,General Elective,AFRIAMR 120,UW-Whitewater,"SS, ES",Modern Blk Amer History,
UW Branch Campus,L,3.00,HIS EL,History Elective,AFRIAMR 141,UW-Whitewater,"SS, ES",Modern Blk Amer History,
UW Branch Campus,L,3.00,GEN EL,General Elective,AFRIAMR 260,UW-Whitewater,"SS, ES",The Black Family,
UW Branch Campus,L,3.00,GEN EL,General Elective,AFRIAMR 270,UW-Whitewater,"SS, ES",Afri Am Comunty Soc Persp,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,BIOLOGY 110,UW-Whitewater,NS,Bob:Biology of the Brain,
UW Branch Campus,L,4.00,BIO 101,Concepts of Biology,BIOLOGY 120,UW-Whitewater,"UCTA,LS,NS",Biological Foundations,22
UW Branch Campus,L,5.00,BIO 162,General Botany,BIOLOGY 141,UW-Whitewater,"NS,LS",Introductory Biology I,
UW Branch Campus,L,5.00,BIO 171,Animal Biology,BIOLOGY 142,UW-Whitewater,"NS,LS",Introductory Biology II,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,BIOLOGY 200,UW-Whitewater,,Writing in Biology,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,BIOLOGY 210,UW-Whitewater,NS,Elements of Bacteriology,
UW Branch Campus,L,3.00,BIO 191,Environmental Science,BIOLOGY 214,UW-Whitewater,"NS,LS",Ecology and Society,
UW Branch Campus,L,2.00,BIO EL,Biology Elective,BIOLOGY 221,UW-Whitewater,,School Health,
UW Branch Campus,L,4.00,BIO EL,Biology Elective,BIOLOGY 225,UW-Whitewater,,Sci  of Forensic Analysis,
UW Branch Campus,L,1.00,BIO EL,Biology Elective,BIOLOGY 230,UW-Whitewater,NS,Human Sexuality,
UW Branch Campus,L,1.00,GEN EL,General Elective,BIOLOGY 240,UW-Whitewater,NS,Human Inheritance,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,BIOLOGY 247,UW-Whitewater,NS,Bioethics,
UW Branch Campus,L,4.00,BIO 211,Genetics,BIOLOGY 251,UW-Whitewater,"NS,LS",Introduction to Genetics,
UW Branch Campus,L,3.00,BIO EL,Biology Elective,BIOLOGY 253,UW-Whitewater,NS,Intro to Cell Biology,
UW Branch Campus,L,2.00,BIO EL,Biology Elective,BIOLOGY 254,UW-Whitewater,,Biotechnology Laboratory I,
UW Branch Campus,L,3.00,BIO 201,Prin of Ecology,BIOLOGY 257,UW-Whitewater,"LS,NS",Introduction to Ecology,
UW Branch Campus,L,2.00,BIO EL,Biology Elective,BIOLOGY 258,UW-Whitewater,,Field Experience,
UW Branch Campus,L,5.00,AST 100,Surv of Astronomy,ASTRONMY 112,UW-Whitewater,"NS,LS",Introduction to Astronomy,
UW Branch Campus,L,3.00,AST 200,General Astronomy,ASTRONMY 114,UW-Whitewater,"NS,LS",Descriptive Astronomy,
UW Branch Campus,L,3.00,ART EL,Art Elective,ACINDP 105,UW-Whitewater,FA,World of the Arts,
UW Branch Campus,L,6.00,ART EL,Art Elective,ACINDP 105A,UW-Whitewater,FA,Arts 105 & Fresh Engl 102,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,ACINDP 150,UW-Whitewater,,Intro Multimedia Studies,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,ACINDP 151,UW-Whitewater,,Intro Multimed Aesthetics,
UW Branch Campus,L,1.00-2.00,ART EL,Art Elective,ACINDP 200,UW-Whitewater,,Arts Management Practicum,8
UW Branch Campus,L,3.00,GEN EL,General Elective,ACINDP 215,UW-Whitewater,"FA, IS",Fine Arts Western Culture,
UW Branch Campus,L,3.00,ART 111,Two-Dimensional Design,ARTSTDIO 102,UW-Whitewater,AP,2-Dimensional Design,
UW Branch Campus,L,3.00,ART 112,Three-Dimensional Design,ARTSTDIO 103,UW-Whitewater,AP,3-Dimensional Design,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTSTDIO 121,UW-Whitewater,FA,Basic Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTSTDIO 180,UW-Whitewater,,Intro Advertising Design,
UW Branch Campus,L,3.00,ART 101,Introduction to Drawing,ARTSTDIO 201,UW-Whitewater,AP,Drawing I,
UW Branch Campus,L,3.00,ART 102,Intermediate Drawing,ARTSTDIO 202,UW-Whitewater,AP,Drawing II,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTSTDIO 221,UW-Whitewater,AP,Intro Studio Non-Art Majr,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTSTDIO 222,UW-Whitewater,AP,Int. Water-Based Maedia,
UW Branch Campus,L,3.00,ART 154,Intro to Ceramics,ARTSTDIO 251,UW-Whitewater,AP,Ceramics I,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTSTDIO 271,UW-Whitewater,AP,Metal and Jewelry I,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTSTDIO 272,UW-Whitewater,AP,Metal and Jewelry II,
UW Branch Campus,L,2.00,ART 180,Artist & Visual Arts,ARTHIST 111,UW-Whitewater,FA,Art Appreciation,
UW Branch Campus,L,3.00,ART 181,Surv: Ancient & Medievl,ARTHIST 201,UW-Whitewater,FA,Srvy Art Ancient-1400ce,
UW Branch Campus,L,3.00,ART 183,Renaiss - Modern Art,ARTHIST 202,UW-Whitewater,FA,Art Survey 1400 to 1900,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BEINDP 200,UW-Whitewater,,Intro to Intl Business,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BEINDP 201,UW-Whitewater,,Intro to Entrepreneurship,
UW Branch Campus,L,1.00-3.00,BUS EL,Business Elective,BEINDP 210,UW-Whitewater,,Business Topics,8
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTHROPL 105,UW-Whitewater,SS,Individual and Society,
UW Branch Campus,L,3.00,ANT 100,Intro to General Anthro,ANTHROPL 110,UW-Whitewater,SS,Introductory Anthropology,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTHROPL 190,UW-Whitewater,SS,Childhd Different Culture,
UW Branch Campus,L,3.00,ANT 105,Intro to Biological Anthro,ANTHROPL 214,UW-Whitewater,"LS,NS",Physical Anthropology,
UW Branch Campus,L,3.00,ANT 104,Intro to Cultural Anthropology,ANTHROPL 218,UW-Whitewater,SS,Cultural Anthropology,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTHROPL 220,UW-Whitewater,SS,"Tombs, Temples, Treasure",
UW Branch Campus,L,3.00,ANT 343,"Religion, Magic and Witchcraft",ANTHROPL 228,UW-Whitewater,SS,Anthropology of Religion,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,ANTHROPL 230,UW-Whitewater,SS,Societies in Change,
UW Branch Campus,L,1.00,EDU EL,Education Elective,CIFLD 160,UW-Whitewater,,Intro Teaching Music,
UW Branch Campus,L,9.00,EDU EL,Education Elective,CIFLD 200E,UW-Whitewater,,Pre-Profess Block Elem,
UW Branch Campus,L,9.00,EDU EL,Education Elective,CIFLD 200F,UW-Whitewater,,Pre-Profess Block Sec,
UW Branch Campus,L,1.00-3.00,EDU EL,Education Elective,CIFLD 210,UW-Whitewater,,Observation/Participation,8
UW Branch Campus,L,1.00-3.00,EDU EL,Education Elective,CIFLD 210E,UW-Whitewater,,Obsrv Part-Elementary,8
UW Branch Campus,L,1.00-3.00,EDU EL,Education Elective,CIFLD 210F,UW-Whitewater,,Obsrv Part-Secondary Educ,8
UW Branch Campus,L,3.00,EDU EL,Education Elective,CIGENRL 214,UW-Whitewater,,Infrm Ed Consmr,
UW Branch Campus,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 100,UW-Whitewater,AP,Wiaa Pri First Aid,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 240,UW-Whitewater,AP,Introduction to Coaching,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 250,UW-Whitewater,,App Mechan Princpl Coach,
UW Branch Campus,L,1.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 251,UW-Whitewater,,Coach Women Athletics,
UW Branch Campus,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 252,UW-Whitewater,,Teach and Coach Sports Skills,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 255,UW-Whitewater,,Conditioning Intrsch Spts,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 256,UW-Whitewater,AP,Psycho Social Coaching,
UW Branch Campus,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 260,UW-Whitewater,,Hist Soc Aspects Athletcs,
UW Branch Campus,L,3.00,HES EL,"Health, Exercise Science & Athletics Elective",COACHING 265,UW-Whitewater,,Coach Comm Spon Sports,
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,COMM 110,UW-Whitewater,"UCTA,AP",Intro to Public Speaking,22
UW Branch Campus,L,3.00,CTA 201,Intro Mass Communic,COMM 131,UW-Whitewater,SS,Intro Mass Communication,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 162,UW-Whitewater,AP,Debate,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 202,UW-Whitewater,,Principles Public Relatns,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 203,UW-Whitewater,,Publ Relations Tactics 1,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 204,UW-Whitewater,,Publ Relations Tactics II,
UW Branch Campus,L,3.00,CTA 101,Interpersonal Comm,COMM 228,UW-Whitewater,AP,Interpersonal Communicatn,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,COMM 230,UW-Whitewater,,Radio Practicum,
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,COMM 231,UW-Whitewater,,Practicum in Television,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 232,UW-Whitewater,SS,Found Electronic Media,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 234,UW-Whitewater,,Electronic Media Announce,
UW Branch Campus,L,3.00,CTA 150,Introduction to Film,COMM 236,UW-Whitewater,FA,Introduction to Cinema,
UW Branch Campus,L,3.00,CTA 221,Intro Tv Broadcastng,COMM 238,UW-Whitewater,AP,Video Production I,
UW Branch Campus,L,3.00,CTA 220,Intro Radio Broadcst,COMM 239,UW-Whitewater,AP,Audio Production I,
UW Branch Campus,L,3.00,CTA 103,Intro Public Speaking,COMM 240,UW-Whitewater,AP,Public Speaking,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 241,UW-Whitewater,AP,Elec Media Copywriting,
UW Branch Campus,L,3.00,CTA 266,Group Discussion,COMM 242,UW-Whitewater,SS,Comm & Team Building,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 244,UW-Whitewater,,Communication/Interviewng,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 246,UW-Whitewater,AP,Elec Media Newswriting,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 247,UW-Whitewater,,Intro Parliamentary Proc,
UW Branch Campus,L,0.50-1.00,CTA 102,Forensics Lab,COMM 260,UW-Whitewater,AP,Intercollegiate Debate I,8
UW Branch Campus,L,0.50-1.00,CTA EL,Communication and Theatre Arts Elective,COMM 261,UW-Whitewater,AP,Intercollegiate Debate II,8
UW Branch Campus,L,1.00,CTA EL,Communication and Theatre Arts Elective,COMM 263,UW-Whitewater,AP,Practicum in Forensics,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 270,UW-Whitewater,,Communication and Web Dev,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 271,UW-Whitewater,,Multimedia Production Two,
UW Branch Campus,L,1.00-3.00,GEN EL,General Elective,COMM 291,UW-Whitewater,,Travel Study,8
UW Branch Campus,L,1.00,GEN EL,General Elective,COMM 293,UW-Whitewater,,Audio Practicum,
UW Branch Campus,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 345,UW-Whitewater,AP,Persuasion,
UW Branch Campus,L,2.00,CTA 230,Literature & Performance,COMM 356,UW-Whitewater,HU,Fund Oral Interpretation,
UW Branch Campus,L,3.00,GEN EL,General Elective,CHICANO 150,UW-Whitewater,"SS, ES",Introduction Chicano St,
UW Branch Campus,L,3.00,GEN EL,General Elective,CHICANO 200,UW-Whitewater,"HU, ES",Chican@ Literature to 1980,
UW Branch Campus,L,3.00,SPA 237,Latino Literature,CHICANO 201,UW-Whitewater,"ES,HU",Contemporary Chicano Lit,
UW Branch Campus,L,2.00,EDU EL,Education Elective,EARLYCHD 222,UW-Whitewater,,Early Child Msc Methods,
UW Branch Campus,L,0.00,GEN EL,General Elective,COMDIS 100,UW-Whitewater,,Speech Improvement,
UW Branch Campus,L,3.00,GEN EL,General Elective,COMDIS 210,UW-Whitewater,,O & P Communicative Dis,
UW Branch Campus,L,3.00,GEN EL,General Elective,COMDIS 270,UW-Whitewater,,Intro Hum Comm and Disrdrs,
UW Branch Campus,L,3.00,GEN EL,General Elective,COMDIS 272,UW-Whitewater,,Phonetics & Relat Process,
UW Branch Campus,L,3.00,GEN EL,General Elective,COMDIS 278,UW-Whitewater,,Anat Physio Hum Comm,
UW Branch Campus,L,1.00,CPS 110,Intro to Computer Sci (Basic),COMPSCI 151,UW-Whitewater,EL,Using Computers,
UW Branch Campus,L,3.00,CPS EL,Computer Sciences Elective,COMPSCI 161,UW-Whitewater,MS,Introduction to Computers,
UW Branch Campus,L,3.00,CPS EL,Computer Sciences Elective,COMPSCI 162,UW-Whitewater,MS,Computer Applications,
UW Branch Campus,L,3.00,CPS 216,Prb Slv/Prg Tech-C++,COMPSCI 171,UW-Whitewater,MS,Intro to Vb Programming,
UW Branch Campus,L,3.00,CPS EL,Computer Sciences Elective,COMPSCI 172,UW-Whitewater,,Introduction to Java,
UW Branch Campus,L,3.00,CPS EL,Computer Sciences Elective,COMPSCI 173,UW-Whitewater,,Fortran Programming,
UW Branch Campus,L,3.00,CPS EL,Computer Sciences Elective,COMPSCI 181,UW-Whitewater,MS,Database and Web,
UW Branch Campus,L,3.00,CPS 260,Prog in Assembly Lang,COMPSCI 271,UW-Whitewater,MS,Assembly Programming,
UW Branch Campus,L,3.00,CPS EL,Computer Sciences Elective,COMPSCI 360,UW-Whitewater,MS,Pascal Programming Math,
UW Branch Campus,L,3.00,CPS 243,Prblm Solvng(Pascal),COMPSCI 372,UW-Whitewater,MS,Intermediate Programming,
UW Branch Campus,P,3.00,NDC,No Degree Credit,DEVLPED 050,UW-Whitewater,,Study/Academic Surv Skill,5
UW Branch Campus,P,3.00,NDC,No Degree Credit,DEVLPED 060,UW-Whitewater,,College Literacy,5
UW Branch Campus,,1.00-3.00,NDC,No Degree Credit,DEVLPED 080,UW-Whitewater,,Student Success Workshop,"5, 8"
UW Branch Campus,L,4.00,CHE 124,Applied Chemistry and Society,CHEM 100,UW-Whitewater,"LS,NS",Everyday Chemistry (Gl),
UW Branch Campus,L,5.00,CHE 145,General Chemistry I,CHEM 102,UW-Whitewater,"UCTA,LS,NS",General Chemistry I,22
UW Branch Campus,L,5.00,CHE 155,General Chemistry II,CHEM 104,UW-Whitewater,"LS,NS",General Chemistry II,
UW Branch Campus,L,5.00,CHE EL,Chemistry Elective,CHEM 109,UW-Whitewater,"NS, LS",Elements of Chemistry,
UW Branch Campus,L,5.00,CHE EL,Chemistry Elective,CHEM 110,UW-Whitewater,"NS, LS",Elements of Chemistry,
UW Branch Campus,L,3.00,CHE EL,Chemistry Elective,CHEM 150,UW-Whitewater,NS,Science Technol Society,
UW Branch Campus,L,3.00,CHE 343,Organic Chemistry I,CHEM 251,UW-Whitewater,"LS,NS",Organic Chemistry,
UW Branch Campus,L,3.00,CHE 363,Organic Chemistry II,CHEM 252,UW-Whitewater,NS,Organic Chemistry,
UW Branch Campus,L,2.00,CHE 352,Organic Chemistry Lab,CHEM 261,UW-Whitewater,"LS,NS",Organic Chemistry Lab,
UW Branch Campus,L,2.00,CHE EL,Chemistry Elective,CHEM 262,UW-Whitewater,"NS, LS",Organic Chemistry Lab,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 110,UW-Whitewater,FA,Dance Appreciation,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 141,UW-Whitewater,FA,Cont Dance Technique I,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 142,UW-Whitewater,AP,Intro Tcnqs/Improv/Cmpstn,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 143,UW-Whitewater,AP,Improvisation,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 144,UW-Whitewater,FA,Jazz Dance,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 145,UW-Whitewater,FA,Ballet I,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",DANCE 155,UW-Whitewater,AP,Tap Dance I,
UW Branch Campus,L,1.00,GEN EL,General Elective,DANCE 200,UW-Whitewater,AP,Pract-Dance Performance,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 243,UW-Whitewater,FA,Improvisation/Sound,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 244,UW-Whitewater,AP,Contemp Dance Tech II,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 245,UW-Whitewater,AP,Contmp Dance Tech III,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 246,UW-Whitewater,AP,Ballet II,
UW Branch Campus,L,2.00,GEN EL,General Elective,DANCE 248,UW-Whitewater,AP,Dance Composition I,
UW Branch Campus,L,3.00,GEN EL,General Elective,DANCE 249,UW-Whitewater,AP,Dance Composition II,
UW Branch Campus,L,2.00,HES EL,"Health, Exercise Science & Athletics Elective",DANCE 255,UW-Whitewater,AP,Tap Dance II,
UW Branch Campus,L,2.00,EDU EL,Education Elective,ELEMMID 215,UW-Whitewater,,Methds Tch Art Elm/Mdl Sc,
UW Branch Campus,L,2.00,EDU EL,Education Elective,ELEMMID 223,UW-Whitewater,,Elem School Music Methods,
UW Branch Campus,L,2.00,EDU EL,Education Elective,ELEMMID 234,UW-Whitewater,,Elem Genrl Music Methods,
UW Branch Campus,L,2.00,EDU EL,Education Elective,ELEMMID 236,UW-Whitewater,,Elm/Mdl Sch Instr Methods,
UW Branch Campus,L,4.00,FRE 101,1st Sem French,FRENCH 141,UW-Whitewater,HU,Beginning French,
UW Branch Campus,L,4.00,FRE 102,2nd Sem French,FRENCH 142,UW-Whitewater,HU,Beginning French,
UW Branch Campus,L,4.00,FRE 201,3rd Sem French,FRENCH 251,UW-Whitewater,HU,Intermediate French,
UW Branch Campus,L,4.00,FRE 202,4th Sem French,FRENCH 252,UW-Whitewater,HU,Intermediate French,
UW Branch Campus,L,3.00,FRE EL,French Elective,FRENCH 260,UW-Whitewater,,French Phonetics,
UW Branch Campus,L,2.00,EDU EL,Education Elective,EDUINDP 211,UW-Whitewater,,Intro to Early Childhd Educ,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDUINDP 212,UW-Whitewater,,Child/Families Div Society,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDUINDP 213,UW-Whitewater,,Develop Young Child,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDUINDP 214,UW-Whitewater,,Observ and Reflect in Hd Strt,
UW Branch Campus,L,3.00,EDU EL,Education Elective,EDUINDP 215,UW-Whitewater,,Art in the Early Years,
UW Branch Campus,L,1.00,EDU EL,Education Elective,EDUINDP 216,UW-Whitewater,,Seminar: Phase 2 Portfolio,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,ECON 105,UW-Whitewater,SS,Global Perspectives,
UW Branch Campus,L,3.00,ECO 101,Intro to Economics,ECON 200,UW-Whitewater,"UCTA,SS",The Economic World,22
UW Branch Campus,L,3.00,ECO 204,Economics - Micro,ECON 201,UW-Whitewater,SS,Principles of Microeconomics,
UW Branch Campus,L,3.00,ECO 203,Economics - Macro,ECON 202,UW-Whitewater,SS,Principles of Macroeconomics,
UW Branch Campus,L,3.00,ECO 203,Economics - Macro,ECON 211,UW-Whitewater,SS,Econ Prin/Pblms/Policies,
UW Branch Campus,L,3.00,ECO 204,Economics - Micro,ECON 212,UW-Whitewater,SS,Econ Prin/Pblms/Policies,
UW Branch Campus,L,3.00,ECO EL,Economics Elective,ECON 213,UW-Whitewater,SS,Econ Prin For Teachers,
UW Branch Campus,L,3.00,ECO 243,Eco & Bus Statistics,ECON 245,UW-Whitewater,MS,Business Statistics,
UW Branch Campus,L,1.00,ECO 243,Eco & Bus Statistics,ECON 245A,UW-Whitewater,MS,Bus Stats I-Cmptr Appltns,
UW Branch Campus,L,4.00,ECO EL,Economics Elective,ECON 245C,UW-Whitewater,,Statistics W/Computr Appl,
UW Branch Campus,L,4.00,GEN EL,General Elective,FORNLANG 101,UW-Whitewater,,Beginning Japanese I,
UW Branch Campus,L,4.00,GEN EL,General Elective,FORNLANG 102,UW-Whitewater,,Beginning Japanese II,
UW Branch Campus,L,4.00,GEN EL,General Elective,FORNLANG 103,UW-Whitewater,,Beginning Japanese III,
UW Branch Campus,L,4.00,GEN EL,General Elective,FORNLANG 112,UW-Whitewater,,Beginning Arabic II,
UW Branch Campus,L,4.00,CHI 101,1st Semester Chinese,FORNLANG 141,UW-Whitewater,HU,Beginning Asl I,
UW Branch Campus,L,4.00,CHI 105,2nd Semester Chinese,FORNLANG 142,UW-Whitewater,AP,Beginning Chinese,
UW Branch Campus,L,4.00,GEN EL,General Elective,FORNLANG 201,UW-Whitewater,,Intermediate Japanese I,
UW Branch Campus,L,3.00,GEN EL,General Elective,FORNLANG 202,UW-Whitewater,,Intermediate Japanese II,
