to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
4670,L,1.00,BIOL EL,Biology Elective,AGRIBUS (006) 110,4581,"GE-II, LE-K1",Genetics,
4670,L,3.00,GEOG EL,Geography Elective,AGRIBUS (006) 116,4581,,Introductory Soils,
4670,L,2.00,FIN EL,Finance Elective,AGRIBUS (006) 130,4581,,Agribusiness Financial Mgmt.,
4670,L,2.00,BSAD EL,Business Administration Elective,AGRIBUS (006) 138,4581,,Agriculture Marketing,
4670,L,2.00,MKTG EL,Marketing Elective,AGRIBUS (006) 140,4581,,Agriculture Sales,
4670,L,3.00,GEOG EL,Geography Elective,AGRIBUS (006) 155,4581,,Land Use Plng & Resource Mgmt,
4670,L,3.00,BIOL EL,Biology Elective,AGRIBUS (006) 160,4581,,Plant Science,
4670,L,2.00,BIOL EL,Biology Elective,AGRIBUS (006) 161,4581,"GE-II, LS, LE-K1, LE-K1L",Weed Identification,
4670,L,2.00,GEOG EL,Geography Elective,AGRIBUS (006) 162,4581,"GE-II, LE-K1",Soil Fertility and Fertilizers,
4670,L,2.00,GEN EL,General Elective,AGRIBUS (006) 164,4581,,Plant Pathology and Entomology,
4670,L,3.00,Nat. Sci. EL,Natural Science Elective,AGRIBUS (006) 180,4581,"GE-II, LE-K1",Animal Science,
4670,L,3.00,GEN EL,General Elective,AGRIBUS (006) 182,4581,,Animal Reproduction,
4670,L,2.00,C S 100,Computr Info Tech,COMPSOFT (103) 102,4581,GE-IB,Microsoft Office Suite,7256
4670,L,2.00,IS 240,Info Systems Bus,COMPSOFT (103) 102,4581,,Microsoft Office Suite,
4670,L,2.00,IS EL,Information Systems Elective,COMPSOFT (103) 151,4581,,"Operating Systems, Intro to",
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 100,4581,,Marketing Technologies,
4670,,3.00,NDC,No Degree Credit,MKTG (104) 102,4581,,Marketing Principles,5
4670,L,3.00,BSAD 125,Essn Marketing,MKTG (104) 102,4581,,Marketing Principles,
4670,,3.00,NDC,No Degree Credit,MKTG (104) 104,4581,,Sales Presentations,5
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 104,4581,,Sales Presentations,
4670,,3.00,NDC,No Degree Credit,MKTG (104) 105,4581,,Marketing Research,5
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 105,4581,,Marketing Research,
4670,L,3.00,MGMT EL,Management Elective,MKTG (104) 108,4581,,Retail Management,
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 109,4581,,Social Media Mktg Strategy,
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 111,4581,,Consumer Behavior,
4670,,3.00,NDC,No Degree Credit,MKTG (104) 115,4581,,Marketing Decision Making,5
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 125,4581,,Advertising,
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 126,4581,,Promotional Design,
4670,,3.00,NDC,No Degree Credit,MKTG (104) 140,4581,,"Sales, Advanced",5
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 140,4581,,"Sales, Advanced",
4670,L,2.00,MKTG EL,Marketing Elective,MKTG (104) 152,4581,,Social Media Marketing,
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 160,4581,,Entertainment/Sports/Event Mkt,
4670,L,3.00,BSAD EL,Business Administration Elective,MKTG (104) 162,4581,,Mobile Marketing,
4670,L,3.00,BSAD EL,Business Administration Elective,MKTG (104) 163,4581,,Social Media Policies & Ethics,
4670,L,4.00,BSAD EL,Business Administration Elective,MKTG (104) 164,4581,,Digital Video and Audio,
4670,,4.00,NDC,No Degree Credit,MKTG (104) 166,4581,,Enterprise Marketing & Mgmt,5
4670,L,4.00,BSAD EL,Business Administration Elective,MKTG (104) 166,4581,,Enterprise Marketing & Mgmt,
4670,L,1.00,BSAD EL,Business Administration Elective,MKTG (104) 169,4581,,Marketing Internship,
4670,,2.00,NDC,No Degree Credit,MKTG (104) 182,4581,,Personal Branding,5
4670,L,2.00,MKTG EL,Marketing Elective,MKTG (104) 182,4581,,Personal Branding,
4670,,3.00,NDC,No Degree Credit,MKTG (104) 183,4581,,Marketing Strategy,5
4670,L,3.00,MKTG EL,Marketing Elective,MKTG (104) 183,4581,,Marketing Strategy,
4670,L,3.00,BSAD EL,Business Administration Elective,MKTG (104) 191,4581,,Service Excellence,
4670,L,3.00,BSAD 140,Essn Inform Sys,BUSADM (102) 109,4581,,Business Analytics,
4670,L,3.00,GEN EL,General Elective,BUSADM (102) 111,4581,,"Human Resources, Intro to",
4670,L,3.00,GEN EL,General Elective,BUSADM (102) 112,4581,,Principles of Management,
4670,L,3.00,PHIL EL,Philosophy Elective,BUSADM (102) 113,4581,,Business Ethics,
4670,L,3.00,BSAD EL,Business Administration Elective,BUSADM (102) 114,4581,,Managing Operations,
4670,L,3.00,BSAD EL,Business Administration Elective,BUSADM (102) 118,4581,,Business Management Capstone,
4670,L,3.00,BSAD EL,Business Administration Elective,BUSADM (102) 130,4581,,Innovative Business Mindset,
4670,L,3.00,BSAD 101,Bus For Tech Prof,BUSADM (102) 131,4581,,Introduction to Business,
4670,L,3.00,MGMT EL,Management Elective,BUSADM (102) 133,4581,,Leadership For Bus Excellence,
4670,L,3.00,BSAD EL,Business Administration Elective,BUSADM (102) 150,4581,,Global Business,
4670,U,3.00,BSAD 305,Legal Environment,BUSADM (102) 160,4581,,Business Law,
4670,L,3.00,BSAD 145,Essn Business Law,BUSADM (102) 160,4581,,Business Law,
4670,L,3.00,BSAD EL,Business Administration Elective,BUSADM (102) 188,4581,,Project Management,
4670,L,3.00,Nat. Sci. EL,Natural Science Elective,HORT (001) 100,4581,"GE-II, LE-K1","Horticulture, Introduction to",
4670,L,1.00,GEN EL,General Elective,ACCTG (101) 100,4581,,Orientation to Accounting,
4670,L,2.00,ACCT EL,Accounting Elective,ACCTG (101) 104,4581,,Database For Accounting,
4670,,2.00,NDC,No Degree Credit,ACCTG (101) 106,4581,,Accounting Spreadsheets,5
4670,L,4.00,ACCT 201,Intro to Acctg,ACCTG (101) 111,4581,,Accounting I,
4670,L,4.00,ACCT 202,Prin of Acct,ACCTG (101) 113,4581,,Accounting II,
4670,,4.00,NDC,No Degree Credit,ACCTG (101) 116,4581,,Intermediate Accounting,5
4670,,4.00,NDC,No Degree Credit,ACCTG (101) 117,4581,,Intermediate Accounting II,5
4670,,3.00,NDC,No Degree Credit,ACCTG (101) 118,4581,,Managerial Accounting,5
4670,U,3.00,ACCT 312,Managerial Acctg,ACCTG (101) 118,4581,,Managerial Accounting,
4670,L,3.00,ACCT EL,Accounting Elective,ACCTG (101) 121,4581,,Payroll Accounting,
4670,,4.00,NDC,No Degree Credit,ACCTG (101) 123,4581,,Income Tax I,5
4670,,3.00,NDC,No Degree Credit,ACCTG (101) 125,4581,,Cost Accounting,5
4670,L,2.00,ACCT EL,Accounting Elective,ACCTG (101) 126,4581,,Income Tax Preparation,
4670,L,2.00,GEN EL,General Elective,ACCTG (101) 127,4581,,Auditing,
4670,,3.00,NDC,No Degree Credit,ACCTG (101) 131,4581,,Acctg Systems,5
4670,L,2.00,ACCT EL,Accounting Elective,ACCTG (101) 133,4581,,Acct Govt & Nonprofit Entities,
4670,L,2.00,Nat. Sci. EL,Natural Science Elective,BIOTECH (007) 111,4581,"GE-II, LS, LE-K1, LE-K1L",Applied Biotechnology,
4670,L,2.00,GEN EL,General Elective,ACCTG (101) 134,4581,,Personal Financial Planning,
4670,L,3.00,ACCT EL,Accounting Elective,ACCTG (101) 150,4581,,Accounting Software Apps,
4670,,2.00,NDC,No Degree Credit,ACCTG (101) 160,4581,,Accounting Internship,5
4670,,3.00,GEN CONF,General Confer,ACCTG (101) 163,4581,,Accounting Capstone,"2, 11"
4670,L,3.00,FIN EL,Finance Elective,ACCTG (101) 172,4581,,Business Finance,
4670,L,3.00,ACCT EL,Accounting Elective,ACCTG (101) 184,4581,,Business Finance & Budgeting,
4670,L,1.00,C S 100,Computr Info Tech,OFFTECH (106) 118,4581,GE-IB,Computer Basics 1,
4670,L,3.00,C S 100,Computr Info Tech,OFFTECH (106) 141,4581,GE-IB,Computer Applications-Legal,
4670,U,3.00,C S 319,Intro Web Prog,IT (107) 108,4581,,Web Programming II,
4670,,2.00,NDC,No Degree Credit,IT (107) 119,4581,,Documentation Support & Trng,5
4670,L,3.00,C S 100,Computr Info Tech,IT (107) 123,4581,,Computer & Oper Sys Concepts,
4670,L,3.00,C S EL,Computer Science Elective,IT (107) 125,4581,,Information Architecture,7256
4670,L,3.00,C S EL,Computer Science Elective,IT (107) 128,4581,,Perl Programming,6756
4670,U,3.00,IS 304,Fund Bus Program,IT (107) 135,4581,,Visual Basic.Net Programming I,
4670,L,3.00,C S 163,Intro to Prog C++,IT (107) 139,4581,GE-IB,C# Programming,
4670,U,3.00,C S 388,Unix Systems Prog,IT (107) 175,4581,,Unix System Administration,
4670,L,3.00,PHIL EL,Philosophy Elective,PARLEG (110) 101,4581,,"Paralegal & Legal Ethic, Intro",
4670,L,3.00,GEN EL,General Elective,PARLEG (110) 102,4581,,Civil Litigation I,
4670,L,3.00,GEN EL,General Elective,PARLEG (110) 103,4581,,Civil Litigation II,
4670,L,3.00,GEN EL,General Elective,PARLEG (110) 104,4581,,Legal Research,
4670,L,3.00,GEN EL,General Elective,PARLEG (110) 105,4581,,Legal Writing,
4670,L,3.00,GEN EL,General Elective,PARLEG (110) 106,4581,,Family Law,
4670,L,3.00,BSAD EL,Business Administration Elective,PARLEG (110) 107,4581,,Legal Aspects of Bus Organiz,
4670,L,3.00,FIN EL,Finance Elective,PARLEG (110) 114,4581,,Administration of Estates,
4670,L,3.00,BSAD EL,Business Administration Elective,PARLEG (110) 115,4581,,Administrative Law,
4670,L,3.00,GEN EL,General Elective,PARLEG (110) 142,4581,,Paralegal Internship,
4670,L,3.00,BSAD EL,Business Administration Elective,PARLEG (110) 160,4581,,Employment Law,
4670,L,3.00,BSAD EL,Business Administration Elective,PARLEG (110) 168,4581,,Criminal Law-Paralegal,
4670,L,3.00,GEN EL,General Elective,PARLEG (110) 170,4581,,Contract Law,
4670,L,3.00,BSAD EL,Business Administration Elective,HRMGT (116) 110,4581,,Employee Benefits,
4670,L,3.00,BSAD EL,Business Administration Elective,HRMGT (116) 111,4581,,Performance Mgt & Total Reward,
4670,L,3.00,BSAD EL,Business Administration Elective,HRMGT (116) 112,4581,,Training & Development,
4670,L,3.00,BSAD EL,Business Administration Elective,HRMGT (116) 113,4581,,Human Resource Law,
4670,L,3.00,BSAD EL,Business Administration Elective,HRMGT (116) 114,4581,,Recruitment & Selection,
4670,L,2.00,BSAD EL,Business Administration Elective,HRMGT (116) 115,4581,,Human Resources Capstone,
4670,L,2.00,BSAD EL,Business Administration Elective,HRMGT (116) 127,4581,,Employee Relations,
4670,L,1.00,BSAD EL,Business Administration Elective,HRMGT (116) 128,4581,,Human Resources Internship,
4670,L,3.00,BSAD EL,Business Administration Elective,HRMGT (116) 138,4581,,"Safety, Security and Risk",
4670,L,3.00,BSAD EL,Business Administration Elective,HRMGT (116) 190,4581,,Leadership Development,
