to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 100,4584,,Writing / Fundamentals of,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 104,4584,,Technical Communication Skills,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 106,4584,,Tech Writing:Layout & Design,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 107,4584,,Technical Writing:Audiovisual,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 108,4584,,Technical Writing/Sales Promo,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 111,4584,,Tech Writing/Elect Pub/Windows,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 113,4584,,Tech Writing:Online Document,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 114,4584,,Tech Wrtg:Sfty Info/Prod Lib,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 115,4584,,Technical Writing:  Introducti,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 117,4584,,Tech Writing/Tech Application,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 118,4584,,Technical Writing:Electronic P,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 119,4584,,Technical Writing:Gov't Spec W,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 120,4584,,Tech Writing:Grant & Prop Wrt,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 121,4584,,Tech Writing:Print Proc,5
9999,,3.00,NDC,No Degree Credit,COMMSK (801) 122,4584,,Tech Writing Manual Prod,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 123,4584,,Tech Writing:Procedural Writ,5
9999,,2.00,NDC,No Degree Credit,COMMSK (801) 124,4584,,Tech Writing:Edit/Proofread,5
9999,,1.00,NDC,No Degree Credit,COMMSK (801) 125,4584,,Tech Writing/Vend Mgmt/Ethics,5
