	to	level	credits	course_2	title_2	course_1	from_	gen_ed	title_1,special
0	9999		3.0	NDC	No Degree Credit	MATH (804) 106	Madison Area Tech. College		
1	9999	L	3.0	MAT EL	Mathematics Elective	MATH (804) 107	Madison Area Tech. College		
2	9999		3.0	NDC	No Degree Credit	MATH (804) 110	Madison Area Tech. College		
3	9999	P	3.0	MAT 091	Elementary Algebra	MATH (804) 113	Madison Area Tech. College		
4	9999		2.0	NDC	No Degree Credit	MATH (804) 114	Madison Area Tech. College		
5	9999	P	5.0	MAT 091	Elementary Algebra	MATH (804) 115	Madison Area Tech. College		
6	9999	L	3.0	MAT EL	Mathematics Elective	MATH (804) 116	Madison Area Tech. College	MS	
7	9999	L	4.0	MAT 105	Intro College Algebra	MATH (804) 118	Madison Area Tech. College	EL	
8	9999		3.0	NDC	No Degree Credit	MATH (804) 133	Madison Area Tech. College		
9	9999	L	3.0	MAT 110	College Algebra	MATH (804) 152	Madison Area Tech. College	MS,CR	
10	9999	L	3.0	MAT 117	Elementary Statistics	MATH (804) 189	Madison Area Tech. College	UCTA,MS	
11	9999	L	3.0	MAT 110	College Algebra	MATH (804) 195	Madison Area Tech. College	MS,CR	
12	9999	L	3.0	MAT 113	Trigonometry	MATH (804) 196	Madison Area Tech. College	MS	
13	9999	L	5.0	MAT 124	Pre-Calculus Mathematics	MATH (804) 197	Madison Area Tech. College	UCTA,MS	
14	9999	L	4.0	MAT 221	Calc & Analy Geom I	MATH (804) 198	Madison Area Tech. College	MS	
15	9999	P	3.0	NDC	No Degree Credit	MATH (804) 200	Madison Area Tech. College		
16	9999	L	4.0	MAT 105	Intro College Algebra	MATH (804) 201	Madison Area Tech. College	EL	
17	9999	L	2.0	MAT EL	Mathematics Elective	MATH (804) 202	Madison Area Tech. College		
18	9999	L	2.0	MAT 105	Intro College Algebra	MATH (804) 203	Madison Area Tech. College	EL	
19	9999	L	4.0	CPS EL	Computer Sciences Elective	MATH (804) 206	Madison Area Tech. College		
20	9999	L	2.0	CPS EL	Computer Sciences Elective	MATH (804) 207	Madison Area Tech. College		
21	9999	L	4.0	CPS EL	Computer Sciences Elective	MATH (804) 208	Madison Area Tech. College	EL	
22	9999	L	3.0	MAT 108	Quantitative Reasoning	MATH (804) 211	Madison Area Tech. College	CR,MS	
23	9999	L	3.0	MAT 110	College Algebra	MATH (804) 212	Madison Area Tech. College	MS,CR	
24	9999	L	3.0	MAT 113	Trigonometry	MATH (804) 213	Madison Area Tech. College	MS	
25	9999	L	3.0	MAT 210	Topics in Finite Math	MATH (804) 220	Madison Area Tech. College	MS	
26	9999	L	5.0	MAT 124	Pre-Calculus Mathematics	MATH (804) 229	Madison Area Tech. College	UCTA,MS	
27	9999	L	5.0	MAT 221	Calc & Analy Geom I	MATH (804) 231	Madison Area Tech. College	MS	
28	9999	L	5.0	MAT 222	Calculus & Analytic Geom II	MATH (804) 232	Madison Area Tech. College	MS	
29	9999	L	5.0	MAT 223	Calculus  & Analytic Geom III	MATH (804) 233	Madison Area Tech. College	MS	
30	9999	L	4.0	MAT 117	Elementary Statistics	MATH (804) 240	Madison Area Tech. College	UCTA,MS	
31	9999	L	1.0	MAT EL	Mathematics Elective	MATH (804) 245	Madison Area Tech. College	MS	
32	9999	L	1.0	MAT EL	Mathematics Elective	MATH (804) 246	Madison Area Tech. College	MS	
33	9999	L	1.0	MAT EL	Mathematics Elective	MATH (804) 247	Madison Area Tech. College	MS	
34	9999	L	1.0	MAT EL	Mathematics Elective	MATH (804) 248	Madison Area Tech. College	MS	
35	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 205	Madison Area Tech. College	AP	
36	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 207	Madison Area Tech. College	AP	
37	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 209	Madison Area Tech. College	AP	
38	9999	L	1.0	HES 019	Lifetme Activ: Weight Training	PHYED (807) 210	Madison Area Tech. College	AP	
39	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 211	Madison Area Tech. College	AP	
40	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 212	Madison Area Tech. College	AP	
41	9999	L	1.0	HES 005	Team Sports: Basketball	PHYED (807) 221	Madison Area Tech. College	AP	
42	9999	L	1.0	HES 018	Team Sports: Volleyball	PHYED (807) 223	Madison Area Tech. College	AP	
43	9999	L	1.0	HES 022	Intermed Volleyball	PHYED (807) 224	Madison Area Tech. College	AP	
44	9999	L	1.0	HES 014	Team Sports: Softball	PHYED (807) 225	Madison Area Tech. College	AP	
45	9999	L	4.0	HES 058	Life Guard Training	PHYED (807) 228	Madison Area Tech. College	AP	
46	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 229	Madison Area Tech. College	AP	
47	9999	L	1.0	HES 055	Beginning Swimming	PHYED (807) 230	Madison Area Tech. College	AP	
48	9999	L	1.0	HES 056	Int Swimming	PHYED (807) 231	Madison Area Tech. College	AP	
49	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 232	Madison Area Tech. College	AP	
50	9999	L	2.0	HES 058	Life Guard Training	PHYED (807) 233	Madison Area Tech. College	AP	
51	9999	L	1.0	HES 061	Scuba Diving	PHYED (807) 234	Madison Area Tech. College	AP	
52	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 235	Madison Area Tech. College	AP	
53	9999	L	1.0	HES 016	Lifetime Activity: Tennis	PHYED (807) 236	Madison Area Tech. College	AP	
54	9999	L	1.0	HES 017	Intermediate Tennis	PHYED (807) 237	Madison Area Tech. College	AP	
55	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 238	Madison Area Tech. College	AP	
56	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 239	Madison Area Tech. College	AP	
57	9999	L	1.0	HES 009	Lifetime Activity: Golf	PHYED (807) 240	Madison Area Tech. College	AP	
58	9999	L	1.0	HES 010	Intermediate Golf	PHYED (807) 241	Madison Area Tech. College	AP	
59	9999	L	1.0	HES 006	Lifetime Activity: Bowling	PHYED (807) 242	Madison Area Tech. College	AP	
60	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 243	Madison Area Tech. College	AP	
61	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 244	Madison Area Tech. College	AP	
62	9999	L	1.0	PED EL	Physical Education Elective	PHYED (807) 245	Madison Area Tech. College	AP	
63	9999	L	1.0	HES 029	Training and Plyometrics,Begin	PHYED (807) 246	Madison Area Tech. College	AP	
64	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 247	Madison Area Tech. College	AP	
65	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 248	Madison Area Tech. College	AP	
66	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 249	Madison Area Tech. College	AP	
67	9999	L	1.0	HES 002	Badminton	PHYED (807) 250	Madison Area Tech. College	AP	
68	9999	L	2.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 251	Madison Area Tech. College	AP	
69	9999	L	1.0	HES 001	Archery	PHYED (807) 253	Madison Area Tech. College	AP	
70	9999	L	1.0	HES 046	Lifetime Activity: Yoga	PHYED (807) 254	Madison Area Tech. College	AP	
71	9999	L	2.0	HES 205	Athletic Injuries	PHYED (807) 255	Madison Area Tech. College	AP	
72	9999	L	2.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 256	Madison Area Tech. College		
73	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 257	Madison Area Tech. College	AP	
74	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 259	Madison Area Tech. College	AP	
75	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 265	Madison Area Tech. College	AP	
76	9999	L	2.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 266	Madison Area Tech. College	AP	
77	9999	L	1.0	HES EL	Health, Exercise Science & Athletics Elective	PHYED (807) 270	Madison Area Tech. College	AP	
