,to,level,credits,course_2,title_2,course_1,from_,gen_ed,"title_1,special"
0,9999,,3.0,NDC,No Degree Credit,MATH (804) 106,9999,,
1,9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 107,9999,,
2,9999,,3.0,NDC,No Degree Credit,MATH (804) 110,9999,,
3,9999,P,3.0,MAT 091,Elementary Algebra,MATH (804) 113,9999,,
4,9999,,2.0,NDC,No Degree Credit,MATH (804) 114,9999,,
5,9999,P,5.0,MAT 091,Elementary Algebra,MATH (804) 115,9999,,
6,9999,L,3.0,MAT EL,Mathematics Elective,MATH (804) 116,9999,MS,
7,9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 118,9999,EL,
8,9999,,3.0,NDC,No Degree Credit,MATH (804) 133,9999,,
9,9999,L,3.0,MAT 110,College Algebra,MATH (804) 152,9999,"MS,CR",
10,9999,L,3.0,MAT 117,Elementary Statistics,MATH (804) 189,9999,"UCTA,MS",
11,9999,L,3.0,MAT 110,College Algebra,MATH (804) 195,9999,"MS,CR",
12,9999,L,3.0,MAT 113,Trigonometry,MATH (804) 196,9999,MS,
13,9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 197,9999,"UCTA,MS",
14,9999,L,4.0,MAT 221,Calc & Analy Geom I,MATH (804) 198,9999,MS,
15,9999,P,3.0,NDC,No Degree Credit,MATH (804) 200,9999,,
16,9999,L,4.0,MAT 105,Intro College Algebra,MATH (804) 201,9999,EL,
17,9999,L,2.0,MAT EL,Mathematics Elective,MATH (804) 202,9999,,
18,9999,L,2.0,MAT 105,Intro College Algebra,MATH (804) 203,9999,EL,
19,9999,L,4.0,CPS EL,Computer Sciences Elective,MATH (804) 206,9999,,
20,9999,L,2.0,CPS EL,Computer Sciences Elective,MATH (804) 207,9999,,
21,9999,L,4.0,CPS EL,Computer Sciences Elective,MATH (804) 208,9999,EL,
22,9999,L,3.0,MAT 108,Quantitative Reasoning,MATH (804) 211,9999,"CR,MS",
23,9999,L,3.0,MAT 110,College Algebra,MATH (804) 212,9999,"MS,CR",
24,9999,L,3.0,MAT 113,Trigonometry,MATH (804) 213,9999,MS,
25,9999,L,3.0,MAT 210,Topics in Finite Math,MATH (804) 220,9999,MS,
26,9999,L,5.0,MAT 124,Pre-Calculus Mathematics,MATH (804) 229,9999,"UCTA,MS",
27,9999,L,5.0,MAT 221,Calc & Analy Geom I,MATH (804) 231,9999,MS,
28,9999,L,5.0,MAT 222,Calculus & Analytic Geom II,MATH (804) 232,9999,MS,
29,9999,L,5.0,MAT 223,Calculus  & Analytic Geom III,MATH (804) 233,9999,MS,
30,9999,L,4.0,MAT 117,Elementary Statistics,MATH (804) 240,9999,"UCTA,MS",
31,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 245,9999,MS,
32,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 246,9999,MS,
33,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 247,9999,MS,
34,9999,L,1.0,MAT EL,Mathematics Elective,MATH (804) 248,9999,MS,
35,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 205,9999,AP,
36,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 207,9999,AP,
37,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 209,9999,AP,
38,9999,L,1.0,HES 019,Lifetme Activ: Weight Training,PHYED (807) 210,9999,AP,
39,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 211,9999,AP,
40,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 212,9999,AP,
41,9999,L,1.0,HES 005,Team Sports: Basketball,PHYED (807) 221,9999,AP,
42,9999,L,1.0,HES 018,Team Sports: Volleyball,PHYED (807) 223,9999,AP,
43,9999,L,1.0,HES 022,Intermed Volleyball,PHYED (807) 224,9999,AP,
44,9999,L,1.0,HES 014,Team Sports: Softball,PHYED (807) 225,9999,AP,
45,9999,L,4.0,HES 058,Life Guard Training,PHYED (807) 228,9999,AP,
46,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 229,9999,AP,
47,9999,L,1.0,HES 055,Beginning Swimming,PHYED (807) 230,9999,AP,
48,9999,L,1.0,HES 056,Int Swimming,PHYED (807) 231,9999,AP,
49,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 232,9999,AP,
50,9999,L,2.0,HES 058,Life Guard Training,PHYED (807) 233,9999,AP,
51,9999,L,1.0,HES 061,Scuba Diving,PHYED (807) 234,9999,AP,
52,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 235,9999,AP,
53,9999,L,1.0,HES 016,Lifetime Activity: Tennis,PHYED (807) 236,9999,AP,
54,9999,L,1.0,HES 017,Intermediate Tennis,PHYED (807) 237,9999,AP,
55,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 238,9999,AP,
56,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 239,9999,AP,
57,9999,L,1.0,HES 009,Lifetime Activity: Golf,PHYED (807) 240,9999,AP,
58,9999,L,1.0,HES 010,Intermediate Golf,PHYED (807) 241,9999,AP,
59,9999,L,1.0,HES 006,Lifetime Activity: Bowling,PHYED (807) 242,9999,AP,
60,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 243,9999,AP,
61,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 244,9999,AP,
62,9999,L,1.0,PED EL,Physical Education Elective,PHYED (807) 245,9999,AP,
63,9999,L,1.0,HES 029,"Training and Plyometrics,Begin",PHYED (807) 246,9999,AP,
64,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 247,9999,AP,
65,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 248,9999,AP,
66,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 249,9999,AP,
67,9999,L,1.0,HES 002,Badminton,PHYED (807) 250,9999,AP,
68,9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 251,9999,AP,
69,9999,L,1.0,HES 001,Archery,PHYED (807) 253,9999,AP,
70,9999,L,1.0,HES 046,Lifetime Activity: Yoga,PHYED (807) 254,9999,AP,
71,9999,L,2.0,HES 205,Athletic Injuries,PHYED (807) 255,9999,AP,
72,9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 256,9999,,
73,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 257,9999,AP,
74,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 259,9999,AP,
75,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 265,9999,AP,
76,9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 266,9999,AP,
77,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 270,9999,AP,
78,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 271,9999,AP,
79,9999,L,2.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 278,9999,AP,
80,9999,L,1.0,HES 043,Cross Country Skiing,PHYED (807) 279,9999,AP,
81,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 282,9999,AP,
82,9999,L,1.0,HES 024,Aerobic Dance,PHYED (807) 283,9999,AP,
83,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 285,9999,AP,
84,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 286,9999,AP,
85,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 289,9999,AP,
86,9999,L,1.0,HES EL,"Health, Exercise Science & Athletics Elective",PHYED (807) 290,9999,AP,
87,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 103,9999,,
88,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 105,9999,,
89,9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 111,9999,SS,
90,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 115,9999,,
91,9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 117,9999,,
92,9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 122,9999,"UCTA,SS",
93,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 125,9999,SS,
94,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 127,9999,,
95,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 128,9999,,
96,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 131,9999,,
97,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 133,9999,,
98,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 136,9999,,
99,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 137,9999,,
100,9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 143,9999,,
101,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 145,9999,,
102,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 151,9999,SS,
103,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 153,9999,,
104,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 155,9999,,
105,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 156,9999,,
106,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 159,9999,,
107,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 160,9999,,
108,9999,,3.0,NDC,No Degree Credit,SOCSCI (809) 161,9999,,
109,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 166,9999,"EL, UCTA",
110,9999,,1.0,NDC,No Degree Credit,SOCSCI (809) 167,9999,,
111,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 172,9999,"SS, UCTA",
112,9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 174,9999,SS,
113,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 188,9999,SS,
114,9999,L,3.0,ECO 101,Intro to Economics,SOCSCI (809) 195,9999,"UCTA,SS",
115,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 196,9999,"SS, UCTA",
116,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 197,9999,SS,
117,9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 198,9999,"UCTA,SS",
118,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 199,9999,SS,
119,9999,L,1.0,GEN EL,General Elective,SOCSCI (809) 200,9999,,
120,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 201,9999,SS,
121,9999,L,3.0,SOC 130,Contemp Social Prob,SOCSCI (809) 202,9999,SS,
122,9999,L,3.0,SOC 101,Intro to Sociology,SOCSCI (809) 203,9999,"UCTA,SS",
123,9999,L,3.0,SOC 220,Soc Marriage/Family,SOCSCI (809) 204,9999,SS,
124,9999,L,3.0,SOC 125,Am Socty: Contemp Approach,SOCSCI (809) 205,9999,SS,
125,9999,L,3.0,GSW 101,Introduction to Gender (Is),SOCSCI (809) 206,9999,"IS,SS",
126,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 207,9999,SS,
127,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 208,9999,"SS, ES",
128,9999,L,3.0,GSW EL,"Gender, Sexuality, & Women's Studies Elective",SOCSCI (809) 209,9999,SS,
129,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 210,9999,SS,
130,9999,L,3.0,ECO 203,Economics - Macro,SOCSCI (809) 211,9999,SS,
131,9999,L,3.0,ECO 204,Economics - Micro,SOCSCI (809) 212,9999,SS,
132,9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 213,9999,SS,
133,9999,L,3.0,ECO EL,Economics Elective,SOCSCI (809) 214,9999,SS,
134,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 215,9999,"SS, ES",
135,9999,L,3.0,GSW EL,"Gender, Sexuality, & Women's Studies Elective",SOCSCI (809) 216,9999,SS,
136,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 217,9999,SS,
137,9999,L,3.0,SOC 101,Intro to Sociology,SOCSCI (809) 219,9999,"UCTA,SS",
138,9999,L,3.0,POL 385,Pol Amer Foreign Pol,SOCSCI (809) 220,9999,SS,
139,9999,L,3.0,POL 104,Amer Gov & Politics,SOCSCI (809) 221,9999,"UCTA,SS",
140,9999,L,3.0,POL 225,State and Local Gov,SOCSCI (809) 222,9999,SS,
141,9999,L,3.0,POL 275,Internat Politics,SOCSCI (809) 223,9999,SS,
142,9999,L,3.0,POL EL,Political Science Elective,SOCSCI (809) 224,9999,SS,
143,9999,L,3.0,PSY 330,Social Psychology,SOCSCI (809) 225,9999,SS,
144,9999,L,3.0,PSY 202,Introductory Psych,SOCSCI (809) 231,9999,"UCTA,SS",
145,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 232,9999,SS,
146,9999,L,3.0,PSY 250,Life Span Devel Psy,SOCSCI (809) 233,9999,SS,
147,9999,L,3.0,PSY 205,Dynamics of Hum Beha,SOCSCI (809) 235,9999,SS,
148,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 236,9999,SS,
149,9999,L,3.0,PSY 309,Abnormal Psychology,SOCSCI (809) 237,9999,SS,
150,9999,L,3.0,PSY EL,Psychology Elective,SOCSCI (809) 238,9999,SS,
151,9999,L,3.0,PSY 360,Psy/Childhd & Adolesc,SOCSCI (809) 239,9999,SS,
152,9999,L,3.0,HIS EL,History Elective,SOCSCI (809) 240,9999,"SS, ES",
153,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 241,9999,"SS, ES",
154,9999,L,3.0,GSW EL,"Gender, Sexuality, & Women's Studies Elective",SOCSCI (809) 250,9999,SS,
155,9999,L,3.0,PHI 101,Intro to Philosophy,SOCSCI (809) 260,9999,HU,
156,9999,L,4.0,PHI 211,Elementary Logic,SOCSCI (809) 261,9999,MS,
157,9999,L,3.0,PHI EL,Philosophy Elective,SOCSCI (809) 262,9999,HU,
158,9999,L,3.0,PHI EL,Philosophy Elective,SOCSCI (809) 263,9999,"HU, ES",
159,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SOCSCI (809) 264,9999,,
160,9999,L,3.0,PHI EL,Philosophy Elective,SOCSCI (809) 265,9999,HU,
161,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 266,9999,HU,
162,9999,L,3.0,GEN EL,General Elective,SOCSCI (809) 267,9999,,
163,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 268,9999,SS,
164,9999,L,3.0,POL EL,Political Science Elective,SOCSCI (809) 269,9999,SS,
165,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 271,9999,SS,
166,9999,L,3.0,SOC EL,Sociology Elective,SOCSCI (809) 272,9999,SS,
167,9999,L,3.0,SOC 275,"Religion, Spirit, & Secularism",SOCSCI (809) 275,9999,SS,
168,9999,L,1.0,GEN EL,General Elective,SOCSCI (809) 277,9999,,
169,9999,L,3.0,ANT 100,Intro to General Anthro,SOCSCI (809) 280,9999,SS,
170,9999,L,3.0,ANT 102,Disc Past:Archlgy & Prehis Wld,SOCSCI (809) 281,9999,SS,
171,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 282,9999,"SS, ES",
172,9999,L,3.0,ANT 104,Intro to Cultural Anthropology,SOCSCI (809) 283,9999,SS,
173,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 284,9999,SS,
174,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 285,9999,SS,
175,9999,L,3.0,ANT EL,Anthropology Elective,SOCSCI (809) 286,9999,SS,
176,9999,,3.0,NDC,No Degree Credit,SPEECH (810) 101,9999,,
177,9999,L,3.0,CTA 103,Intro Public Speaking,SPEECH (810) 201,9999,"UCTA,AP",
178,9999,L,3.0,CTA 101,Interpersonal Comm,SPEECH (810) 205,9999,AP,
179,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 207,9999,,
180,9999,L,3.0,CTA 230,Literature & Performance,SPEECH (810) 211,9999,HU,
181,9999,L,3.0,CTA 130,Intro to Theatre,SPEECH (810) 230,9999,FA,
182,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 231,9999,,
183,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 233,9999,HU,
184,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 235,9999,,
185,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 236,9999,,
186,9999,L,3.0,CTA EL,Communication and Theatre Arts Elective,SPEECH (810) 237,9999,AP,
187,9999,L,3.0,CTA 103,Intro Public Speaking,SPEECH (810) 242,9999,"UCTA,AP",
188,9999,L,3.0,CTA 150,Introduction to Film,SPEECH (810) 250,9999,FA,
