to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
9999,L,1.00,ART EL,Art Elective,ART 101,4688,,"Tools,Safety,Materials",
9999,L,3.00,ART 183,Renaiss - Modern Art,ART 103,4688,FA,Hist Vis Arts II:Renais-Mod,
9999,L,3.00,ART 101,Introduction to Drawing,ART 105,4688,AP,Introductory Drawing,
9999,L,3.00,ART 112,Three-Dimensional Design,ART 106,4688,AP,3d,
9999,L,3.00,ART 111,Two-Dimensional Design,ART 107,4688,AP,Two Dimensional Design,
9999,L,3.00,ART 121,Intro to Painting,ART 210,4688,AP,Intro to Painting,
9999,L,3.00,ART 131,Intro to Sculpture,ART 220,4688,AP,Intro to Sculpture,
9999,L,3.00,ART 154,Intro to Ceramics,ART 230,4688,AP,Intro to Ceramics,
9999,L,3.00,ART 161,Introduction to Photography,ART 243,4688,AP,Intro to Photography,
9999,L,3.00,ART EL,Art Elective,ART 250,4688,AP,Intro to Fibers/Textiles,
9999,L,3.00,ART EL,Art Elective,ART 260,4688,AP,Intro to Jewelry/Metals,
9999,L,3.00,ART 141,Intro to Printmaking,ART 270,4688,AP,Intro to Printmaking,
9999,L,1.00-4.00,ART EL,Art Elective,ART 283,4688,,Selected Topics,8
9999,L,1.00-4.00,ART EL,Art Elective,ART 298,4688,,Independent Study,8
9999,L,1.00,BIO EL,Biology Elective,BIOLOGY 202,4688,"NS, LS, UCTA",Principles of Biology Lab: 201,22
9999,L,3.00,BIO EL,Biology Elective,BIOLOGY 203,4688,"NS, LS",Principles Bio: Organismal,
9999,L,1.00-4.00,BIO EL,Biology Elective,BIOLOGY 283,4688,,Selected Topics,8
9999,L,1.00-4.00,BIO EL,Biology Elective,BIOLOGY 298,4688,,Independent Study,8
9999,L,3.00,BUS 210,Business Commun,BUS ADM 101,4688,AP,Effective Business Commun,
9999,L,3.00,BUS 101,Intro to Business,BUS ADM 202,4688,EL,Business & Its Envir,
9999,L,3.00,BUS EL,Business Elective,BUS ADM 206,4688,,Law & the Individual,
9999,L,3.00,BUS 243,Eco & Bus Statistics,BUS ADM 215,4688,MS,Intro-Business Statistics,
9999,L,3.00,BUS EL,Business Elective,BUS ADM 217,4688,MS,Adv Business Statistics,
9999,L,3.00,BUS EL,Business Elective,BUS ADM 280,4688,,Intro-Mgt Information Sys,
9999,L,3.00,BUS 110,Personal Finance,BUS ADM 282,4688,AP,Personal Finan Planning,
9999,L,1.00-4.00,BUS EL,Business Elective,BUS ADM 283,4688,,Selected Topics,8
9999,L,1.00-4.00,BUS EL,Business Elective,BUS ADM 298,4688,,Independent Study,8
9999,L,3.00,ANT 204,Cultures of the World,ANTHRO 100,4688,SS,Varieties of World Culture,
9999,L,3.00,ANT 102,Disc Past:Archlgy & Prehis Wld,ANTHRO 215,4688,SS,Intro to Prehistoric Arch,
9999,L,1.00-4.00,ANT EL,Anthropology Elective,ANTHRO 283,4688,,Selected Topics,8
9999,L,1.00-4.00,ANT EL,Anthropology Elective,ANTHRO 298,4688,,Independent Study,8
9999,P,3.00,NDC,No Degree Credit,COM SKIL 115,4688,,Intro Algebraic Concepts,5
9999,L,2.00,CPS EL,Computer Sciences Elective,COM SKIL 140,4688,,Overview Computer Concepts,
9999,P,2.00,NDC,No Degree Credit,COM SKIL 145,4688,,Intro to Numerical Skills,5
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COM SKIL 235,4688,,Speaking-Listening Skills,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COM SKIL 283,4688,,Communic-Small Group Disc,
9999,L,4.00,CHI 101,1st Semester Chinese,CHINESE 101,4688,HU,Intro to Chinese I,
9999,L,3.00,CHE 123,Chemistry & Society,CHEM 101,4688,NS,Fund of Chemistry,
9999,L,3.00,CHE 125,Introductory Chemistry,CHEM 108,4688,"UCTA,LS,NS",General Chemistry,22
9999,L,4.00,CHE EL,Chemistry Elective,CHEM 211,4688,NS,Princ of Chemistry I,"19, 223"
9999,L,4.00,CHE EL,Chemistry Elective,CHEM 212,4688,NS,Prin of Chemistry II,"19, 224"
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 213,4688,"LS, NS",Principles of Chemistry I Lab,"19, 223"
9999,L,1.00,CHE EL,Chemistry Elective,CHEM 214,4688,"LS, NS",Principles of Chemistry II Lab,"19, 224"
9999,L,1.00-4.00,CHE EL,Chemistry Elective,CHEM 283,4688,,Selected Topics,8
9999,L,1.00-4.00,CHE EL,Chemistry Elective,CHEM 298,4688,,Independent Study,8
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 102,4688,,Introduction to Communication,
9999,L,3.00,CTA 103,Intro Public Speaking,COMM 133,4688,"UCTA,AP",Fund of Public Address,22
9999,L,3.00,CTA 101,Interpersonal Comm,COMM 166,4688,AP,Fundmntls-Interpersonal Com,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 200,4688,,Comm Problems & Research Mthds,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 201,4688,,Human Information Proc,
9999,L,3.00,CTA 203,News & Info Writing,COMM 203,4688,AP,Newswriting,
9999,L,3.00,ART 161,Introduction to Photography,COMM 243,4688,AP,Intro to Photography,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 253,4688,,Pract-Print Journalism I,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 280,4688,,Business and Media Writing,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,COMM 282,4688,,Princ Pub Relat/Corp Commun,
9999,L,1.00-4.00,CTA EL,Communication and Theatre Arts Elective,COMM 283,4688,,Selected Topics,8
9999,L,1.00-4.00,CTA EL,Communication and Theatre Arts Elective,COMM 298,4688,,Independent Study,8
9999,L,3.00,ART 181,Surv: Ancient & Medievl,AVD 102,4688,FA,Hist Vis Arts:Anc-Mediev,
9999,L,3.00,ART 183,Renaiss - Modern Art,AVD 103,4688,FA,Hist Vis Arts II:Renais-Mod,
9999,L,3.00,MUS EL,Music Elective,AVD 121,4688,FA,Survey of Western Music,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,AVD 141,4688,FA,Intro to Theatre Arts,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,AVD 142,4688,FA,Perf Arts Perspec:Exper-Evl,
9999,L,3.00,ENG 220,Intro to Englsh Lang,AVD 160,4688,HU,Introduction to Language,
9999,L,3.00,ART 187,Survey: Modern Art,AVD 202,4688,FA,Concepts-Issues Modern Art,
9999,L,3.00,MUS EL,Music Elective,AVD 221,4688,FA,Popular Music Since 1955,
9999,L,3.00,ART EL,Art Elective,AVD 225,4688,"FA, ES",Amer Ind:Arts & Cerem Trad,
9999,L,3.00,HIS EL,History Elective,AVD 226,4688,"HU, ES",Amer Indian Studies:Wis Ind,
9999,L,4.00,CTA EL,Communication and Theatre Arts Elective,AVD 231,4688,,Intro to Graphic Commun,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,AVD 255,4688,,Intro to Arts Management,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,AVD 257,4688,FA,Arts in the Community,
9999,L,3.00,GEN EL,General Elective,AVD 261,4688,FA,Understanding the Arts,
9999,L,3.00,CTA EL,Communication and Theatre Arts Elective,AVD 263,4688,,Found II:Arts & Society,
9999,L,3.00,GSW EL,"Gender, Sexuality, & Women's Studies Elective",AVD 272,4688,FA,Women in the Arts,
9999,L,3.00,ECO EL,Economics Elective,ECON 152,4688,"SS, UCTA",Economic Concepts,22
9999,L,3.00,ECO 203,Economics - Macro,ECON 202,4688,SS,Macro Economic Analysis,
9999,L,3.00,ECO 204,Economics - Micro,ECON 203,4688,SS,Micro Economic Analysis,
9999,L,1.00,ECO EL,Economics Elective,ECON 205,4688,,Micro Econ Lab,
9999,L,1.00,ECO EL,Economics Elective,ECON 206,4688,,Macro Economics Lab,
9999,L,1.00,ECO EL,Economics Elective,ECON 207,4688,,Micro Economics Lab,
9999,L,1.00-4.00,ECO EL,Economics Elective,ECON 283,4688,,Selected Topics,8
9999,L,1.00-4.00,ECO EL,Economics Elective,ECON 298,4688,,Independent Study,8
9999,L,1.00-4.00,GEN EL,General Elective,AVD 281,4688,,Student Lead Topics,8
9999,L,1.00-4.00,GEN EL,General Elective,AVD 283,4688,,Selected Topics,8
9999,L,1.00,CTA EL,Communication and Theatre Arts Elective,AVD 295,4688,,Sensing & Communication,
9999,L,1.00-4.00,GEN EL,General Elective,AVD 298,4688,,Independent Study,8
9999,L,3.00,GEN EL,General Elective,DJS 204,4688,SS,Freedom & Social Control,
9999,L,3.00,GEN EL,General Elective,DJS 230,4688,SS,Law and the Judicial Proc,
9999,L,3.00,GSW 101,Introduction to Gender (Is),DJS 241,4688,"IS,SS",Intro Women's & Gender Studies,
9999,L,3.00,GEN EL,General Elective,DJS 250,4688,SS,Intro to Global Studies,
9999,L,3.00,GEN EL,General Elective,DJS 251,4688,SS,Sustainable Development,
9999,L,3.00,GEN EL,General Elective,DJS 265,4688,SS,"Music,Politics,Soc Change",
9999,L,3.00,HIS EL,History Elective,DJS 275,4688,SS,Vietnam War:Hist Persp,
9999,L,1.00-4.00,GEN EL,General Elective,DJS 283,4688,,Selected Topics,8
9999,L,1.00-4.00,GEN EL,General Elective,DJS 298,4688,,Independent Study,8
9999,L,3.00,EDU EL,Education Elective,EDUC 101,4688,,Career & Educ Planning,
9999,L,3.00,EDU EL,Education Elective,EDUC 202,4688,,Changes in Amer Educ,
9999,L,2.00,EDU EL,Education Elective,EDUC 203,4688,,Envir Educ K-12 Schools,
9999,L,3.00,EDU EL,Education Elective,EDUC 206,4688,"SS, ES",Cult Images Mtrl Chld-Adol,
9999,L,2.00,EDU EL,Education Elective,EDUC 250,4688,,Fld Exper in Education,
9999,L,3.00,EDU EL,Education Elective,EDUC 280,4688,,Instructional Technologies,
9999,L,3.00,EDU EL,Education Elective,EDUC 281,4688,,Concep Found Elem Math I,
9999,L,1.00-4.00,EDU EL,Education Elective,EDUC 283,4688,,Selected Topics,8
9999,L,5.00,EDU EL,Education Elective,EDUC 290,4688,,Intro to Educ Inquiry,
9999,L,1.00-4.00,EDU EL,Education Elective,EDUC 298,4688,,Independent Study,8
9999,L,3.00,ENG 277,Film Studies,ENGLISH 101,4688,HU,Intro to Film,
9999,L,3.00,ENG 250,Intro to Literary Studies,ENGLISH 104,4688,HU,Intro to Literature,
9999,L,3.00,ENG EL,English Elective,ENGLISH 107,4688,HU,The Short Story,
9999,L,3.00,ENG 279,Women Writers,ENGLISH 206,4688,HU,Women in Literature,
9999,L,3.00,ENG EL,English Elective,ENGLISH 207,4688,HU,Philosophy and Literature,
9999,L,3.00,ENG 203,Creative Writing I,ENGLISH 212,4688,FA,Intro Creative Writing,
9999,L,3.00,ENG EL,English Elective,ENGLISH 213,4688,AP,Intro Creative Writ-Poetry,
9999,L,3.00,ENG 260,British Literature I,ENGLISH 214,4688,HU,Intro to English Lit I,
9999,L,3.00,ENG 261,British Literature II,ENGLISH 215,4688,HU,Intro to English Lit II,
