to,level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
UW Branch Campus,L,3.00,ART 181,Surv: Ancient & Medievl,ARTH 111,UW-Eau Claire,FA,Anct-Medieval Art,
UW Branch Campus,L,3.00,ART 183,Renaiss - Modern Art,ARTH 112,UW-Eau Claire,FA,Ren-20th Cent Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 200,UW-Eau Claire,FA,Hist-World Archit,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 201,UW-Eau Claire,FA,Art of 20th Cent,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 210,UW-Eau Claire,FA,Hist Art-Prehist,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 211,UW-Eau Claire,FA,Hist Art-Primitiv,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 213,UW-Eau Claire,FA,Ancient Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 215,UW-Eau Claire,FA,Classical Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 217,UW-Eau Claire,FA,Medieval Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 219,UW-Eau Claire,FA,Renaissance Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 221,UW-Eau Claire,FA,Baroq & Rococ Art,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 225,UW-Eau Claire,HU,Hist Graph Design,
UW Branch Campus,L,3.00,ART EL,Art Elective,ARTH 227,UW-Eau Claire,HU,History of Photo,
UW Branch Campus,L,1.00-3.00,ART EL,Art Elective,ARTH 291,UW-Eau Claire,,Spec Topics Arth,8
UW Branch Campus,L,1.00-6.00,ART EL,Art Elective,ARTH 295,UW-Eau Claire,EL,Art Field Study,8
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,AIS 101,UW-Eau Claire,"SS, ES",Am Ind Hist & Cul,
UW Branch Campus,L,3.00,ANT EL,Anthropology Elective,AIS 102,UW-Eau Claire,"HU, ES",Am Ind Exp Cult,
UW Branch Campus,L,4.00,GEN EL,General Elective,AIS 111,UW-Eau Claire,"AP, ES",Amer Ind Lang I,
UW Branch Campus,L,4.00,GEN EL,General Elective,AIS 112,UW-Eau Claire,"AP, ES",Amer Ind Lang II,
UW Branch Campus,L,3.00,AIS 242,American Indian in Lit & Film,AIS 142,UW-Eau Claire,"ES,HU",Intro Amer Ind Lit,
UW Branch Campus,L,3.00,ANT 104,Intro to Cultural Anthropology,AIS 161,UW-Eau Claire,SS,Intro Cult Anthro,
UW Branch Campus,L,3.00,HIS EL,History Elective,AIS 240,UW-Eau Claire,"HU, ES",Am Indian History,
UW Branch Campus,L,3.00,AIS 242,American Indian in Lit & Film,AIS 242,UW-Eau Claire,"ES,HU",Amer Ind Lit&Film,
UW Branch Campus,L,3.00,POL EL,Political Science Elective,AIS 250,UW-Eau Claire,"SS, ES",Am Indian Politic,
UW Branch Campus,L,1.00-4.00,GEN EL,General Elective,AIS 291,UW-Eau Claire,,Special Topics,8
UW Branch Campus,L,1.00,BUS EL,Business Elective,BCOM 107,UW-Eau Claire,,Intro Micro Keybd,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BCOM 108,UW-Eau Claire,,Begin Shorthand,
UW Branch Campus,L,1.00,BUS EL,Business Elective,BCOM 117,UW-Eau Claire,,Word Procsng/Busn,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BCOM 121,UW-Eau Claire,,Inter Shorthand,
UW Branch Campus,L,1.00,BUS EL,Business Elective,BCOM 135,UW-Eau Claire,,Mach Cal-Bus Prob,
UW Branch Campus,L,2.00,BUS EL,Business Elective,BCOM 157,UW-Eau Claire,,Keyboarding App,
UW Branch Campus,L,2.00,BUS 210,Business Commun,BCOM 206,UW-Eau Claire,AP,Business Writing,
UW Branch Campus,L,2.00,BUS EL,Business Elective,BCOM 207,UW-Eau Claire,,Bus Presentations,
UW Branch Campus,L,2.00,BUS EL,Business Elective,BCOM 216,UW-Eau Claire,AP,Bus Writing II,
UW Branch Campus,L,2.00,BUS EL,Business Elective,BCOM 277,UW-Eau Claire,,Elect Doc Process,
UW Branch Campus,L,3.00,BUS EL,Business Elective,BCOM 290,UW-Eau Claire,,Softw Appl: Admin,
