4615,L,3.00,SOCSCI (809) 280,General Anthropology,ANTHRO 100,4656,,General Anthropology,
4615,L,3.00,SOCSCI (809) 281,Archaeology & Prehist World,ANTHRO 102,4656,,Archaeology & Prehist World,
4615,L,3.00,SOCSCI (809) 283,Cult Anthro & Hum Diversity,ANTHRO 104,4656,,Cult Anthro&Human Diversity,
4615,L,3.00,SOCSCI (809) 288,Human Biol & Phys Anthropology,ANTHRO 105,4656,,Principles - Biological Anthro,
4615,,3.00,GEN EL,General Elective,MATH 095,4656,,Fundamental Math Skills,
4615,,2.00,GEN EL,General Elective,MATH 099,4656,,Algebra,
4615,,2.00,GEN EL,General Elective,MATH 100,4656,,Algebra,
4615,,3.00,GEN EL,General Elective,MATH 101,4656,,Intermediate Algebra,
4615,,1.00,GEN EL,General Elective,MATH 104,4656,,Spherical Trigonometry,
4615,,4.00,GEN EL,General Elective,MATH 107,4656,,Intro Math-Finance&Problty,
4615,,3.00,GEN EL,General Elective,MATH 112,4656,,Algebra,
4615,,3.00,GEN EL,General Elective,MATH 113,4656,,Trigonometry,
4615,,5.00,GEN EL,General Elective,MATH 114,4656,UCTA,Algebra and Trigonometry,22
4615,L,5.00,MATH (804) 229,Math Analysis,MATH 114,4656,"UCTA,",Algebra and Trigonometry,22
4615,,4.00,GEN EL,General Elective,MATH 115,4656,,Math For Elem Teachers,
4615,,4.00,GEN EL,General Elective,MATH 116,4656,,Math For Elem Teachers,
4615,,2.00,GEN EL,General Elective,MATH 120,4656,,Theory of Arithmetic,
4615,,1.00,GEN EL,General Elective,MATH 121,4656,,Introductory Number Theory,
4615,,2.00,GEN EL,General Elective,MATH 122,4656,,Real Numbers&Informal Geom,
4615,,1.00,GEN EL,General Elective,MATH 123,4656,,Intuitive Algebra&Geometry,
4615,,1.00,GEN EL,General Elective,MATH 124,4656,,Functions&Analytic Geometry,
4615,,1.00,GEN EL,General Elective,MATH 125,4656,,Sets and Logic,
4615,,1.00,GEN EL,General Elective,MATH 126,4656,,Elementary Probability,
4615,,1.00,GEN EL,General Elective,MATH 127,4656,,Introduction to Game Theory,
4615,,1.00,GEN EL,General Elective,MATH 128,4656,,Topics: Math-Elem Teachers,
4615,,3.00,GEN EL,General Elective,MATH 130,4656,,Math For Tchng:Numbrs&Operatns,
4615,,3.00,GEN EL,General Elective,MATH 131,4656,,Math For Tchng: Geom&Measrmnt,
4615,,3.00,GEN EL,General Elective,MATH 132,4656,,"Prob Solvng: Alg, Prob & Stats",
4615,,3.00,GEN EL,General Elective,MATH 135,4656,,Algebraic Reasong-Teachng Math,
4615,,6.00,GEN EL,General Elective,MATH 136,4656,,Pre-Calc&Calc-Mid Schl Teachrs,
4615,,3.00,GEN EL,General Elective,MATH 141,4656,,Quant Reasoning&Prob Solvng,
4615,,5.00,GEN EL,General Elective,MATH 171,4656,,Calc With Algebra & Trig I,
4615,,1.00-3.00,GEN EL,General Elective,MATH 198,4656,,Directed Study,8
4615,,1.00-5.00,GEN EL,General Elective,MATH 207,4656,,Topics in Math Study Abroad,8
4615,,3.00,GEN EL,General Elective,MATH 210,4656,,Topics-Finite Mathematics,
4615,,5.00,GEN EL,General Elective,MATH 211,4656,,Calculus,
4615,,3.00,GEN EL,General Elective,MATH 213,4656,,Calc/Intro-Differntl Equats,
4615,,5.00,GEN EL,General Elective,MATH 217,4656,,Calc With Algebra & Trig II,
4615,,3.00,GEN EL,General Elective,MATH 219,4656,,What Is Mathematics?,
4615,,5.00,GEN EL,General Elective,MATH 221,4656,,Calculus&Analytic Geometry 1,
4615,,4.00,GEN EL,General Elective,MATH 222,4656,,Calculus&Analytic Geometry 2,
4615,,5.00,GEN EL,General Elective,MATH 223,4656,,Calculus&Analytic Geometry 3,
4615,,2.00,GEN EL,General Elective,MATH 231,4656,,Intro:Probabilty-Biologists,
4615,,3.00,GEN EL,General Elective,MATH 232,4656,,Intro:Dynamicl Sys-Biolgsts,
4615,,4.00,GEN EL,General Elective,MATH 234,4656,,Calc--Functns of Variables,
4615,,2.00,GEN EL,General Elective,MATH 235,4656,,Intro-Differential Equation,
4615,,3.00,GEN EL,General Elective,MATH 240,4656,,Intro to Discrete Mathematics,
4615,,3.00,GEN EL,General Elective,MATH 245,4656,,Topics in Deductive Math,
4615,,4.00,GEN EL,General Elective,MATH 251,4656,,Topics in College Math,
4615,,4.00,GEN EL,General Elective,MATH 252,4656,,Topics in College Math,
4615,,2.00-5.00,GEN EL,General Elective,MATH 272,4656,,Topics-Elementary Calculus,8
4615,,5.00,GEN EL,General Elective,MATH 275,4656,,Topics in Calculus I,
4615,,5.00,GEN EL,General Elective,MATH 276,4656,,Topics in Calculus II,
4615,,5.00,GEN EL,General Elective,MATH 277,4656,,Multi-Var Calc & Linear Alg,
4615,,1.00-3.00,GEN EL,General Elective,MATH 298,4656,,Directed Study in Math,8
4615,,5.00,GEN EL,General Elective,MATH 301,4656,,Calculus,
4615,,5.00,GEN EL,General Elective,MATH 302,4656,,Calculus,
4615,,3.00,GEN EL,General Elective,MATH 303,4656,,Theory-Interst & Life Insur,
4615,,5.00,GEN EL,General Elective,MATH 375,4656,,Multi-Var Calc & Linear Alg,
4615,,3.00-4.00,SOCSCI (809) 166,Intro to Ethics: Theory & App,PHILOS 241,4656,UCTA,Introductory Ethics,"8, 22"
4615,,3.00-4.00,SOCSCI (809) 166,Intro to Ethics: Theory & App,PHILOS 241,4656,UCTA,Introductory Ethics,"8, 22"
4615,,3.00-4.00,SOCSCI (809) 166,Intro to Ethics: Theory & App,PHILOS 241,4656,UCTA,Introductory Ethics,"8, 22"
4615,,3.00-4.00,SOCSCI (809) 166,Intro to Ethics: Theory & App,PHILOS 241,4656,UCTA,Introductory Ethics,"8, 22"
