level,credits,course_2,title_2,course_1,gen_ed,title_1,special
None,1.00,GEN EL,General Elective,COMPSCI 151,None,Using Computers,None
None,3.00,GEN EL,General Elective,COMPSCI 161,None,Introduction to Computers,None
None,3.00,GEN EL,General Elective,COMPSCI 162,None,Computer Applications,None
None,3.00,CSCI 130,Introduction to Programming,COMPSCI 171,None,Intro to Vb Programming,None
None,3.00,CSCI 241,Computer Science I,COMPSCI 172,None,Introduction to Java,None
None,3.00,GEN EL,General Elective,COMPSCI 173,None,Fortran Programming,None
None,3.00,GEN EL,General Elective,COMPSCI 181,None,Database and Web,None
None,3.00,CSCI 241,Computer Science I,COMPSCI 220,None,Intermediate Java,None
None,3.00,CSCI 245,Assembly Language Programming,COMPSCI 271,None,Assembly Programming,None
None,3.00,CSCI 242,Computer Science II,COMPSCI 372,None,Intermediate Programming,None
None,3.00,ACCT 201,Financial Accounting,ACCOUNT 244,None,Intro to Financial Acct,None
None,3.00,ACCT 202,Managerial Accounting,ACCOUNT 249,None,Intro to Managerial Acct,None
None,3.00,ACCT 302,Intermediate Accountng II,ACCOUNT 343,None,Intrmediate Accounting II,None
None,3.00,ACCT 305,Individual Taxation,ACCOUNT 451,None,Tax I,None
None,3.00,ACCT 306,Business Taxation,ACCOUNT 452,None,Tax II,None
None,3.00,ACCT 403,Advanced Cost Accounting,ACCOUNT 456,None,Cost Management,None
None,3.00,GEN EL,General Elective,ANTHROPL 105,None,Individual and Society,None
None,3.00,SOCA 100,Introduction to Anthropology,ANTHROPL 110,None,Introductory Anthropology,None
None,3.00,GEN EL,General Elective,ANTHROPL 190,None,Childhd Different Culture,None
None,3.00,SOCA 204,Human Evolution,ANTHROPL 214,None,Physical Anthropology,None
None,3.00,SOCA 202,Cultural Anthropology,ANTHROPL 218,None,Cultural Anthropology,None
None,3.00,Soc/BhvSci EL,Social & Behavioral Science Elective,ANTHROPL 220,None,"Tombs, Temples, Treasure",None
None,3.00,GEN EL,General Elective,ANTHROPL 228,None,Anthropology of Religion,None
None,3.00,GEN EL,General Elective,ANTHROPL 230,None,Societies in Change,None
None,3.00,GEN EL,General Elective,AMERIND 102,None,Intro Amer Indian Studies,None
None,5.00,GEOS 110,Intro to Astronomy,ASTRONMY 112,None,Introduction to Astronomy,None
None,3.00,GEOS 110,Intro to Astronomy,ASTRONMY 114,None,Descriptive Astronomy,None
None,3.00,GEN EL,General Elective,BIOLOGY 110,None,Bob:Biology of the Brain,None
None,4.00,BIOS 100,Nature of Life,BIOLOGY 120,None,Biological Foundations,None
None,5.00,BIOS 101,Bioscience,BIOLOGY 141,None,Introductory Biology I,None
None,5.00,BIOS 102,Organismal Biology,BIOLOGY 142,None,Introductory Biology II,None
