level,credits,course_2,title_2,course_1,from_,gen_ed,title_1,special
"
L",1.00,GEN EL,General Elective,COMPSCI 151,4684,"
",Using Computers,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 161,4684,"
",Introduction to Computers,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 162,4684,"
NSA",Computer Applications,"

                "
"
L",3.00,CSCI 130,Introduction to Programming,COMPSCI 171,4684,"
NSA",Intro to Vb Programming,"

                "
"
L",3.00,CSCI 241,Computer Science I,COMPSCI 172,4684,"
NSA",Introduction to Java,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 173,4684,"
",Fortran Programming,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 181,4684,"
NSA",Database and Web,"

                "
"
L",3.00,CSCI 241,Computer Science I,COMPSCI 220,4684,"
NSA",Intermediate Java,"

                "
"
L",3.00,CSCI 245,Assembly Language Programming,COMPSCI 271,4684,"
",Assembly Programming,"

                "
"
L",3.00,CSCI 242,Computer Science II,COMPSCI 372,4684,"
",Intermediate Programming,"

                "
"
L",3.00,GEN EL,General Elective,ACINDP 105,4684,"
",World of the Arts,"

                "
"
L",6.00,GEN EL,General Elective,ACINDP 105A,4684,"
",Arts 105 & Fresh Engl 102,"

                "
"
L",3.00,GEN EL,General Elective,ACINDP 150,4684,"
",Intro Multimedia Studies,"

                "
"
L",3.00,GEN EL,General Elective,ACINDP 151,4684,"
",Intro Multimed Aesthetics,"

                "
"
L",1.00-2.00,GEN EL,General Elective,ACINDP 200,4684,"
",Arts Management Practicum,"
8
                "
"
L",3.00,GEN EL,General Elective,ACINDP 215,4684,"
HUA",Fine Arts Western Culture,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 100,4684,"
DV, SSS",Introductn Black Culture,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 120,4684,"
",Modern Blk Amer History,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 141,4684,"
DV, SSJ",Modern Blk Amer History,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 260,4684,"
",The Black Family,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 261,4684,"
SSD, DV",African-American Politics,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 270,4684,"
DV, SSS",Afri Am Comunty Soc Persp,"

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 105,4684,"
",Individual and Society,"

                "
"
L",3.00,SOCA 100,Introduction to Anthropology,ANTHROPL 110,4684,"
SSS",Introductory Anthropology,"

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 190,4684,"
SSS",Childhd Different Culture,"

                "
"
L",3.00,SOCA 204,Human Evolution,ANTHROPL 214,4684,"
NSF",Physical Anthropology,"

                "
"
L",3.00,SOCA 202,Cultural Anthropology,ANTHROPL 218,4684,"
",Cultural Anthropology,"

                "
"
",3.00,Soc/BhvSci EL,Social & Behavioral Science Elective,ANTHROPL 220,4684,"
SS","Tombs, Temples, Treasure","

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 228,4684,"
SSS",Anthropology of Religion,"

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 230,4684,"
SSS",Societies in Change,"

                "
"
L",2.00,ART 100,Foundtn of Art & Visual Cultur,ARTHIST 111,4684,"
",Art Appreciation,"

                "
"
L",3.00,ART 125,Survey of World Art,ARTHIST 201,4684,"
HUA",Srvy Art Ancient-1400ce,"

                "
"
L",3.00,ART 126,Modern & Contmp Art 1900-Pres,ARTHIST 202,4684,"
",Art Survey 1400 to 1900,"

                "
"
L",3.00,GEN EL,General Elective,ARTHIST 203,4684,"
HUA",Modern & Contemporary Art,"

                "
"
L",3.00,ACCT 201,Financial Accounting,ACCOUNT 244,4684,"
",Intro to Financial Acct,"

                "
"
L",3.00,ACCT 202,Managerial Accounting,ACCOUNT 249,4684,"
",Intro to Managerial Acct,"

                "
"
U",3.00,ACCT 302,Intermediate Accountng II,ACCOUNT 343,4684,"
",Intrmediate Accounting II,"

                "
"
U",3.00,ACCT 305,Individual Taxation,ACCOUNT 451,4684,"
",Tax I,"

                "
"
U",3.00,ACCT 306,Business Taxation,ACCOUNT 452,4684,"
",Tax II,"

                "
"
U",3.00,ACCT 403,Advanced Cost Accounting,ACCOUNT 456,4684,"
",Cost Management,"

                "
"
L",5.00,GEOS 110,Intro to Astronomy,ASTRONMY 112,4684,"
",Introduction to Astronomy,"
284
                "
"
L",3.00,GEOS 110,Intro to Astronomy,ASTRONMY 114,4684,"
",Descriptive Astronomy,"
283
                "
"
L",3.00,ART 102,Introduction to 2-D Design,ARTSTDIO 102,4684,"
HUA",2-Dimensional Design,"

                "
"
L",3.00,ART 103,Introduction to 3-D Design,ARTSTDIO 103,4684,"
HUA",3-Dimensional Design,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 121,4684,"
HUA",Basic Art,"

                "
"
L",3.00,ART EL,Art Elective,ARTSTDIO 180,4684,"
",Intro Advertising Design,"

                "
"
L",3.00,ART 122,Introduction to Drawing,ARTSTDIO 201,4684,"
HUA",Drawing I,"

                "
"
L",3.00,ART 222,Intermediate Drawing,ARTSTDIO 202,4684,"
",Drawing II,"

                "
"
U",3.00,GEN EL,General Elective,ARTSTDIO 213,4684,"
HUA",Intro to Digital Photo,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 221,4684,"
HUA",Intro Studio Non-Art Majr,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 222,4684,"
",Int. Water-Based Maedia,"

                "
"
L",3.00,ART 203,Beginning Ceramics,ARTSTDIO 251,4684,"
",Ceramics I,"

                "
"
L",3.00,ART 223,Beginning Art Metals,ARTSTDIO 271,4684,"
",Metal and Jewelry I,"

                "
"
U",3.00,ART 323,Intermediate Art Metals,ARTSTDIO 272,4684,"
",Metal and Jewelry II,"

                "
"
L",3.00,GEN EL,General Elective,ARTSTDIO 287,4684,"
",Comptr Graphcs For Artist,"

                "
"
L",3.00,ART 282,Beginning Painting,ARTSTDIO 321,4684,"
",Painting I,"

                "
"
L",3.00,ART 274,Typography I,ARTSTDIO 381,4684,"
",Graphic Design I: Typography,"

                "
"
L",3.00,GEN EL,General Elective,AMERIND 102,4684,"
DV, SSS",Intro Amer Indian Studies,"

                "
"
L",3.00,BUS 100,Introduction to Business,BEINDP 101,4684,"
SSB",Business and Society,"

                "
"
L",3.00,GEN EL,General Elective,BIOLOGY 110,4684,"
",Bob:Biology of the Brain,"

                "
"
L",4.00,BIOS 100,Nature of Life,BIOLOGY 120,4684,"
UCTA,NSB",Biological Foundations,"
22
                "
"
L",5.00,BIOS 101,Bioscience,BIOLOGY 141,4684,"
UCTA,NSB",Introductory Biology I,"
224, 22
                "
"
L",5.00,BIOS 102,Organismal Biology,BIOLOGY 142,4684,"
",Introductory Biology II,"
236
                "
"
L",3.00,GEN EL,General Elective,BIOLOGY 200,4684,"
",Writing in Biology,"

                "
"
L",3.00,BIOS 202,General Microbiology,BIOLOGY 210,4684,"
",Elements of Bacteriology,"

                "
"
L",3.00,BIOS EL,Biological Sciences Elective,BIOLOGY 214,4684,"
NSB",Ecology and Society,"

                "
"
L",2.00,GEN EL,General Elective,BIOLOGY 221,4684,"
NSB",School Health,"

                "
"
L",1.00,GEN EL,General Elective,BIOLOGY 230,4684,"
NSB",Human Sexuality,"

                "
"
L",1.00,GEN EL,General Elective,BIOLOGY 240,4684,"
NSB",Human Inheritance,"

                "
"
L",3.00,GEN EL,General Elective,BIOLOGY 247,4684,"
",Bioethics,"

                "
"
L",4.00,GEN EL,General Elective,BIOLOGY 251,4684,"
NSB",Introduction to Genetics,"

                "
"
U",3.00,BIOS 301,Cell Biology,BIOLOGY 253,4684,"
",Intro to Cell Biology,"

                "
"
L",2.00,GEN EL,General Elective,BIOLOGY 254,4684,"
",Biotechnology Laboratory I,"

                "
"
U",3.00,BIOS 305,Principles of Ecology,BIOLOGY 257,4684,"
",Introduction to Ecology,"

                "
"
L",4.00,BIOS 207,Research Process in Biology,BIOLOGY 303,4684,"
",Biostatistics,"

                "
"
L",3.00,SPCH 105,Public Speaking,COMM 110,4684,"
UCTA,HUT",Intro to Public Speaking,"
22
                "
"
L",3.00,COMM 108,Media and Society,COMM 131,4684,"
SSC",Intro Mass Communication,"

                "
"
L",3.00,GEN EL,General Elective,COMM 162,4684,"
",Debate,"

                "
"
L",3.00,GEN EL,General Elective,COMM 202,4684,"
",Principles Public Relatns,"

                "
"
L",3.00,GEN EL,General Elective,COMM 203,4684,"
",Publ Relations Tactics 1,"

                "
"
L",3.00,GEN EL,General Elective,COMM 204,4684,"
",Publ Relations Tactics II,"

                "
"
L",3.00,COMM 107,Comm & Human Condition (Dv),COMM 228,4684,"
SSC,DV",Interpersonal Communicatn,"

                "
"
L",1.00,GEN EL,General Elective,COMM 230,4684,"
",Radio Practicum,"

                "
"
L",1.00,GEN EL,General Elective,COMM 231,4684,"
",Practicum in Television,"

                "
"
L",3.00,GEN EL,General Elective,COMM 232,4684,"
",Found Electronic Media,"

                "
"
L",3.00,GEN EL,General Elective,COMM 234,4684,"
",Electronic Media Announce,"

                "
"
L",3.00,ENGL 252,Introduction to Film,COMM 236,4684,"
",Introduction to Cinema,"

                "
"
L",3.00,GEN EL,General Elective,COMM 238,4684,"
",Video Production I,"

                "
"
L",3.00,GEN EL,General Elective,COMM 239,4684,"
",Audio Production I,"

                "
"
L",3.00,COMM 105,Public Speaking,COMM 240,4684,"
SS",Public Speaking,"

                "
"
L",3.00,GEN EL,General Elective,COMM 241,4684,"
",Elec Media Copywriting,"

                "
"
L",3.00,COMM 202,Group Communication,COMM 242,4684,"
SSC",Comm & Team Building,"

                "
"
L",3.00,GEN EL,General Elective,COMM 244,4684,"
SSC",Communication/Interviewng,"

                "
"
L",0.00,GEN EL,General Elective,COMDIS 100,4684,"
",Speech Improvement,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 210,4684,"
",O & P Communicative Dis,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 270,4684,"
",Intro Hum Comm and Disrdrs,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 272,4684,"
",Phonetics & Relat Process,"

                "
"
L",3.00,GEN EL,General Elective,COMDIS 278,4684,"
",Anat Physio Hum Comm,"

                "
"
L",3.00,GEN EL,General Elective,COMM 246,4684,"
",Elec Media Newswriting,"

                "
"
L",3.00,GEN EL,General Elective,COMM 247,4684,"
",Intro Parliamentary Proc,"

                "
"
L",0.50-1.00,GEN EL,General Elective,COMM 260,4684,"
",Intercollegiate Debate I,"
8
                "
"
L",0.50-1.00,GEN EL,General Elective,COMM 261,4684,"
",Intercollegiate Debate II,"
8
                "
"
L",1.00,GEN EL,General Elective,COMM 263,4684,"
",Practicum in Forensics,"

                "
"
L",3.00,GEN EL,General Elective,COMM 270,4684,"
",Communication and Web Dev,"

                "
"
L",3.00,GEN EL,General Elective,COMM 271,4684,"
",Multimedia Production Two,"

                "
"
U",3.00,GEN EL,General Elective,COMM 422,4684,"
",Communication Theories,"

                "
"
L",3.00,COMM 209,Comm Research Methods,COMM 485,4684,"
",Comm Research Methods,"

                "
"
L",3.00,GEN EL,General Elective,CHICANO 150,4684,"
DV",Introduction Chicano St,"

                "
"
L",3.00,GEN EL,General Elective,CHICANO 200,4684,"
DV",Chican@ Literature to 1980,"

                "
"
L",3.00,GEN EL,General Elective,CHICANO 201,4684,"
DV",Contemporary Chicano Lit,"

                "
"
L",3.00,GEN EL,General Elective,COACHING 100,4684,"
",Wiaa Pri First Aid,"

                "
"
L",2.00,HESM 283,Orientation to Coaching,COACHING 240,4684,"
",Introduction to Coaching,"

                "
"
L",2.00,GEN EL,General Elective,COACHING 250,4684,"
",App Mechan Princpl Coach,"

                "
"
L",1.00,GEN EL,General Elective,COACHING 251,4684,"
",Coach Women Athletics,"

                "
"
L",3.00,GEN EL,General Elective,COACHING 252,4684,"
",Teach and Coach Sports Skills,"

                "
"
L",2.00,HESM 301,Sport Conditioning Prac Design,COACHING 255,4684,"
",Conditioning Intrsch Spts,"

                "
"
L",2.00,GEN EL,General Elective,COACHING 256,4684,"
",Psycho Social Coaching,"

                "
"
L",3.00,HESM 330,Sport in Society,COACHING 260,4684,"
",Hist Soc Aspects Athletcs,"

                "
"
L",3.00,GEN EL,General Elective,COACHING 265,4684,"
",Coach Comm Spon Sports,"

                "
