"
L",1.00,GEN EL,General Elective,COMPSCI 151,"
",Using Computers,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 161,"
",Introduction to Computers,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 162,"
NSA",Computer Applications,"

                "
"
L",3.00,CSCI 130,Introduction to Programming,COMPSCI 171,"
NSA",Intro to Vb Programming,"

                "
"
L",3.00,CSCI 241,Computer Science I,COMPSCI 172,"
NSA",Introduction to Java,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 173,"
",Fortran Programming,"

                "
"
L",3.00,GEN EL,General Elective,COMPSCI 181,"
NSA",Database and Web,"

                "
"
L",3.00,CSCI 241,Computer Science I,COMPSCI 220,"
NSA",Intermediate Java,"

                "
"
L",3.00,CSCI 245,Assembly Language Programming,COMPSCI 271,"
",Assembly Programming,"

                "
"
L",3.00,CSCI 242,Computer Science II,COMPSCI 372,"
",Intermediate Programming,"

                "
"
L",2.00,ART 100,Foundtn of Art & Visual Cultur,ARTHIST 111,"
",Art Appreciation,"

                "
"
L",3.00,ART 125,Survey of World Art,ARTHIST 201,"
HUA",Srvy Art Ancient-1400ce,"

                "
"
L",3.00,ART 126,Modern & Contmp Art 1900-Pres,ARTHIST 202,"
",Art Survey 1400 to 1900,"

                "
"
L",3.00,GEN EL,General Elective,ARTHIST 203,"
HUA",Modern & Contemporary Art,"

                "
"
L",3.00,ACCT 201,Financial Accounting,ACCOUNT 244,"
",Intro to Financial Acct,"

                "
"
L",3.00,ACCT 202,Managerial Accounting,ACCOUNT 249,"
",Intro to Managerial Acct,"

                "
"
U",3.00,ACCT 302,Intermediate Accountng II,ACCOUNT 343,"
",Intrmediate Accounting II,"

                "
"
U",3.00,ACCT 305,Individual Taxation,ACCOUNT 451,"
",Tax I,"

                "
"
U",3.00,ACCT 306,Business Taxation,ACCOUNT 452,"
",Tax II,"

                "
"
U",3.00,ACCT 403,Advanced Cost Accounting,ACCOUNT 456,"
",Cost Management,"

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 105,"
",Individual and Society,"

                "
"
L",3.00,SOCA 100,Introduction to Anthropology,ANTHROPL 110,"
SSS",Introductory Anthropology,"

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 190,"
SSS",Childhd Different Culture,"

                "
"
L",3.00,SOCA 204,Human Evolution,ANTHROPL 214,"
NSF",Physical Anthropology,"

                "
"
L",3.00,SOCA 202,Cultural Anthropology,ANTHROPL 218,"
",Cultural Anthropology,"

                "
"
",3.00,Soc/BhvSci EL,Social & Behavioral Science Elective,ANTHROPL 220,"
SS","Tombs, Temples, Treasure","

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 228,"
SSS",Anthropology of Religion,"

                "
"
L",3.00,GEN EL,General Elective,ANTHROPL 230,"
SSS",Societies in Change,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 100,"
DV, SSS",Introductn Black Culture,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 120,"
",Modern Blk Amer History,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 141,"
DV, SSJ",Modern Blk Amer History,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 260,"
",The Black Family,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 261,"
SSD, DV",African-American Politics,"

                "
"
L",3.00,GEN EL,General Elective,AFRIAMR 270,"
DV, SSS",Afri Am Comunty Soc Persp,"

                "
"
L",3.00,BUS 100,Introduction to Business,BEINDP 101,"
SSB",Business and Society,"

                "
"
L",3.00,GEN EL,General Elective,BIOLOGY 110,"
",Bob:Biology of the Brain,"

                "
"
L",4.00,BIOS 100,Nature of Life,BIOLOGY 120,"
UCTA,NSB",Biological Foundations,"
22
                "
"
L",5.00,BIOS 101,Bioscience,BIOLOGY 141,"
UCTA,NSB",Introductory Biology I,"
224, 22
                "
"
L",5.00,BIOS 102,Organismal Biology,BIOLOGY 142,"
",Introductory Biology II,"
236
                "
"
L",3.00,GEN EL,General Elective,BIOLOGY 200,"
",Writing in Biology,"

                "
"
L",3.00,BIOS 202,General Microbiology,BIOLOGY 210,"
",Elements of Bacteriology,"

                "
"
L",3.00,BIOS EL,Biological Sciences Elective,BIOLOGY 214,"
NSB",Ecology and Society,"

                "
"
L",2.00,GEN EL,General Elective,BIOLOGY 221,"
NSB",School Health,"

                "
"
L",1.00,GEN EL,General Elective,BIOLOGY 230,"
NSB",Human Sexuality,"

                "
"
L",1.00,GEN EL,General Elective,BIOLOGY 240,"
NSB",Human Inheritance,"

                "
"
L",3.00,GEN EL,General Elective,BIOLOGY 247,"
",Bioethics,"

                "
"
L",4.00,GEN EL,General Elective,BIOLOGY 251,"
NSB",Introduction to Genetics,"

                "
"
U",3.00,BIOS 301,Cell Biology,BIOLOGY 253,"
",Intro to Cell Biology,"

                "
"
L",2.00,GEN EL,General Elective,BIOLOGY 254,"
",Biotechnology Laboratory I,"

                "
"
U",3.00,BIOS 305,Principles of Ecology,BIOLOGY 257,"
",Introduction to Ecology,"

                "
"
L",4.00,BIOS 207,Research Process in Biology,BIOLOGY 303,"
",Biostatistics,"

                "
"
L",4.00,CHEM 109,Environmental Chemistry,CHEM 100,"
NSC",Everyday Chemistry (Gl),"

                "
"
L",5.00,CHEM 101,General Chemistry I,CHEM 102,"
UCTA,NSC",General Chemistry I,"
22
                "
"
L",5.00,CHEM 102,General Chemistry II,CHEM 104,"
",General Chemistry II,"

                "
"
L",5.00,GEN EL,General Elective,CHEM 109,"
NSC",Elements of Chemistry,"

                "
"
L",5.00,GEN EL,General Elective,CHEM 110,"
NSC",Elements of Chemistry,"

                "
"
U",3.00,CHEM 321,Organic Chemistry I,CHEM 251,"
",Organic Chemistry,"

                "
"
U",3.00,CHEM 322,Organic Chemistry II,CHEM 252,"
",Organic Chemistry,"

                "
"
U",4.00,CHEM 310,Inorganic Chemistry,CHEM 260,"
",Inorganic Chemistry,"

                "
"
U",2.00,CHEM 323,Organic Chemistry Lab,CHEM 261,"
",Organic Chemistry Lab,"

                "
"
U",2.00,CHEM 401,Advanced Organic Laboratory,CHEM 262,"
",Organic Chemistry Lab,"
276
                "
"
L",5.00,GEOS 110,Intro to Astronomy,ASTRONMY 112,"
",Introduction to Astronomy,"
284
                "
"
L",3.00,GEOS 110,Intro to Astronomy,ASTRONMY 114,"
",Descriptive Astronomy,"
283
                "
"
L",3.00,GEN EL,General Elective,CIGENRL 214,"
",Infrm Ed Consmr,"

                "
"
L",1.00,GEN EL,General Elective,CIFLD 160,"
",Intro Teaching Music,"

                "
"
L",9.00,GEN EL,General Elective,CIFLD 200E,"
",Pre-Profess Block Elem,"

                "
